,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,ZX 22 BOOST Shoes,Men's Originals,6 colors,/us/zx-22-boost-shoes/GX7007.html,$120,$72,"Rooted in innovation, these adidas shoes rethink the progressive adidas ZX series, bringing in a degree of simplicity to the line's storied legacy. Suede overlays, reflective accents and molded TPU hardware details stand out on the sleek ripstop upper. The JET BOOST midsole brings energized comfort and stability to your every move.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Ripstop upper with suede overlays; EVA midsole with JET BOOST drop-in; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Carbon / Solar Red; Product code: GX7007, Core Black / Core Black / Semi Impact Orange,17,3.9
1,Adilette Comfort Adjustable Slides,Men's Yoga,2 colors,/us/adilette-comfort-adjustable-slides/FY8095.html,$40,$20,You know that feeling. When you slip off your shoes after a long workout and feel that sweet relief. Keep it going in these lightweight adidas Adilette slides. Soft cushioning rewards hard-working feet.,Regular fit; Hook-and-loop closure; Synthetic upper; Comfortable slides with adjustable fit; Contoured footbed; Imported; Product color: Cloud White / Royal Blue / Scarlet; Product code: FY8095, Core Black / Cloud White / Grey Six,1228,4.7
2,Stan Smith Shoes,Men's Originals,30 colors,/us/stan-smith-shoes/GW0488.html,$100,$50,"The adidas Stan Smith shoes are pretty unmistakable at this point. Clean. Minimalist. Versatile. It's their calling card, one that's continued to make an impact all over the cultural landscape. There's absolutely no disputing what these sneakers are, especially since STAN SMITH flashes in gold from the side, the tongue label has the namesake's face quite boldly there and gold jewels dangle from the laces — STAN on one shoe, SMITH on the other.",Regular fit; Lace closure; Synthetic leather upper; Hugs the foot; Synthetic leather lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Collegiate Orange / Green; Product code: GW0488, Pantone / Cloud White / Core Black,13046,4.7
3,CodeChaos Golf Shoes,Men's Golf,3 colors,/us/codechaos-golf-shoes/GW5341.html,$150,$90,Work on your swing. Perfect your form. Inspire your game with the high-performance design of the spikeless adidas Codechaos Golf Shoes. Every step is light and energized. Each swing secure and confident.,Regular fit; Lace closure; Waterproof textile upper; INSITE® sockliner and Fitfoam cushioning; Spikeless Tour Performance golf shoes; Boost midsole with Torsion X stability bar; Chaos Traxion and Twist Grip hybrid spikeless outsole; Imported; Product color: Cloud White / Grey One / Crew Navy; Product code: GW5341, Cloud White / Grey One / Crew Navy,872,4.7
4,Harden Vol. 6 Basketball Shoes,Youth Basketball,4 colors,/us/harden-vol.-6-basketball-shoes/GV7059.html,$130,$91,"Strike when your opponent least expects it. Drive to the rim, pull up from deep and leave defenders in your wake — just like James Harden. These juniors' adidas basketball shoes are made with BOOST for the energy return you need from the opening whistle to those grueling last seconds of overtime. Bands on the forefoot and heel give you a locked-down feel all game long.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; Breathable mesh upper with TPU overlays; Supportive, locked-down feel; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Clear Pink / Cloud White / Team Real Magenta; Product code: GV7059", Green Oxide / Almost Yellow / Linen Green,3,4.3
5,Nizza Platform Mid Shoes,Women's Originals,4 colors,https://www.adidas.com/us/nizza-platform-mid-shoes/GY9424.html,$95,$57,"Reach for the sky in these adidas Nizza Platform Mid Shoes. A bold butterfly allover print adds eye-catching texture to the canvas upper, and the classic lace closure lets you create your perfect fit.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Canvas upper; Textile lining; Rubber platform outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Wonder White / Off White / Core Black; Product code: GY9424, Almost Blue / Pantone / Wonder White,718,4.8
6,Runfalcon 2.0 Shoes,Women's Running,4 colors,https://www.adidas.com/us/runfalcon-2.0-shoes/GV9572.html,$60,,"Put on these adidas shoes, and you're set for a run in the park followed by coffee with friends. With a mesh upper for added breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule.",Regular fit; Lace closure; Sandwich mesh upper; Lightweight breathable feel; EVA midsole; Supportive no-sew heel; Durable rubber outsole; Imported; Product color: Legend Ink / Shadow Navy / Almost Blue; Product code: GV9572, Cloud White / Cloud White / Silver Metallic,1266,4.7
7,Copa Sense+ Firm Ground Soccer Cleats,Soccer,Firm Ground,https://www.adidas.com/us/copa-sense-plus-firm-ground-soccer-cleats/GW3610.html,$275,,"When you step onto the pitch, don't just play the game. Feel it. Get closer to the ball in these adidas Copa Sense firm ground cleats. Seamlessly blended by Fusionskin technology, their laceless adidas PRIMEKNIT collar and K-leather forefoot ensure velvety-smooth play. Sensepods in the heel and Touchpods on the sides optimize lockdown and your feel for the ball. The eye-catching graphics take inspiration from soccer's biggest stage.",Regular fit; Laceless construction; Fusionskin upper with K-leather forefoot; adidas PRIMEKNIT collar; Sensepods lock in fit; Touchpods absorb shock; Firm ground outsole; Imported; Product color: Core Black / Bright Cyan / Team Solar Yellow; Product code: GW3610,,116,4.4
8,,,,/us/adizero-scorch-cleats/GX5126.html,,,"Light them up before they know what hit them. Built for speed with a breathable, lightweight upper, these adidas football cleats let you make those key plays that make a difference on the field. The flexible outsole gives you the ideal balance to hit that extra gear and reliable traction to make the most of every yard.",Lace closure; Textile upper with mesh tongue; Breathable and lightweight; Textile lining; Studded TPU outsole plate; Imported; Product color: Cloud White / Core Black / Cloud White; Product code: GX5126, Team Power Red 2 / Cloud White / Team Power Red 2,57,4.5
9,,,,/us/x-speedportal-messi.3-indoor-soccer-shoes/GW8393.html,,,"Time and space. It's all relative when you play in a different dimension. Open the gateway to multidimensional speed in adidas X Speedportal. The sleek, grippy rubber outsole on these juniors' indoor soccer shoes keeps you quick on flat surfaces. The coated textile upper includes a supportive flat-knit collar and rigid TPU external heel lock to keep you strapped in. Bold graphics highlight Lionel Messi's lifelong love affair with the ball.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Coated textile upper; External heel lock; Textile lining; Non-marking rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Solar Red; Product code: GW8393,,1,5.0
