,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Stan Smith Shoes,Men's Originals,29 colors,/us/stan-smith-shoes/GX4452.html,$100,$85,"The adidas Stan Smith shoes aren't going anywhere. Well, let's be clear — they've actually gone everywhere. Debuting on the court, they didn't stay there long. Stages. Runways. Anywhere you can think of, the Stan Smiths have probably made an appearance. But it's the style that's staying put. Five decades later and it still maintains the same timeless appeal, complete with the minimalist silhouette and subtle perforated 3-Stripes. What has changed? The materials, which are now recycled.",Regular fit; Lace closure; Synthetic leather upper; Hugs the foot; Synthetic leather lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Aluminium / Collegiate Red / Aluminium; Product code: GX4452, Pantone / Cloud White / Core Black,13054,4.7
1,Court Platform CLN Shoes,Women's Essentials,6 colors,/us/court-platform-cln-shoes/GW6907.html,$65,$56,"Stand head and shoulders above the competition. These adidas skate-inspired sneakers have a thick, platform-style midsole for added elevation. The understated textile upper provides the finishing touch.

Our cotton products support more sustainable cotton farming.",Regular fit; Lace closure; Canvas upper; Women's-specific design; Textile lining; Raised platform midsole; Rubber outsole; Supports the Better Cotton Initiative; Imported; Product color: Linen Green / Cloud White / Core Black; Product code: GW6907, Linen Green / Cloud White / Core Black,21,4.8
2,Retropy F90 Shoes,Women's Originals,4 colors,/us/retropy-f90-shoes/HP8044.html,$100,$85,"We went all out with the comfort for these adidas Retropy F90 shoes. That's in large part to the super-soft EVA midsole, plus let's not forget the Torsion System for stability. Both come together to set you up to feel good day in and day out. A trifecta of nubuck, suede and mesh take over the upper — giving a nod to their vintage roots.","Lace closure; Nubuck, suede and mesh upper; Torsion System; EVA midsole; Rubber outsole; Imported; Product color: Almost Blue / Crystal White / Bliss Orange; Product code: HP8044", Almost Blue / Crystal White / Bliss Orange,,
3,Adilette Sandals,Children Sportswear,2 colors,https://www.adidas.com/us/adilette-sandals/GW0342.html,$30,$26,"Inspired by classic Adilette slides, these kids' adidas sandals are perfect for sunny days of play in and out of the water. A hook-and-loop strap creates an easy on and off. The quick-drying upper lets them play in comfort until they're back on dry land.",Regular fit; Hook-and-loop closure; Synthetic upper; Textile lining; Quick drying; Contoured footbed; EVA midsole and outsole; Imported; Product color: Cloud White / Core Black / Cloud White; Product code: GW0342, Cloud White / Core Black / Cloud White,195,4.8
4,Adizero Takumi Sen 8 Shoes,Men's Running,3 colors,https://www.adidas.com/us/adizero-takumi-sen-8-shoes/GX6668.html,$180,$162,"Race day is here, and it's time to unleash the speed. Find your fastest tempo in these adidas running shoes made for 5K to half-marathon road races. Lightstrike Pro cushioning energizes your stride while ENERGYRODS add stiffness for snappy toe-offs. The upper has a barely there feel — because you don't want anything holding you back.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; ENERGYRODS limit energy loss; Lightstrike Pro cushioning; Weight 6.5 ounces (size 9); Midsole drop: 6 mm (heel: 33 mm / forefoot: 27 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Beam Orange / Shadow Navy / Pulse Lilac; Product code: GX6668, Beam Orange / Shadow Navy / Pulse Lilac,139,4.5
5,Retropy E5 Shoes,Men's Originals,14 colors,https://www.adidas.com/us/retropy-e5-shoes/H03075.html,$135,$102,"You're not confined by expectations, definitions or eras. Mix it up in these adidas shoes. Equal parts old and new, they have a retro-inspired look that comes from the '70s running archives, plus Boost cushioning for some cutting-edge tech from today. Feel the energy and rep the vintage style.",Lace closure; Textile upper with stitched suede overlays; Boost midsole; Rubber outsole; Imported; Product color: Crystal White / Matte Silver / Cloud White; Product code: H03075, Focus Olive / Core White / Beam Orange,846,4.7
6,Puffylette Shoes,Originals,5 colors,https://www.adidas.com/us/puffylette-shoes/GY4559.html,$60,,"The Adilette like you've never seen it. While these adidas Puffylette shoes are on the foundation of the iconic slides — and have all the same comfort — they evolve into a whole new world of 360-degree plush goodness. When you slip into them, you're slipping into more than comfort — you're slipping into warmth, thanks to the PrimaLoft® insulation. A combined EVA midsole and outsole makes sure every step is cushioned. And rain is no problem here, since the water-repellent finish blocks it out. With these shoes, you're winter ready.",Regular fit; Slip-on; Insulated nylon upper; Textile lining; Synthetic outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Grey One / Core Black; Product code: GY4559, Charcoal Solid Grey / Linen Green / Magic Lime,27,4.4
7,Multix Shoes,Children Sportswear,40% off with code: cyber,https://www.adidas.com/us/multix-shoes/GX4813.html,$60,$51,"Calling all explorers. Give your go-anywhere, try-anything kid a pair of shoes to match. Clean adidas design keeps your little MVP styling on the playground or in the backyard. Hits of holographic accents level up the space-inspired look. Three, two, one, BLAST OFF. (Who are we kidding? They were already gone at two.)",Regular fit; Lace closure; Mesh upper with weldings; OrthoLite® sockliner and Adifit length-measuring insole; EVA midsole; Rubber outsole; Imported; Product color: Clear Pink / Almost Pink / Cloud White; Product code: GX4813,,170,4.8
8,,,,/us/nmd_r1-shoes/GX9534.html,,,"Running style made for everyday exploration. These adidas NMD_R1 shoes update the original '80s-inspired shoes with a speckled pattern on the midsole. A stretchy knit upper hugs your foot for comfort on the go. Long commutes and slick city sidewalks are no problem, thanks to energy-returning BOOST midsole cushioning and the grippy rubber outsole beneath your feet.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Stretch knit upper; Hugs the foot; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Trace Grey / Cloud White / Core Black; Product code: GX9534, Core Black / Core Black / Core Black,2570,4.6
9,,,,/us/nmd_r1-shoes/GX9527.html,,,"In a constantly changing world, be part of the change for good. Join our mission to help end plastic waste by slipping on these adidas NMD_R1 shoes made in part with Parley Ocean Plastic. All the signature staples of the NMDs are there — from the sock-like knit upper to the plush BOOST midsole and iconic heel plugs. You're not just doing good with these sneakers; you're feeling and looking good too.",Lace closure; Stretch knit upper; Hugs the foot; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Vivid Red; Product code: GX9527, Core Black / Core Black / Core Black,2569,4.6
10,,,,/us/ultraboost-22-made-with-nature-shoes/HP9179.html,,,"The iconic Ultraboost running shoe has been continually evolving since it debuted in 2015. So it's fitting that this version aligns with our goals for the future — creating products made with renewable materials to help end plastic waste. Don't worry, they still have all the tech that makes them one of the most comfortable shoes ever, including responsive BOOST cushioning and foot-hugging adidas PRIMEKNIT. Plus, they have a narrower heel fit and lower instep curve for a snug feel. Wear them running. Wear them walking. Wear them anywhere because they feel good in every way.

These shoes are made with natural and renewable materials as part of our journey to design out finite resources and help end plastic waste.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Linear Energy Push system; Midsole drop: 10 mm; Stretchweb outsole with Continental™ Better Rubber; Minimum of 50% natural fibers; Imported; Product color: Non Dyed / Zero Metalic / Chalk White; Product code: HP9179,,4,5.0
11,,,,/us/superstar-shoes/GV8899.html,,,"You know the magical feeling of seeing a rainbow after a storm. So why not bring that magic into every step? These juniors' shoes are a whimsical spin on the classic adidas Superstar trainer. Faded iridescent underlays provide an eye-catching pattern and inspire you to live colorfully. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; Molded sockliner; OrthoLite® sockliner; Adifit length-measuring insole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: GV8899,,1,5.0
12,,,,/us/lite-racer-adapt-5.0-shoes/GV9617.html,,,"These adidas shoes are the quickest way to step outside without losing style points. With their unexpected color combinations and sporty webbed laces, they instantly add flash to simple outfits. The Cloudfoam cushioning feels superlight and comfy, whether you style them up with denim or slip them on with swim shorts. 
 
Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Pull-on construction; Textile upper; Lightweight feel; Cloudfoam sockliner; Textile lining; Synthetic outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Legend Ink / Shadow Navy / Royal Blue; Product code: GV9617, Cloud White / Core Black / Cloud White,99,4.7
