,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Gazelle Shoes,Men's Originals,12 colors,/us/gazelle-shoes/GX2207.html,$100,"A famed adidas sneaker, the Gazelle got its start on indoor courts. Athletes loved that its style matched their club kits and that its design helped up their game. But it has long since retired from athletics. Away from sport, this shoe became an icon of city streets, worn by everyone from B-boys to soccer fans. And with this pair, you can count on all the signature details you love: the suede upper, T-toe design and metallic-gold logo. Because why mess with a classic?",Regular fit; Lace closure; Suede and leather upper; Synthetic leather lining; Rubber outsole; Imported; Product color: Blue / Cloud White / Gold Metallic; Product code: GX2207, Collegiate Burgundy / Cloud White / Gold Metallic,16713,4.8,
1,TERREX AGRAVIC FLOW 2 TRAIL RUNNING SHOES,Women's TERREX,3 colors,/us/terrex-agravic-flow-2-trail-running-shoes/H03190.html,$140,"This trail running shoe will elevate your mountain game to the next level with advanced technology built-in like solid rock protection and lightweight cushioning.

An athlete proven trail running shoe that will elevate your mountain game with advanced tech you feel in every step you take: newly engineered mesh upper for even more comfort and breathability. Rock protection and stability through a full length promoderation foil. Plus the Continental™ outsole brings the grip you need for different terrains. And the shoe delivers a lightweight cushioning with the new lightstrike EVA foam. It's truly made for new summits!",Lace closure; Abrasion-resistant engineered mesh upper; Perforated tongue; Pro-Moderator support; Lightstrike cushioning; Continental™ Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Turbo / Blue Rush; Product code: H03190, Wonder Steel / Magic Grey Met / Pulse Lilac,10,3.6,$98
2,Adizero Cleats,Men's Football,10 colors,/us/adizero-cleats/GW7620.html,$130,"Take the field in eye-catching fashion. These adidas football cleats let you dominate on game day. The style power comes from colorful gradient 3-Stripes on the upper and interchangeable emoji tongue patches flash your attitude. The studs on the outsole are precisely shaped to let you accelerate, jump and cut with smooth traction from kickoff to final whistle.",Lace closure; Mesh upper with TPU overlays; Breathable and lightweight; Textile lining; Studded TPU outsole plate; Customizable hook-and-loop emoji patches; Imported; Product color: Core Black / Core Black / Grey Five; Product code: GW7620, Core Black / Core Black / Grey Five,121,4.5,
3,AVACOURT SHOES,Women's Tennis,3 colors,/us/avacourt-shoes/GV9616.html,$140,"AVACOURT was engineered based on women's preferences and average female athlete size. The lightweight Bounce Pro Midsole provides cushioning in all the right places, while the TPU Torsion System offers an optimal balance of stability and flexibility. The soft collar materials are designed to provide comfort in the area where women tend to get more friction.",Regular fit; Lace closure; Breathable mesh upper; Bounce Pro midsole; Torsion System; Translucent rubber outsole; Imported; Product color: Cloud White / Zero Metalic / Impact Yellow; Product code: GV9616, Cloud White / Zero Metalic / Impact Yellow,43,4.0,$84
4,4DFWD Pulse 2 Shoes,Men's Running,5 colors,/us/4dfwd-pulse-2-shoes/GX9283.html,$160,"Run smooth with these adidas shoes, created using state-of-the-art 3D printing technology, with incredible smoothness, guiding your strides for a more fluid run. The 4DFWD heel is angled to increase impact absorption. Working together with the EVA midsole, this unique design translates into a smooth heel transition at the moment of touchdown while the 3 layered upper is engineered for seamless stretchable support for lateral and linear movements. AEROREADY manages moisture to keep feet feeling dry and comfortable. A rubber outsole provides superb traction for a confident stride. Made in part with recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Engineered mesh upper; Textile lining; 3D-printed 4DFWD midsole; Midsole angled for a smooth run; Weight: 334 g (size UK 8.5); Midsole drop: 11 mm (heel: 23 mm / forefoot: 12 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Focus Olive / Zero Metalic / Solar Green; Product code: GX9283, Core Black / Solar Orange / Beam Orange,18,4.8,
5,D.O.N. Issue #4 Basketball Shoes,Basketball,9 colors,https://www.adidas.com/us/d.o.n.-issue-4-basketball-shoes/GY6507.html,$120,"The future of basketball is all about speed, and Donovan Mitchell is as fast as they come. The newest signature shoes from Mitchell and adidas Basketball are built specifically to elevate the on-court movements of one of the game's fastest, most dynamic scorers. Ultralight Lightstrike teams up with a LIGHTLOCK upper for a snug fit and a propulsion system that won't weigh you down. A totally unique rubber outsole is designed to generate traction where you need it most, so every hard-charging cut and head fake has total support. Mitchell's Spida logo and signature graphics provide the finishing touch.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; LIGHTLOCK upper; Lightweight, cushioned feel; Textile lining; Lightstrike cushioning; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Team Power Red / Cloud White / Core Black; Product code: GY6507", Vivid Red / Core Black / Team Victory Red,29,4.4,
6,Rebelcross Spikeless Golf Shoes,Men's Golf,2 colors,https://www.adidas.com/us/rebelcross-spikeless-golf-shoes/GX8971.html,$160,"Call these adidas golf shoes the ultimate crossover. Taking performance and versatility to a whole new level, they feature a BOOST and Lightstrike hybrid midsole that delivers lightweight cushioning and energy return through 18 holes and beyond. The Gripmore outsole offers maximum traction on the course while the Adiwear rubber provides spikeless comfort for post-round wear. Welcome to your new favorite shoe.",Regular fit; Lace closure; Mixture of full grain leather and microfiber upper; OrthoLite® sockliner; Heel support clip; BOOST midsole with Lightstrike cushioning; Spikeless Adiwear outsole featuring Gripmore technology; 25% of pieces used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Aluminium / Legend Ink / Cloud White; Product code: GX8971, Aluminium / Legend Ink / Cloud White,41,4.6,$96
7,S2G Mid-Cut Golf Shoes,Women's Golf,,https://www.adidas.com/us/s2g-mid-cut-golf-shoes/FW6298.html,$130,"When there's wet weather in the forecast, adjust your game accordingly. Start at the base with these adidas mid-cut golf shoes. RAIN.RDY keeps the water out so your feet stay dry through 18 holes. The four-spike rubber outsole with a Bounce midsole provides comfort, grip and stability.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Regular fit; Lace closure; Textile and film upper; Waterproof; Textile lining; Rubber V-Traxion outsole with Thintech cleats; Four-cleat Adiwear rubber outsole; Imported; Product color: Core Black / Dark Silver Metallic / Wild Pink; Product code: FW6298,,14,5.0,
8,,,,/us/super-d.o.n.-issue-4-basketball-shoes/HR1628.html,,"The future of basketball is all about speed, and Donovan Mitchell is as fast as they come. These juniors' signature shoes from Mitchell and adidas Basketball are built specifically to elevate the movements of one of the game's fastest, most dynamic scorers. Ultralight Lightstrike teams up with a LIGHTLOCK upper for a snug fit and an explosive propulsion system that won't weigh you down. A collaboration with Marvel, they feature graphics inspired by ""Spider-Man: Across the Spider-Verse. A unique rubber outsole is designed to generate traction where you need it most, so every hard-charging cut and head fake has total support. Mitchell's Spida logo and signature graphics provide the finishing touches.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; LIGHTLOCK upper; Textile lining; Lightstrike cushioning; Rubber outsole; ©Disney; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Bold Blue / Vivid Red / Bright Cyan; Product code: HR1628,,,,
9,,,,/us/ozrah-shoes/HQ9844.html,,"Forget all the rules. These adidas OZRAH sneakers just wrote new ones. They're based on the past and designed for tomorrow, with a bold TPU cage that pushes your style to the cutting edge. But the best part about these shoes is their pillowy-soft Adiprene+ cushioning that feels good no matter how long you're on your feet.",Lace closure; Textile and TPU upper; Textile lining; Adiprene+ cushioning; Rubber outsole; Imported; Product color: Cloud White / Core Black / Cloud White; Product code: HQ9844, Core Black / Carbon / Cloud White,142,4.5,
