,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Pureboost 22 Shoes,Men's Running,7 colors,/us/pureboost-22-shoes/GZ5175.html,$140,$70,"You don't need a lot to go running. A snack, a playlist and these adidas running shoes will keep you going for the next few miles. Cushioned and responsive, Pureboost is an ultra-comfortable training shoe for short daily runs. adidas BOOST delivers incredible energy return with each step, and the Stretchweb rubber outsole flexes underfoot for an energized ride.",, Core Black / Core Black / Core Black,44,4.6
1,NMD_R1 Shoes,Youth Originals,2 colors,/us/nmd_r1-shoes/GY4285.html,$130,$78,"What's clean, classic and packed with adidas' best performance technologies? The legendary adidas NMD_R1, of course. These juniors' shoes are for those who move fast and carve their own path. For those who aim high and don't settle. The combination of a smooth knit upper and responsive BOOST cushioning helps you take all your plans in stride. And the signature midsole plugs give that unmistakable NMD look. 

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Almost Blue / Core Black / Cloud White,,
2,Questar Flow NXT Shoes,Men's Essentials,3 colors,/us/questar-flow-nxt-shoes/FY9559.html,$75,$53,"With clean design and a comfort-forward build, these adidas shoes slide right into your daily rotation. They're lightweight and breathable, thanks to the knit mesh upper. The Cloudfoam sole feels like walking on fluffy clouds all day. A molded heel counter provides stability.",, Core Black / Cloud White / Core Black,1074,3.8
3,Run Falcon 2.0 Shoes,Men's Running,4 colors,/us/run-falcon-2.0-shoes/FY5943.html,$60,$36,"Strap up in these running shoes and you're set for a jog in the park followed by coffee with friends. With a mesh upper for outstanding breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule.",, Core Black / Cloud White / Grey Six,3064,4.7
4,Cloudfoam Pure 2.0 Shoes,Women's Essentials,14 colors,/us/cloudfoam-pure-2.0-shoes/GV8958.html,$75,$68,"Streamlined and sporty shoes for the win. These adidas running-style shoes have been designed with comfort in mind. The Cloudfoam midsole and memory foam sockliner combine to wrap the foot in soft cushioning and make every step feel light and springy. Pair them with everything from dresses to jeans to tailored pants. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Core Black / Cloud White / Carbon,1629,4.5
5,Ultraboost 22 Shoes,Women's Running,23 colors,https://www.adidas.com/us/ultraboost-22-shoes/GX5592.html,$190,$152,"With the help of 1.2 million foot scans, we updated Ultraboost with a complete 360° female fit improvement. And we didn't stop there. We re-engineered the rubber outsole. We tested hundreds of prototypes. We kept going until we saw visible improvements in performance. The result? 4% more forefoot energy return, compared to Ultraboost 21 for women. The adidas PRIMEKNIT upper includes a narrower heel fit, designed to avoid heel slip and blisters. You'll be riding on a BOOST midsole with a Linear Energy Push system. The shoe's upper is made with yarn containing 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",, Beam Pink / Core Black / Cloud White,933,4.7
6,Ozelia Shoes,Men's Originals,13 colors,https://www.adidas.com/us/ozelia-shoes/GV7685.html,$100,$70,"We may be a long way from the '90s, but these Ozelia Shoes are rooted in that loud, experimental era. Inspired by the adidas archives, the bold trainers have a chunky build that's all about being noticed. They're sleek with a fast look, and when your days are fast-paced, the Adiprene cushioning helps out on the comfort side of things.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",, Core Black / Collegiate Gold / Pulse Blue,2020,4.7
7,Adilette Shower Slides,Yoga,6 colors,https://www.adidas.com/us/adilette-shower-slides/GZ5920.html,$30,$15,"From the pool deck to the shower to the couch, these slides are made for the work-hard-rest-hard lifestyle. The slip-on construction gives you a snug fit that's easy to kick on and off as needed. Lightweight cushioning keeps your feet cradled in all-day comfort. The adidas logo and 3-Stripes design complete the iconic Adilette style.",, Core Black / Wonder White / Core Black,7435,4.5
8,,,,/us/nmd_r1-shoes/GX9888.html,,,"We made the adidas NMD_R1 shoes to help you tackle your daily challenges and adventures. But this pair is also made to celebrate your love of sport. Bright colors are borrowed from soccer team colors — a celebration that you can wear on the sidelines or out in the city. BOOST cushioning keeps your feet comfortable, whether you're cheering your heart out or going about your day.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Core Black / Core Black / Core Black,2557,4.6
9,,,,/us/stan-smith-bonega-x-shoes/GY1499.html,,,"Say hello to your new style. Exaggerated details make the most of these classic adidas shoes, promising you a bold look you can rock anywhere, anytime. A padded heel, branded trim and nylon tongue push a utilitarian look while the clean, modern silhouette feels retro and fresh at once. A memory foam sockliner gives each step comfort that's customized to your foot.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,,
