,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Adistar CS Shoes,Men's Running,5 colors,/us/adistar-cs-shoes/GY1698.html,$160,$80,"Inspired by the idea of perpetual motion, ADISTAR CS supports runners to reach their long-distance PB and beyond. Built for comfort and support, with a long curve shaped angle across the forefoot, it creates a smooth, consistent rocking motion that helps you onto the next step. Designed with heel strike protection and upper support in mind.",Regular fit; Lace closure; Engineered mesh upper; Internal support cage; Textile lining; REPETITOR+ SUPPORT FRAME; Weight: 11.3 ounces (size 9); Midsole drop: 6 mm (heel: 37 mm / forefoot: 31 mm); Continental rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Impact Orange / Night Metallic / Beam Orange; Product code: GY1698, Cloud White / Carbon / Team Real Magenta,14,4.9
1,4DFWD 2 Shoes,Men's Running,8 colors,/us/4dfwd-2-shoes/GX9249.html,$200,,"adidas 4DFWD 2 redefines forward motion combining the unique, groundbreaking innovation of a 3D printed midsole with a new upper construction and a Continental outsole for extra grip. With every stride, the adidas 4DFWD 2 midsole compresses forward, reducing braking forces and transforming the impact energy into forward motion. The result is a smooth ride with less stop-and-go pounding on pavement. The Continental outsole grippy rubber outsole provides traction on wet and dry surfaces to keep you going in all conditions, and the adidas PRIMEKNIT+ upper wraps the foot with a new fit that enhances movement.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","Lace closure; Combination of adidas PRIMEKNIT+ and engineered mesh; Sock-like fit; 3D-printed 4DFWD midsole; Textile lining
Weight: 345 g; Midsole drop: 11 mm
(heel: 32 mm / forefoot: 21 mm); Continental™ Rubber outsole; Imported; Product color: Core Black / Cloud White / Carbon; Product code: GX9249", Cloud White / Core Black / Cloud White,43,4.8
2,NMD_R1 Shoes,Women's Originals,18 colors,/us/nmd_r1-shoes/GW5680.html,$150,$113,"Inspired by running silhouettes from the '80s archive, NMD was born in 2015 to merge sleek style with modern technologies and comfort. This pair of the iconic shoes brings easy energy to your everyday look. Energy-returning BOOST in the midsole provides comfort, and the signature NMD midsole plugs and heel pull ratchet up the futuristic look.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Bliss / Bliss / Tech Emerald; Product code: GW5680, Bright Orange / Bright Orange / Core Black,2371,4.5
3,ZX 750 Shoes,Men's Originals,new,/us/zx-750-shoes/FZ5894.html,$100,,"Our ZX line launched in the '80s to help runners elevate their game, run faster and go farther. But there's no speed requirement for this pair. Whether you're walking fast or moving slow, the retro design of the adidas ZX 750 is all about looking and feeling good. Soft EVA cushioning supports every step.",Lace closure; Leather upper; EVA midsole; Textile lining and sockliner; Rubber outsole; Imported; Product color: Core Black / Cloud White / Power Red; Product code: FZ5894,,,
4,Eastrail 2.0 Mid RAIN.RDY Hiking Shoes,Women's TERREX,new,/us/eastrail-2.0-mid-rain.rdy-hiking-shoes/GY4177.html,$110,,"With these adidas hiking shoes, you can skip the break-in period and get straight to the good stuff: weekend hikes and adventures with friends. Right out of the box, they hug your foot with a supportive fit and cushioned comfort. RAIN.RDY repels wet conditions, so you can cruise through puddles without risking soggy feet. The Traxion outsole grips in all directions.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Abrasion-resistant mesh upper with synthetic overlays; Gusseted tongue; RAIN.RDY; Lightweight EVA midsole; Traxion outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Grey Five / Dash Grey / Core Black; Product code: GY4177,,,
5,Five Ten Kestrel Lace Mountain Bike Shoes,Men's Five Ten,,https://www.adidas.com/us/five-ten-kestrel-lace-mountain-bike-shoes/GZ9252.html,$150,$75,"Transfer maximum power to the pedals. The Kestral Pro Lace matches our stiffest sole with clip-in compatibility for an efficient all-mountain ride. The traditional lace closure features a hook-and-loop strap for added security, while the wide Stealth® C4 rubber sole provides confident footing in all terrain. Mesh inserts enhance breathability, and the quick-drying synthetic upper maintains all-weather comfort.",Regular fit; Lace closure with hook-and-loop top strap; Synthetic weather-resistant micro-perforated upper; Durable lightweight EVA midsole; Stealth® C4 rubber outsole for unbeatable grip; Stiff carbon-infused nylon shank; Imported; Product color: Focus Olive / Sandy Beige / Orbit Green; Product code: GZ9252,,40,4.5
6,Stan Smith Shoes,Children Originals,3 colors,https://www.adidas.com/us/stan-smith-shoes/GY4263.html,$70,$56,"Happy Stan, happy kids. For over 50 years, the adidas Stan Smith shoes have solidified their place as an icon. Now the timeless white silhouette gets reimagined for kids. The coordinating heel tab and a dedicated signoff add bright updates.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; OrthoLite® sockliner; Textile lining; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Grey Two / Silver Metallic; Product code: GY4263, Cloud White / Almost Blue / Core Black,2,4.5
7,Disney Kaa Stan Smith Shoes,Originals,30 colors,https://www.adidas.com/us/disney-kaa-stan-smith-shoes/HP5599.html,$100,,"For over 50 years, the adidas Stan Smith sneaker has solidified its place as a style icon. Now the classic silhouette gets a magical update with these shoes inspired by Kaa, the python from Disney's ""The Jungle Book."" Matte dark brown makes this pair particularly versatile, and the pop of yellow on the heel is reminiscent of Kaa's eyes. The synthetic suede upper gives a luxe touch to any outfit. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic suede upper; Graphics on sockliner; Rubber outsole; ©Disney; Upper contains a minimum of 50% recycled content; Imported; Product color: Brown / Off White / Cardboard; Product code: HP5599, Pantone / Cloud White / Core Black,13045,4.7
8,,,,/us/cloudfoam-pure-shoes/DB0695.html,,,Explore your surroundings. These adidas running-inspired shoes feature a foot-hugging knit upper and a female-friendly fit. Soft midsole cushioning adds comfort as you head out for coffee or discover a busy side street.,"Women's-specific fit; Lace closure; Knit textile upper; Hugs the foot; Easy, everyday runners; Cloudfoam memory sockliner and textile lining; Combined Cloudfoam midsole and outsole; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: DB0695",,3238,4.7
9,,,,/us/ligra-7-indoor-shoes/GY7648.html,,,"Created to perform on every kind of court, these adidas Ligra 7 shoes will help you improve your indoor game. When the action shifts up a gear, their breathable mesh upper will keep you comfortable and confident. The combination of a grippy multidirectional outsole and supportive overlays provide stability while you weave your magic. Synthetic leather on the toe means they'll keep coming back for more.",Regular fit; Lace closure; Mesh upper with supportive overlays; Breathable feel; Abrasion-resistant synthetic leather toe; EVA midsole cushioning; Non-marking Adiwear outsole with 360-degree grip pattern; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Core Black; Product code: GY7648, Cloud White / Core Black / Cloud White,33,4.8
