,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Galaxy 6 Shoes,Women's Running,5 colors,/us/galaxy-6-shoes/GW4133.html,$60,"It was true then, and it's true now. adidas designs shoes with athletes in mind. These running shoes can be worn anytime, but they're still equipped with some innovative tech. The lightweight mesh upper lets air flow, and the Cloudfoam midsole gives a springy, cushioned feel. A soft sockliner keeps feet feeling supported, no matter how often you put them through a long walk or workout.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Breathable mesh upper; Textile lining; Cloudfoam midsole; OrthoLite® sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Dash Grey / Halo Silver / Silver Metallic; Product code: GW4133, Core Black / Cloud White / Core Black,58,4.3,
1,Superstar Shoes,Children Originals,,/us/superstar-shoes/GW2171.html,$60,"When it comes to the adidas Superstar shoes, little to no introduction is needed. Started on the basketball court, made even more famous on hip-hop stages, found just about everywhere else after that… you know the story. Lace your kid into these rubber-shell-toe sneakers and have them join the legacy. They're all about carving your own path — evident from all the people and places they've found themselves on and in. So when kids step out in these shoes, they're joining the footsteps of all the game-changers and rule-breakers before them.",Regular fit; Lace closure; Synthetic upper; OrthoLite® sockliner; Textile lining; Rubber midsole and outsole; Imported; Product color: Cloud White / Cloud White / Beam Green; Product code: GW2171,,1,5.0,$36
2,Adipower Weightlifting 3 Shoes,Weightlifting,3 colors,/us/adipower-weightlifting-3-shoes/GY8925.html,$220,"The ultimate platform for heavy lifting. These adidas weightlifting shoes keep you stable under the heaviest loads thanks to their raised heel and high-density midsole. That tough-as-nails canvas upper uses a lace-and-strap combo to keep you firmly locked in. The rubber outsole is specifically designed to plant your feet on the mat.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Durable canvas upper with hook-and-loop instep strap; Locked-down feel; High-density midsole; Low-profile grippy rubber outsole; Shoe weight: 466 g; Midsole drop: 22 mm (heel: 33 mm / forefoot: 11 mm); Upper contains a minimum of 50% recycled content; Imported; Product color: Linen Green / Cloud White / Beam Pink; Product code: GY8925, Core Black / Cloud White / Grey Three,24,4.3,$110
3,Gazelle Shoes,Originals,12 colors,/us/gazelle-shoes/BB5480.html,$100,"Ultimate simplicity for three decades and counting. This men's version of the Gazelle honors the favorite version of 1991, with the same materials, colors, textures and proportions as the original. The nubuck upper features contrast 3-Stripes and heel tab that echo the early-'90s style.",Nubuck upper; Synthetic overlays; Synthetic lining for comfort; Debossed Trefoil logo on tongue; Trefoil logo on heel tab; Rubber outsole; Imported; Product color: Dgh Solid Grey / White / Gold Metallic; Product code: BB5480, Collegiate Burgundy / Cloud White / Gold Metallic,16713,4.8,
4,NMD_V3 Shoes,Men's Originals,21 colors,/us/nmd_v3-shoes/FZ5964.html,$160,"Running-inspired style made for everyday exploration. These adidas NMD_V3 Shoes honor the cutting-edge design of the original '80s-inspired sneaker. The classic 3-Stripes, heel patch and sockliner all get global with ""3 Stripe Life"" printed in multiple languages. Textile materials add a comfortable touch while the BOOST midsole returns the energy you put into every step. A grippy rubber outsole helps you keep your footing on the slickest of city sidewalks.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Cloud White / Carbon; Product code: FZ5964, Grey One / Off White / Halo Silver,36,4.6,$96
5,Trae Young 2.0 Basketball Shoes,Youth Basketball,new,https://www.adidas.com/us/trae-young-2.0-basketball-shoes/H06486.html,$120,"When the game is on the line, Trae Young ensures the ball finds his hands. These juniors' signature basketball shoes keep that fearless streak alive with the classic 3-Stripes that wrap around the forefoot. The sock-like fit hugs your feet to keep you comfortable. adidas BOOST on the heel combines with a Lightstrike midsole to give you a responsive feel with every move you make on the court.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper; Textile lining; Lightstrike cushioning; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Team Solar Green; Product code: H06486,,,,
6,Forum Bold Shoes,Women's Originals,10 colors,https://www.adidas.com/us/forum-bold-shoes/GW1923.html,$110,"Daily errands or daily fun, every day deserves some flair. True to their name, these adidas shoes make an impression with an elevated platform outsole and a smooth coated leather upper. Metallic details glam it up, because bling is never a bad thing. 

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Coated leather upper; Synthetic leather lining; Mesh sockliner; TPU heel piece; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Wonder Mauve / Wonder Mauve / Silver Metallic; Product code: GW1923, Cloud White / Cloud White / Core Black,117,4.7,$55
7,Thebe Magugu Nizza Platform Mid Shoes,Women's Originals,best seller,https://www.adidas.com/us/thebe-magugu-nizza-platform-mid-shoes/GY9561.html,$95,"South African fashion brand Thebe Magugu tells stories through design, and the bird-of-paradise print is one of unbridled joy and freedom. A beacon of hope, the print takes over these adidas shoes. Stand tall on the elevated platform outsole and show it off. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; Textile lining; Rubber outsole; Thebe Magugu print; Upper contains a minimum of 50% recycled content; Imported; Product color: Power Red / Cloud White / Core Black; Product code: GY9561,,7,4.9,
8,,,,/us/nmd_r1-strap-shoes/HP2360.html,,"In a constantly changing world, be part of the change for good. Join our mission to help end plastic waste by slipping on these adidas NMD_R1 Strap shoes. As expected for an NMD, the signature elements are there. You have the sock-like knit upper, the plush BOOST midsole and, of course, the iconic heel plugs. One big difference? The strap, which replaces the laces to create a streamlined, modern look.",Adjustable strap closure; Stretch knit upper; Hugs the foot; Synthetic lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Collegiate Gold / Collegiate Gold; Product code: HP2360, Halo Blush / Cloud White / Simple Brown,18,4.3,
9,,,,/us/adidas-by-stella-mccartney-earthlight-mesh-shoes/H02809.html,,"Find your rhythm in style with the adidas by Stella McCartney Earthlight shoes, which are every bit as functional as they are cool. 

The ideal choice for urban runs up to 10km, they feature a rubber outsole with a unique design grip, and have been tested to show optimum push forward support and a smooth roll off effect as you put in the miles. 

The airy mesh upper keeps things breathable as you put in the miles, and the stacked EVA midsole will support your every step. 

For maximum visual impact, pair them with other pieces from the adidas by Stella McCartney collection.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; Mesh upper; Recycled EVA midsole made with 10% recycled material derived from production waste; Recycled rubber outsole made with 10% recycled material derived from production waste; adidas by Stella McCartney logo; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Dove Grey / Core Black; Product code: H02809, Shock Yellow / Shock Yellow / Core Black,97,4.6,
