,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Five Ten Freerider Pro Canvas Mountain Bike Shoes,Women's Five Ten,2 colors,/us/five-ten-freerider-pro-canvas-mountain-bike-shoes/GZ4653.html,$150,$75,Ride more. Hang out more. The adidas Five Ten Freerider Pro Canvas Mountain Bike Shoes are as capable on the bike as they are comfortable post-ride. An impact-resistant toe box and pedal-gripping Dotty tread with Stealth® S1™ rubber give them their bike cred. A cushioned midsole and casual look keep them versatile for on and off your bike.,Regular fit; Lace closure; Quick-dry synthetic upper; Impact-resistant PORON® toe box; OrthoLite® sockliner; EVA midsole; Stealth® S1 Dotty rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Hazy Emerald / Sand / Core Black; Product code: GZ4653, Core Black / Bliss Lilac / Beam Orange,3,5.0
1,X Speedportal Messi.1 Firm Ground Soccer Cleats,Soccer,Firm Ground,/us/x-speedportal-messi.1-firm-ground-soccer-cleats/GW8387.html,$260,$208,"Good players create time and space. Great ones leave them both behind. Unlock multidimensional speed in adidas X Speedportal. Sleek and super comfortable, these soccer cleats support instant reactions with a flexible, full-length Carbitex carbon plate on their firm ground outsole. Part of their foot-hugging Speedskin upper, an adaptive adidas PRIMEKNIT collar and lightweight carbon heel lock team up to keep you strapped in for light-speed sprints and physics-defying sidesteps. Bold graphics highlight Lionel Messi's lifelong love affair with the ball.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Speedskin upper; adidas PRIMEKNIT collar; Carbon heel lock; Molded midfoot support; Speedframe outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Solar Red; Product code: GW8387,,7,4.0
2,Crazyflight Shoes,Women's Volleyball,6 colors,/us/crazyflight-shoes/GX3741.html,$140,$84,"Controlling the court isn't always enough in indoor sports. So when you need to dominate the air too, pull on these adidas Crazyflight Shoes. Sitting within a stabilizing EVA frame, their BOOST midsole provides ignition for big jumps and cushioning for graceful landings. Lightweight and foot-hugging, the mesh upper has a TPU-reinforced midfoot so you stay supported when you're back on the deck.",Regular fit; Lace closure; Stretch mesh upper; Textile lining; EVA stabilization frame; BOOST midsole; Top Grip rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Beam Orange; Product code: GX3741, Cloud White / Team Navy / Team Navy,113,4.4
3,Superstar 360 2.0 Boots,Infant & Toddler Originals,2 colors,/us/superstar-360-2.0-boots/GX9079.html,$55,,"Inspired by the adidas Superstar sneaker, these lightweight boots for toddlers take cues from that shoe's best design details, right down to the iconic shell toe. A cozy insulated PrimaLoft® upper keeps tiny feet nice and warm, and the EVA midsole and OrthoLite® sockliner deliver extra comfort. The toggle-based laces are easy to secure, even when your little one is feeling wiggly. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Speed lace closure; Textile upper with PrimaLoft® insulation; Cozy lining; OrthoLite® sockliner and Fitfoam sockliner; Adifit length-measuring insole; EVA midsole and rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Ecru Tint / Core Black; Product code: GX9079, Magic Mauve / Core Black / Blue Rush,18,4.9
4,Exhibit B Candace Parker Mid Basketball Shoes,Women's Basketball,6 colors,/us/exhibit-b-candace-parker-mid-basketball-shoes/GZ2351.html,$120,$60,"Basketball has evolved into a hybrid, position-less game. Gone are the days of a designated ball-handler or a post-up player — today's stars can do it all. These adidas basketball shoes keep that intent in mind, giving you the freedom of super-lightweight Lightstrike cushioning and the lockdown needed to cut and change directions at high speed.

The Candace Parker Collection from adidas Basketball highlights the other-worldly work ethic of ""Ace."" The color scheme on the midsole and signature graphics on the heel webbing serve as a reminder that if you want to dominate the hardwood like Candace you have to put the work in from sunrise to sunset.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper; Textile lining; Lightstrike cushioning; Sculpted midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Grey Three / Core Black / Impact Orange; Product code: GZ2351, Carbon / Cloud White / Core Black,5,4.8
5,Five Ten Freerider Pro Mid VCS Mountain Bike Shoes,Men's Five Ten,,https://www.adidas.com/us/five-ten-freerider-pro-mid-vcs-mountain-bike-shoes/H02024.html,$180,$162,"Technical rock garden or flowy berms. You can bomb down the trail in the adidas Five Ten Freerider Pro Mid Mountain Bike Shoes. They combine the legendary pedal control of the classic Freerider with enhanced toe impact protection and a mid-height cuff with D30 inner ankle padding for added coverage. Their Stealth® S1 Dotty rubber outsole grips wet, slippery ground and your pedals for full control on and off the bike.",Hook-and-loop closure straps; Synthetic upper with impact-resistant toe box; OrthoLite® sockliner; Compression-molded EVA midsole; Stealth® S1 Dotty rubber outsole; Imported; Product color: Core Black / Solar Red / Grey Three; Product code: H02024,,19,4.7
6,Superstar Shoes,Infant & Toddler Originals,2 colors,https://www.adidas.com/us/superstar-shoes/GY9321.html,$60,$42,"They may have just said their first word, but they'll still love to make a statement in these adidas toddlers' Superstar Shoes. The classic 3-Stripes and heel tab get bright updates in contrasting colors. Elastic laces make it easy to slip them on and off. The flexible one-piece EVA outsole cradles their feet in comfort.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces; Synthetic leather upper; Textile lining; Molded sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Blue Rush; Product code: GY9321, Cloud White / Core Black / Blue Rush,3,5.0
7,CodeChaos Golf Shoes,Men's Golf,3 colors,https://www.adidas.com/us/codechaos-golf-shoes/GZ6010.html,$150,$90,Work on your swing. Perfect your form. Inspire your game with the high-performance design of the spikeless adidas Codechaos Golf Shoes. Every step is light and energized. Each swing secure and confident.,Regular fit; Lace closure; Waterproof textile upper; INSITE® sockliner and Fitfoam cushioning; Spikeless Tour Performance golf shoes; Boost midsole with Torsion X stability bar; Chaos Traxion and Twist Grip hybrid spikeless outsole; Imported; Product color: Core Black / Core Black / Pulse Lime; Product code: GZ6010, Cloud White / Grey One / Crew Navy,872,4.7
8,,,,/us/stan-smith-shoes/GY4262.html,,,"Happy Stan, happy kids. For over 50 years, the adidas Stan Smith shoes have solidified their place as an icon. Now the timeless white silhouette gets reimagined for kids. The coordinating heel tab and a dedicated signoff add bright updates.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; OrthoLite® sockliner; Textile lining; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Gold Metallic; Product code: GY4262, Cloud White / Almost Blue / Core Black,2,4.5
9,,,,/us/adizero-adios-7-shoes/GX6646.html,,,"Chase your next PR in these adidas Adizero running shoes. The breathable mesh upper rides on a mix of superlight Lightstrike cushioning and resilient Lightstrike Pro. The combination makes these shoes fast enough for race day while being able to stand up to everyday training. TORSIONRODS add a soft stiffness that increases force transfer in each stride. The result? A pair of running shoes that help you run faster (and longer) than ever before, all while feeling fresh on your feet.",Regular fit; Lace closure; Lightweight mesh upper; Flexible feel with support in key areas; TORSIONRODS increase force transfer; Lightstrike cushioning; Weight: 7.7 ounces (size 9); Midsole drop: 8 mm (heel: 27 mm / forefoot: 19 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Grey Three; Product code: GX6646, Grey Three / Zero Metalic / Grey Five,75,4.1
