,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Adilette Boost Slides,Yoga,3 colors,/us/adilette-boost-slides/FY8154.html,$60,$48,"Transition from sandy beaches to busy streets in premium comfort all summer long. These slides feature a full-length, energy-returning midsole that cradles your foot with supreme cushioning. Classic 3-Stripes on the bandage-style upper show off your adidas style.",Regular fit; Slip-on construction; Synthetic upper; Slides with Boost cushioning; Responsive Boost midsole; Imported; Product color: Core Black / Cloud White / Core Black; Product code: FY8154, Core Black / Cloud White / Core Black,2033,4.6
1,Postmove Mid Shoes,Men's Essentials,3 colors,/us/postmove-mid-shoes/GZ1338.html,$80,$64,"Drawing inspiration from the adidas Basketball archives, these shoes are the intersection of sport and style. Iconic overlays bring old-school style to this updated look. A Cloudfoam insert offers lasting comfort, while a Geofit collar forms to your ankles to create your ideal fit.",Lace closure with hook-and-loop top strap; Synthetic leather upper; Padded collar; Textile lining; Cloudfoam Super midsole; Three-quarter synthetic cupsole; Imported; Product color: Cloud White / Core Black / Gold Metallic; Product code: GZ1338, Cloud White / Royal Blue / Grey Two,34,4.6
2,Nizza Platform Shoes,Women's Originals,9 colors,/us/nizza-platform-shoes/GZ9681.html,$85,$64,"From B-ball to skate to your closet. The adidas Nizza shoes have covered a lot of cultural ground since the '70s. And now, we've lifted the classic style on a bold platform sole. Wherever you wear these, you're sure to make an impression with an energetic zebra print.",Lace closure; Textile upper; EVA sockliner; Vulcanized platform rubber outsole; Imported; Product color: Cloud White / Bliss Lilac / Core Black; Product code: GZ9681, Core Black / Cloud White / Cloud White,2893,4.7
3,Kaptir 2.0 Shoes,Kids Essentials,40% off with code: cyber,/us/kaptir-2.0-shoes/Q47217.html,$70,$56,"Some kids love running. Others just like the look. These kids' adidas running-inspired sneakers are the best of both worlds. A knit upper provides flexibility, and the sculpted Cloudfoam midsole is pillow soft.",Sock-like fit; Lace closure; Knit upper; Mesh lining; Heel counter; Sculpted Cloudfoam midsole; Synthetic outsole; Imported; Product color: Core Black / Core Black / Carbon; Product code: Q47217,,114,4.5
4,Harden Vol. 6 Basketball Shoes,Basketball,7 colors,/us/harden-vol.-6-basketball-shoes/GV9586.html,$150,,"Strike when your opponent least expects it. Drive to the rim, pull up from deep and leave defenders in your wake — just like James Harden. These adidas basketball shoes are made with BOOST for the energy return you need from the opening whistle to those grueling last seconds of overtime. Bands on the forefoot and heel give you a locked-down feel all game long.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; Breathable mesh upper; Supportive, locked-down feel; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Impact Yellow / Impact Yellow / Core Black; Product code: GV9586", Core Black / Core Black / Cloud White,134,4.7
5,Hoops 3.0 Mid Classic Shoes,Women's Essentials,4 colors,https://www.adidas.com/us/hoops-3.0-mid-classic-shoes/GW5455.html,$70,$60,"Pick up your dry cleaning or chill in the park with your pals. Dress in track pants or chinos. Wear whatever you want as you do all of your everyday deeds in style and comfort in these adidas shoes. The iconic 3-Stripes on the synthetic leather upper, plus a rubber cupsole underneath, create a heritage vibe.",Regular fit; Lace closure; Synthetic leather upper; Cushioned feel; Textile lining; EVA sockliner; Rubber outsole; Imported; Product color: Cloud White / Legend Ink / Cloud White; Product code: GW5455, Cloud White / Cloud White / Gold Metallic,4,4.5
6,SAMBA Real Madrid Shoes,Men's Originals,8 colors,https://www.adidas.com/us/samba-real-madrid-shoes/HQ7032.html,$100,,"Show you follow football royalty. From their classic T-toe and serrated 3-Stripes to their ribbed heel counter, these adidas Samba Team shoes stand out in crisp white. A tribute to the mighty Real Madrid, they come with a printed club badge on the tongue. Lace them up and the smooth leather upper will keep you comfortable while you watch the action from the Santiago Bernabéu.",Lace closure; Leather upper; Synthetic lining; Rubber outsole; Imported; Product color: Cloud White / Cloud White / Gum; Product code: HQ7032, Clear Blue / Cloud White / Tactile Blue,186,4.9
7,ZX 1K Boost Shoes,Originals,3 colors,https://www.adidas.com/us/zx-1k-boost-shoes/FX6515.html,$110,$88,"In a constantly evolving world, keeping up is just part of the routine. Stay on top of it in these airy knit mesh adidas shoes. The ZX series has merged technology with culture since the '80s. Today a combination of Boost and EVA cushioning keeps you comfortable as you charge through the day.",Lace closure; Knit mesh upper; Stable feel; Boost and EVA midsole; Rubber outsole; Imported; Product color: Core Black / Cloud White / Black Silver; Product code: FX6515, Cloud White / Core Black / Halo Silver,848,4.0
8,,,,/us/zntasy-capsule-collection-shoes/GZ2315.html,,,"These adidas tennis-style shoes are inspired by the past but made for the not-so-distant future. And the LIGHTMOTION+ tech is great for an everyday, cushioned feel. So go ahead and wear them with everything. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Polyurethane leather upper; LIGHTMOTION+ cushioning; Padded collar; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Core Black; Product code: GZ2315, Cloud White / Cloud White / Bright Red,24,4.3
9,,,,/us/nmd-shoes/GX4466.html,,,"Like the world, your style is constantly evolving. That's why these adidas NMD Shoes reimagine archival style for the modern age with a fresh camo pattern. The stretchy knit upper hugs your foot for comfort on the go. Long commutes and slick city sidewalks are no problem, thanks to the grippy rubber outsole and energy-returning BOOST beneath your feet. Iconic midsole plugs pay tribute to the NMD's running roots. 

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Stretch knit upper; Hugs the foot; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Off White; Product code: GX4466, Core Black / Core Black / Core Black,2569,4.6
