,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Retropy F2 Shoes,Men's Originals,6 colors,/us/retropy-f2-shoes/GW5472.html,$90,$54,"You like to be one step ahead. Blending retro vibes with modern design, these adidas Retropy F2 Shoes are right there with you. Rooted in '80s running style, they show off a layered material-mix upper. The sleek shape and thick EVA midsole make them ideal for today.",, Grey Three / Core Black / Grey Five,119,4.7
1,Superstar Shoes,Women's Originals,15 colors,/us/superstar-shoes/GY6852.html,$100,$60,"The adidas Superstar shoe is one of the most iconic adidas designs ever, which makes it perfect for every icon in the making. Shaped over 50 years and spanning generations, this shoe was made to break barriers. Now that timeless appeal gets a bold spin with an eye-catching butterfly print on the leather upper. Like a butterfly migrates season to season, these shoes have the same adaptability that you're accustomed to from the iconic style. A black pearl on the laces adds a touch of sophistication.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",, Cloud White / Ice Mint / Cloud White,10524,4.7
2,Ultraboost 22 Shoes,Women's Running,23 colors,/us/ultraboost-22-shoes/GY7285.html,$190,$114,"Make every run your best one yet. These running shoes are built with responsive BOOST cushioning to energize your stride. They have a narrower heel to reduce slippage and blisters, plus a lower instep curve for a snug fit. Foot-hugging adidas PRIMEKNIT supports and enhances each step, and a Linear Energy Push system keeps you going longer.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Beam Pink / Core Black / Cloud White,933,4.7
3,Matchcourse Spikeless Golf Shoes,Golf,2 colors,/us/matchcourse-spikeless-golf-shoes/GV9775.html,$90,$45,"When your day includes a casual round plus a whole lot more, these adidas slip-on golf shoes see you through. The water-resistant vegan upper keeps your feet dry on damp fairways, and fish-scale Traxion provides grip. The spikeless Adiwear outsole lets you transition from the last green to your postgame plans without missing a beat.",, Cloud White / Pulse Amber / Chalk White,53,4.7
4,Swift Run 22 Shoes,Youth Originals,11 colors,/us/swift-run-22-shoes/GW8175.html,$70,$42,"Remember the first pair of sneakers you fell in love with? Relive the memory every day in these juniors' adidas Swift Run 22 Shoes. Rooted in running but designed for the daily grind, they keep you comfortable with a supportive knit mesh upper and a cushioned EVA midsole. Oh, and they look good too. Win win. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Core Black / Grey Five / Cloud White,150,4.3
5,Predator Edge+ Firm Ground Soccer Cleats,Soccer,"4 colors, Firm Ground",https://www.adidas.com/us/predator-edge-plus-firm-ground-soccer-cleats/GW1039.html,$280,$168,"Swerve. Control. Power. adidas Predator has all angles covered. Hit the pitch and find your edge in these firm ground soccer cleats. On top, a laceless Zone Skin upper includes discrete ribbed sections, each excelling at a different type of cleat-to-ball contact. Underneath, a Power Facet diverts weight to the forefoot for fierce strikes. The adaptive adidas PRIMEKNIT collar locks you in while you establish control.",, Solar Red / Team Solar Green / Core Black,156,4.1
6,adidas x Disney Originals Flex Shoes,Infant & Toddler Originals,,https://www.adidas.com/us/adidas-x-disney-originals-flex-shoes/GX9248.html,$60,$30,"Your little one is in good hands with Disney's Mickey Mouse and friends. Inspired by the great outdoors, this fun twist on the adidas Flex shoes for toddlers lets your future explorer take Mickey and Pluto along on any adventure. The flexible, lightweight midsole and outsole ensure that your tot's toes will be cradled in comfort.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,3,4.3
7,Forum Low Shoes,Men's Originals,11 colors,https://www.adidas.com/us/forum-low-shoes/GX7071.html,$110,,"More than just a shoe, it's a statement. The adidas Forum hit the scene in '84 and gained major love on both the hardwood and in the music biz. This pair of the classic shoes brings back the '80s attitude, the explosive hardwood energy and the iconic removable strap ankle design, distilled into a low top version meant for the streets.",, Cloud White / Cloud White / Cloud White,700,4.8
8,,,,/us/ultraboost-web-dna-shoes/HR1791.html,,,"What happens when you take the iconic Ultraboost and go ""creator mode"" on it? We did just that and came up with these juniors' everyday running shoes. The responsive BOOST midsole is enhanced with 3D Stretchweb that wraps around it for a trampoline-like feel underfoot. adidas PRIMEKNIT hugs the foot for all-day comfort. The futuristic look? That's all for style.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Off White / Off White / Bliss Blue,8,4.9
9,,,,/us/nmd_r1-refined-shoes/H02334.html,,,"The city is ever-changing. Dare to keep up in these juniors' adidas NMD_R1 Refined Shoes. Merging everyday style with top-tier adidas technology, these running-inspired sneakers keep you comfortably on the move thanks to energy-returning Boost cushioning. The flexible mesh upper hugs the foot so you can easily turn and switch directions anytime a new part of the city calls to you.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",, Core Black / Core Black / Cloud White,184,4.8
