,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Adilette Slides,Originals,7 colors,/us/adilette-slides/280648.html,$45,$23,The Adilette debuted in 1970 as a shower slide for the German national football team during the world's biggest match in Mexico before being officially released back in '72. It's been a style mainstay of adidas ever since. These slides stay true to the original look with a contoured footbed and 3-Stripes across the bandage upper.,Regular fit; Slip-on design; PU-coated synthetic bandage upper; Quick-dry lining; Contoured footbed; Polyurethane outsole; Imported; Product color: White / Core Black / White; Product code: 280648, Core Black / White / Core Black,5389,4.6
1,Ultraboost 5.0 DNA Shoes,Youth Sportswear,7 colors,/us/ultraboost-5.0-dna-shoes/GX9762.html,$160,,"Any time you're on your feet is a good time to wear the adidas Ultraboost. These juniors' shoes pack all the performance techs that runners love into a design you'll want to wear outside of gym class. Beyond looks, its superpower is comfort – from the soft feel of the adidas PRIMEKNIT upper to the incredible energy return of BOOST.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; adidas PRIMEKNIT upper; BOOST midsole; Torsion System; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Beam Pink; Product code: GX9762, Cloud White / Cloud White / Beam Pink,12,4.6
2,Adilette Comfort Slides,Women's Yoga,18 colors,/us/adilette-comfort-slides/GW8741.html,$40,$34,"A modern take on an adidas classic. These slides keep your feet wrapped in comfort while adding a bold style statement to any outfit. Pair them with tights and a workout tank top, for a cozy fit on the way to the pool or yoga studio, or with your favorite denim and crop top for an athletic-casual vibe. A 3-Stripes graphic over the top strap keeps your look rooted in sport.",Regular fit; Slip-on construction; Synthetic upper; Textile lining; Lightweight cushioning; Contoured footbed; Synthetic outsole; Imported; Product color: Wonder Mauve / Magic Earth Met / Magic Earth Met; Product code: GW8741, Signal Orange / Signal Orange / Vivid Berry,4947,4.8
3,Ultraboost 22 Shoes,Men's Running,26 colors,/us/ultraboost-22-shoes/GX5459.html,$190,,"These Ultraboost running shoes serve up comfort and responsiveness. You'll be riding on a BOOST midsole for endless energy, with a Linear Energy Push system and a Continental™ Rubber outsole. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Soft heel fit; Linear Energy Push system; BOOST midsole; Weight: 11.7 ounces (size 9); Stretchweb outsole with Continental™ Better Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Crystal White; Product code: GX5459, Cloud White / Cloud White / Vivid Red,2496,4.7
4,Superstar 360 Shoes,Children Originals,40% off with code: cyber,/us/superstar-360-shoes/GX3231.html,$60,,"Who has time for lacing, anyway? Definitely not your style star. That's why these kids' shoes have a one-piece design that can be pulled onto feet fast, plus flexible EVA cushioning that keeps up with all their moves. Wherever they run off to, they'll be rocking iconic adidas style. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Slip-on; Two-layer stretch mesh upper; Snug feel; OrthoLite® sockliner; Adifit length-measuring insole; One-piece EVA outsole with deep flex grooves; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Gold Metallic; Product code: GX3231,,40,4.7
5,NMD_R1 Shoes,Women's Originals,20 colors,https://www.adidas.com/us/nmd_r1-shoes/GW9475.html,$150,,"Comfort isn't something we take lightly. Which is why we packed these adidas sneakers with innovations borrowed from running shoes. Responsive BOOST cushioning lets you walk all day in comfort, and the knit upper feels like a soft hug. Translation? Wherever you're going, you feel good. And with the signature NMD style, you look good too.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Stretch knit upper; Hugs the foot; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Shadow Maroon / Shadow Maroon / Cloud White; Product code: GW9475, Bright Orange / Bright Orange / Core Black,2374,4.5
6,Retropy F90 Shoes,Men's Originals,7 colors,https://www.adidas.com/us/retropy-f90-shoes/HP8022.html,$100,$85,"We went all out with the comfort for these adidas Retropy F90 shoes. That's in large part to the super soft EVA midsole, plus let's not forget the Torsion System for stability. Both come together to set you up to feel good day in and day out. A trifecta of nubuck, suede and recycled mesh take over the mesh upper — giving a nod to their vintage roots.",Lace closure; Textile upper; EVA midsole; Torsion System; Rubber outsole; Gel pocket; Imported; Product color: Wonder Steel / Cloud White / Shadow Navy; Product code: HP8022, Off White / Aluminium / Sonic Fuchsia,5,3.8
7,Racer TR21 Shoes,Women's Essentials,5 colors,https://www.adidas.com/us/racer-tr21-shoes/GX4207.html,$75,$64,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",Lace closure; Leather and textile upper; Soft feel; Cloudfoam midsole; Textile lining; Rubber outsole; Primegreen; Imported; Product color: Cloud White / Cloud White / Grey Two; Product code: GX4207, Core Black / Silver Metallic / Bliss Orange,620,4.6
8,,,,/us/adilette-slides/BA7130.html,,,"Scaled for juniors, these adilette sandals evoke sunny afternoons by the pool. At once simple and fashion-forward, the slides stylishly segue from poolside to a warm night out. The 3-Stripes upper looks as timeless now as when it debuted in '72. A contoured footbed keeps you comfy on the go.",Polyurethane bandage upper; Quick-dry bandage lining; Contoured footbed; Contrast 3-Stripes on bandage; Rubber outsole; Imported; Product color: Core Black / Cloud White / Core Black; Product code: BA7130, Legend Ink / Cloud White / Legend Ink,188,4.7
9,,,,/us/forum-low-shoes/GZ1674.html,,,"They're at the age when everything is fascinating. So they'll delight in the iridescent details of these toddlers' adidas Forum shoes. The iconic silhouette gets a fun update in muted rainbow colors along the underlay. Elastic laces with a hook-and-loop strap makes them easy to get on and off wiggly feet.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces with hook-and-loop strap; Synthetic upper; OrthoLite® sockliner; Adifit length-measuring insole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: GZ1674,,1,3.0
