,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,NMD_R1 Shoes,Men's Originals,32 colors,/us/nmd_r1-shoes/HP7826.html,$150,"'80s-inspired running style made for everyday exploration. This remastered version of the adidas NMD_R1 shoes is the cutting-edge evolution of the original, with a fresh monochromatic palette. The stretchy knit upper hugs your foot for comfort on the go. Long commutes and slick city sidewalks are no problem, thanks to the grippy rubber outsole and energy-returning BOOST midsole beneath your feet.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Textile upper; Hugs the foot; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Collegiate Gold / Impact Yellow / Core Black; Product code: HP7826, Core Black / Core Black / Core Black,2569,4.6,
1,Retropy F2 Shoes,Men's Originals,7 colors,/us/retropy-f2-shoes/GW5472.html,$90,"You like to be one step ahead. Blending retro vibes with modern design, these adidas Retropy F2 Shoes are right there with you. Rooted in '80s running style, they show off a layered material-mix upper. The sleek shape and thick EVA midsole make them ideal for today.",Lace closure; Textile upper with stitched suede overlays; Textile lining; EVA midsole; Rubber outsole; Imported; Product color: Core Black / Core Black / Cloud White; Product code: GW5472, Grey Three / Core Black / Grey Five,121,4.7,$72
2,OZNOVA Shoes,Women's Originals,5 colors,/us/oznova-shoes/GW6819.html,$130,"What if your most unapologetic shoes were also your most comfortable ones? Well, now they are. The next evolution of the OZ line, these adidas shoes look like the future and feel like pure comfort. Adiplus cushioning offers the pillowy-soft feel, and bold proportions serve up winning style. The best part is that you can wear them with everything you own.",Lace closure; Textile upper; Textile lining; Adiplus cushioning; Rubber outsole; Imported; Product color: Cloud White / Ecru Tint / Wonder White; Product code: GW6819, Cloud White / Ecru Tint / Wonder White,13,4.5,
3,Retropy E5 Shoes,Men's Originals,14 colors,/us/retropy-e5-shoes/GX9819.html,$130,"Retro sneakers are all that, full stop. But even the best things in life could always use a little refresh. With a modernized shape and on-point details, this classic adidas shoe makes everything from errands to your work outfit that much better. BOOST puts that spring in your step with soft comfort. Stitched suede is crisp yet casual, giving you an athletic look that's versatile too.",Lace closure; Mono mesh upper with stitched suede overlays; Textile lining; BOOST midsole; Rubber outsole; Imported; Product color: Impact Orange / Beam Orange / Bliss Lilac; Product code: GX9819, Focus Olive / Core White / Beam Orange,847,4.7,$104
4,Predator Edge.1 Firm Ground Soccer Cleats,Soccer,"3 colors, Firm Ground",/us/predator-edge.1-firm-ground-soccer-cleats/GW1029.html,$250,"Swerve. Control. Power. adidas Predator has all angles covered. Hit the pitch and find your edge in these firm ground cleats. On top, a Zone Skin upper includes discrete ribbed sections, each excelling at a different type of cleat-to-ball contact. Underneath, a Power Facet diverts weight to the forefoot for fierce strikes. The adaptive adidas PRIMEKNIT collar locks you in while you establish control.",Regular fit; Lace closure; adidas PRIMEKNIT upper; Two-piece adidas PRIMEKNIT collar; Zone Skin rubber control zones; Firm ground outsole; Imported; Product color: Solar Red / Team Solar Green / Core Black; Product code: GW1029, Cloud White / Solar Yellow / Power Blue,74,4.3,$213
5,Adifom SLTN Shoes,Men's Originals,9 colors,https://www.adidas.com/us/adifom-sltn-shoes/HP6480.html,$100,"When comfort is your number-one priority, these adidas shoes deliver. They wrap your feet in it, from the pockets of foam in the lining to the foam upper. They look good too. Design from the archives combines with modern influences to keep things simple, sleek and super versatile. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Foam upper; Foam pockets in lining; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Grey Six; Product code: HP6480, Legend Ink / Legend Ink / Solar Red,34,4.6,$85
6,Nizza,Men's Originals,6 colors,https://www.adidas.com/us/nizza/HQ9866.html,$80,"Bring '70s style game to your favorite music festivals with this iconic basketball reissue. The lightweight upper makes it's appearance in shadow olive, and the naturally breathable canvas is back to keep your feet as cool and fresh as you feel. Show off your moves with the signature rubber toe bumper and vulcanized outsole, or pick and roll from stage to stage in this versatile low-cut. Only at adidas.",Lace closure; Canvas upper; Textile lining; Vulcanized rubber outsole; Imported; Product color: Impact Yellow / Impact Yellow / Core Black; Product code: HQ9866, Core Black / Cloud White / Cloud White,1642,4.7,$68
7,Solarglide 5 Shoes,Women's Running,8 colors,https://www.adidas.com/us/solarglide-5-shoes/GX6721.html,$130,"Whether you're building consistency, upping your distance or training for a personal best, Solarglide 5 are the shoes you leave by the door to support your goals every single day. They're packed with performance technology, from the BOOST midsole to the knit upper and the adidas LEP 2.0. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",Regular fit; Lace closure; Circular knit textile upper; BOOST midsole; Continental™ Rubber outsole; Weight: 9.9 ounces; Midsole drop: 10 mm (heel: 36 mm / forefoot: 26 mm); adidas LEP 2.0; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Wonder Steel / Silver Metallic / Bliss Lilac; Product code: GX6721, Grey Two / Silver Metallic / Wonder Mauve,136,4.5,$111
8,,,,/us/ultraboost-5.0-dna-x-marvel-black-panther-shoes/HR0518.html,,"These adidas Ultraboost 5.0 shoes pay homage to Marvel's Black Panther. Designed for short runs and long walks, the running shoes mix a supportive adidas PRIMEKNIT upper with the incredible energy return of BOOST. A graphic element on the heel counter adds the finishing touch.",Regular fit; Lace closure; adidas PRIMEKNIT upper; Fitcounter molded heel counter; BOOST midsole; Stretchweb outsole with Continental™ Rubber; ©Marvel; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Cloud White / Tribe Purple; Product code: HR0518,,32,4.8,
9,,,,/us/x-speedportal.1-firm-ground-soccer-cleats/GW8428.html,,"Good players create time and space. Great ones leave them both behind. Unlock multidimensional speed in adidas X Speedportal. Sleek and super-comfortable, these soccer cleats support instant reactions with a flexible, full-length Carbitex carbon plate on their firm ground outsole. Part of their foot-hugging Speedskin upper, an adaptive adidas PRIMEKNIT collar and lightweight carbon heel lock team up to keep you strapped in for light-speed sprints and physics-defying sidesteps.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Speedskin upper; adidas PRIMEKNIT collar; Carbon heel lock; Speedframe outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Silver Metallic / Core Black / Solar Yellow; Product code: GW8428,,95,4.2,
