,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Swift Run Shoes,Men's Originals,2 colors,/us/swift-run-shoes/F35206.html,$90,$63,The Swift takes elements from '80s running designs and adds a modern feel. These knit shoes have a sleek shape that's detailed with embroidered lines. Lightweight cushioning provides all-day comfort.,Lace closure; Knit upper; Rubber outsole; Textile lining; Lightweight EVA midsole; Enjoy the comfort and performance of OrthoLite® sockliner; Imported; Product color: Cloud White / Cloud White / Gum; Product code: F35206, Core Black / Core Black / Gum,2336,4.5
1,Retropy F2 Shoes,Children Originals,2 colors,/us/retropy-f2-shoes/GX9235.html,$60,$30,"Past, meet present. '80s inspiration pulses through these adidas Retropy F2 Shoes, bringing a little retro nostalgia to kids' feet They take their cues from archival running styles, which means they know a thing or two about comfort. No matter what that looks like for your kid, they're set up for success with a lightweight EVA cushioning and a durable textile upper with suede and mesh overlays.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Textile upper with stitched suede and mesh overlays; OrthoLite® sockliner; Adifit length-measuring insole; One-piece EVA outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Team Mid Grey / Blue Rush / Cloud White; Product code: GX9235, Team Mid Grey / Blue Rush / Cloud White,1,5.0
2,Puremotion Shoes,Women's Essentials,2 colors,/us/puremotion-shoes/FY9817.html,$70,$42,"Ultra-soft steps, meet superior cushioning. These adidas running-inspired shoes showcase a cloud-like midsole that may make you feel like you're floating. They keep you comfortable all day, no matter if the agenda is checking out a game, getting out for a bite or museum-hopping.",Regular fit; Lace closure; Textile upper; Soft feel; Running-inspired shoes; Cushioned Cloudfoam midsole; Synthetic outsole; Imported; Product color: Core Black / Grey Six / Super Pop; Product code: FY9817, Cloud White / Semi Turbo / Pulse Amber,1243,4.6
3,Puremotion Shoes,Women's Essentials,2 colors,/us/puremotion-shoes/GV8926.html,$75,$38,Make casual running-inspired style part of your everyday look with these adidas clean sneakers. Comfort reigns supreme with a Cloudfoam midsole that offers up a super-plush feel that's easy to step right into and wear all day.,Regular fit; Lace closure; Textile upper; Super-plush feel; Cloudfoam midsole; Imported; Product color: Cloud White / Zero Metalic / Gold Metallic; Product code: GV8926, Cloud White / Semi Turbo / Pulse Amber,1243,4.6
4,ZNCHILL LIGHTMOTION+ Lifestyle Adult Shoe,Women's Sportswear,7 colors,/us/znchill-lightmotion-plus-lifestyle-adult-shoe/GZ4905.html,$120,$60,"Is it the shape? Is it the color play? One way or another, these chunky adidas sneakers will win you over. The textile upper is comfy and casual. The LIGHTMOTION midsole is soft and springy, while the rubber outsole gives plenty of grip to keep you grounded on slushy streets. Pair yours with cuffed joggers or a maxi dress, and they'll score you some likes on your socials too. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; LIGHTMOTION cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Bright Red; Product code: GZ4905, Almost Blue / Beam Yellow / Grey One,14,4.4
5,Terrex Choleah COLD.RDY Boots,Women's TERREX,,https://www.adidas.com/us/terrex-choleah-cold.rdy-boots/GX8687.html,$140,$70,"Whether you're on the snowy path to the ski lodge or the slippery streets in town, these adidas Terrex Choleah COLD.RDY Boots keep you warm and sure-footed in wintry conditions. The slip-on boots have PrimaLoft® insulation and a soft, fluffy lining to keep feet cozy. A high-traction outsole delivers secure grip.","Regular fit; Hook-and-loop closure; Textile upper; Cozy, insulated feel; Cold-weather boots; Insulating, moisture-managing COLD.RDY; Traxion outsole; Imported; Product color: Purple / Pulse Olive / Shadow Maroon; Product code: GX8687",,43,4.3
6,adidas Grand Court x LEGO® 2.0 Shoes,Men's Essentials,4 colors,https://www.adidas.com/us/adidas-grand-court-x-lego-2.0-shoes/GW7178.html,$80,$48,"For fans of LEGO® toys who prefer the little blocks on, rather than under, their feet — and who doesn't? These adidas Grand Court sneakers add fun to the 3-Stripes. The tech stacks up too. The shoes have a Cloudfoam Comfort sockliner, and they flex at the forefoot so you're well supported at every step. 

Made with a series of recycled materials, this upper features at least 50% recycled content.",Regular fit; Lace closure; Synthetic leather upper; Cloudfoam midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Shock Blue; Product code: GW7178, Cloud White / Cloud White / Shock Blue,23,4.8
7,D Rose Son of Chi Christmas,Basketball,,https://www.adidas.com/us/d-rose-son-of-chi-christmas/GW3839.html,$100,$60,,Imported; Product color: Clear Pink / Rose Tone / Cloud White; Product code: GW3839,,38,4.7
8,,,,/us/multix-shoes/GX4229.html,,,"You can't help but turn heads, and neither can these juniors' adidas Multix shoes. Wear them to class or rock them on the weekend. The breathable mesh upper keeps your feet comfortable all day. A durable outsole with a diagonal pattern completes the look.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Mesh and welded upper; OrthoLite® sockliner; EVA midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pulse Magenta / Grey One; Product code: GX4229, Cloud White / Pulse Magenta / Grey One,12,4.7
9,,,,/us/vulc-raid3r-skateboarding-shoes/GY2281.html,,,"Relive the days of kickflips and ollies. These adidas skateboarding-inspired sneakers pull from the best of skate culture to keep things chill, regardless of what you're doing. Wear an icon suited for all occasions.

Our cotton products support more sustainable cotton farming.",Regular fit; Lace closure; Eco-canvas upper; Light and breathable feel; Textile lining; Stitched 3-Stripes; Vulcanized rubber outsole; Supports the Better Cotton Initiative; Imported; Product color: Golden Beige / Core Black / Cloud White; Product code: GY2281, Focus Olive / Focus Olive / Cloud White,4,3.3
10,,,,/us/cloudfoam-pure-2.0-shoes/GY2214.html,,,"The clue's in the name. These women's adidas sneakers were made with comfort as the top priority, from the soft textile upper to the spongy memory foam sockliner to the cushiony Cloudfoam midsole. They're also subtle and streamlined, so you can wear them anytime with just about anything. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; Cloudfoam midsole; Memory foam sockliner; Synthetic outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Pulse Magenta / Pulse Blue; Product code: GY2214, Core Black / Cloud White / Carbon,1629,4.5
11,,,,/us/trainer-v-shoes/GW4055.html,,,"These adidas shoes combine a stable fit and an airy feel for comfort as you kick off your daily training. A flexible upper provides a snug fit with just the right amount of stretch, while lightweight cushioning underfoot delivers comfort from the first step of your day to the last.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Flexible knit upper with stretch; Snug feel; Bounce midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Carbon / Iron Metallic / Impact Yellow; Product code: GW4055, Carbon / Iron Metallic / Impact Yellow,221,4.6
