,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Adios Pro 2.0 TME Shoes,Running,,/us/adios-pro-2.0-tme-shoes/GX9300.html,$230,$161,"Better together. These adidas running shoes were designed in collaboration with the Tinman Elite running club to celebrate teamwork and community. They bring record-breaking speed to training and long-distance racing. The ultralight feel comes from Lightstrike Pro, our most resilient foam that helps maintain energy long term. ENERGYRODS provide lightweight stiffness and limit energy loss.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; Synthetic lining; ENERGYRODS limit energy loss; Lightstrike Pro cushioning; Weight: 8.3 ounces (size 9); Midsole drop: 9 mm (heel: 39 mm / forefoot: 30 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Gold Metallic / Grey One; Product code: GX9300,,13,4.8
1,Adilette Shower Slides,Children Essentials,3 colors,/us/adilette-shower-slides/G27625.html,$25,$18,"Treat their feet after they hop out of the pool with these kids' comfortable slides. Quick-drying and ultra-soft, they cradle their feet with lightweight cushioning. Big and bold adidas branding adds a classic look.",Regular fit; Slip-on construction; Single-bandage synthetic upper; EVA outsole; Pillow-soft Cloudfoam footbed; Soft cushioning; Quick-drying material; Imported; Product color: Core Black / Cloud White / Core Black; Product code: G27625, Core Black / Cloud White / Vivid Red,1387,4.8
2,Nizza Hi Shoes,Men's Originals,2 colors,/us/nizza-hi-shoes/GV7607.html,$80,$40,"Change is possible when we work together. That's why we've teamed up with Parley for the Oceans on these adidas Nizza shoes — as a reminder that we all have a part to play in helping to end plastic waste. The evolution of this icon is rooted in the classic elements you covet: high top fit, signature rubber toe bumper and strong adidas vibes.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Textile upper; Synthetic lining; Vulcanized rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: GV7607, Cloud White / Cloud White / Core Black,198,4.7
3,Runfalcon 2.0 Shoes,Children Sportswear,3 colors,/us/runfalcon-2.0-shoes/HR1412.html,$50,$30,"Shoes for everyday wear, from the halls at school to gym class to running errands with you on the weekend. Whether your kid is new to the track team or just needs to move through the day with confidence, these adidas sneakers deliver. A lightweight feel provides comfort even on the longest days.",Regular fit; Lace closure; Textile upper; Lightweight feel; Textile lining; EVA midsole; Rubber outsole; Imported; Product color: Almost Blue / Beam Pink / Bliss Orange; Product code: HR1412, Carbon / Cloud White / Impact Orange,,
4,adidas x LEGO® Sport Pro Shoes,Children Training,4 colors,/us/adidas-x-lego-sport-pro-shoes/GZ2414.html,$70,$49,"Let your little builder bring their LEGO® bricks with them wherever they go. Watch your kids smile with glee as they pull on these adidas running shoes. The elastic laces plus hook-and-loop strap create a snug, secure fit. The grippy outsole leaves a happy trail of LEGO® tracks behind them.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic lace closure with hook-and-loop strap; Knit textile upper; TPU heel counter and Torsion bar; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Eqt Yellow / Off White / Red; Product code: GZ2414, Red / Off White / Shock Blue,195,4.7
5,Swift Run 22 Shoes,Youth Sportswear,11 colors,https://www.adidas.com/us/swift-run-22-shoes/GZ1556.html,$70,$56,"Remember the first pair of sneakers you fell in love with? Relive the memory every day in these juniors' adidas Swift Run 22 Shoes. Rooted in running but designed for the daily grind, they keep you comfortable with a supportive knit mesh upper and a cushioned EVA midsole. Oh, and they look good too. Win win. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Snug fit; Lace closure; Knit mesh upper; Hugs the foot; EVA midsole; OrthoLite® sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Wonder Mauve / Cloud White / Wonder Mauve; Product code: GZ1556, Core Black / Grey Five / Cloud White,152,4.3
6,Adizero Adios 7 Shoes,Men's Running,4 colors,https://www.adidas.com/us/adizero-adios-7-shoes/GY8409.html,$130,$78,"Chase your next PR in these adidas Adizero running shoes. The breathable mesh upper rides on a mix of superlight Lightstrike cushioning and resilient Lightstrike Pro. The combination makes these shoes fast enough for race day while being able to stand up to everyday training. TORSIONRODS add a soft stiffness that increases force transfer in each stride. The result? A pair of running shoes that help you run faster (and longer) than ever before, all while feeling fresh on your feet.",Regular fit; Lace closure; Lightweight mesh upper; Flexible feel with support in key areas; TORSIONRODS increase force transfer; Lightstrike cushioning; Weight: 7.7 ounces (size 9); Midsole drop: 8 mm (heel: 27 mm / forefoot: 19 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Beam Yellow / Solar Green; Product code: GY8409, Grey Three / Zero Metalic / Grey Five,75,4.1
7,Ultraboost 1.0 NC State,Sportswear,15 colors,https://www.adidas.com/us/ultraboost-1.0-nc-state/HQ5879.html,$200,$140,"Bring your Wolfpack spirit along for the ride every time you lace up in these Ultraboost running shoes. Comfy BOOST cushioning keeps you energized from start to finish, and adidas PRIMEKNIT flexes and supports the foot with every step. Attach the webbing strips to your laces and show your team pride.

Featured above and throughout the campaign are Jaiden Thomas and Jameese Joseph. Jameese (left) is a senior on NC State’s soccer team. She brought her athleticism and ability to score game-winning goals from her hometown of Beltsville, MD. She’s got great attack instincts, and her dribbling is a joy to watch. She’s a senior studying business administration when she’s off the field. Jameese loves to sleep - when she’s not practicing, at a game, at school, hanging with her friends, eating chicken Alfredo (her favorite food) or shopping with her dad; she loves fashion.

Jaiden (right) is a senior on NC State’s soccer team hailing from Ponte Vedra Beach, FL. She wasn’t always in the starting lineup, but her passion, drive, and commitment to the idea that more is possible has made her a standout player to watch. Outside of her team responsibilities she leads Pack United, a student-athlete activism group that recently worked to bring therapy dogs into the classroom for exams. She also loves to cook, and (although this is unverified by adidas) is very good at it. After college she plans to be an athletic director or work in administration. Jaiden’s favorite adidas collaboration is Ivy Park.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.
",Regular fit; Lace closure; adidas PRIMEKNIT upper; Interchangeable webbing strips; BOOST midsole; Torsion System; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Team Dark Grey / Team Collegiate Red; Product code: HQ5879, Cloud White / Team Maroon / Team Colleg Gold,330,4.7
8,,,,/us/pureboost-22-shoes/GW9151.html,,,"You don't have to run far to feel the benefits of training. Slip on these adidas shoes and you're only a few miles away from a good mood. They're designed for short runs, with a BOOST midsole that offers incredible energy return with every step. The Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Midsole drop: 10 mm (heel: 20 mm / forefoot: 10 mm); Stretchweb outsole with Continental™ Rubber; Upper contains a minimum of 50% recycled content; Imported; Product color: Shadow Navy / Cloud White / Core Black; Product code: GW9151, Core Black / Cloud White / Carbon,88,4.3
9,,,,/us/retropy-e5-shoes/GW6779.html,,,"When the days are long, you need something that knows about going the distance. Which these adidas Retropy E5 shoes do, since they use the famed '70s Racing 1 shoes as their foundation. Plush BOOST takes care of all things comfort and makes sure you feel good from morning to night. Really driving in their '70s inspiration, they have stitched leather overlays on the premium upper that nods to the shoes' origins.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Leather upper with leather overlays; BOOST midsole; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Green Oxide / Off White / Wonder Red; Product code: GW6779, Focus Olive / Core White / Beam Orange,838,4.7
