,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
25,,,,/us/ultraboost-5.0-dna-shoes/GV8737.html,,"What do you get when you take a beloved running shoe and tweak it for everyday wear? The Ultraboost DNA. This iteration lives up to its namesake with BOOST for energy return and all-day comfort. The foot-hugging adidas PRIMEKNIT shows off contrasting weave details, making it a legend on its own.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; adidas PRIMEKNIT upper; Fitcounter molded heel counter; BOOST midsole; Torsion System; Stretchweb outsole with Continental™ Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Bliss Lilac / Bliss Lilac / Beam Orange; Product code: GV8737, Magic Mauve / Magic Mauve / Ecru Tint,1397,4.7,
26,,,,/us/retropy-e5-shoes/GX1812.html,,"Retro vibes meets modern proportions. With the adidas Retropy E5 Shoes, we used the famed Racing 1 as the design foundation to craft a silhouette filled with equal parts nostalgia, modernity and comfort. Plush BOOST cushioning returns energy with every step that you take.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Perforated leather upper with stitched suede overlays; BOOST midsole; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Off White / Off White / Grey One; Product code: GX1812, Frost Pink / Almost Pink / Ecru Tint,48,4.8,
27,,,,/us/geodiver-primeblue-shoes/FX5079.html,,"Style or planet? No need to pick sides. Lace into the streamlined design of these sporty shoes and join in adidas' commitment to help end plastic waste. Their minimalist upper is made with recycled materials and a partially recycled EVA midsole that keeps you walking on clouds. Sometimes, less is more.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",Lace closure; Textile upper; Comfortable and lightweight; EVA midsole and outsole; Textile lining; Rubber insert on the outsole; Primeblue; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: FX5079,,782,4.6,
28,,,,/us/nmd_v3-shoes/GY4134.html,,"Go ahead and check all the boxes with these adidas NMD_V3 Shoes. Breathable. Comfortable. Made with recycled materials. That's a yes to all three. Plus there's the style, like the perforated details, which is also where that breathability comes in. Playing with transparency, the 3-Stripes layer over the perforations, giving a glimpse at them underneath the monochrome signoff.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Royal Blue / Crystal White / Core Black; Product code: GY4134, Grey One / Off White / Halo Silver,38,4.5,
29,,,,/us/lite-racer-adapt-4.0-slip-on-shoes/GW7150.html,,"Let your little one slide into these toddlers' adidas shoes. No laces means less time tying their shoes. They're made with a breathable mesh upper that contours around their little feet and an elastic strap to add stability. A pull tab at the heel makes it easy to put them on or take them off. The Cloudfoam midsole is soft and cushy to keep them comfortable throughout the day. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Pull-on construction; Mesh upper; Breathable feel; Textile lining; Cloudfoam midsole; EVA outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Beam Pink; Product code: GW7150,,30,4.6,
30,,,,/us/matchcourse-spikeless-golf-shoes/GV9775.html,,"When your day includes a casual round plus a whole lot more, these adidas slip-on golf shoes see you through. The water-resistant vegan upper keeps your feet dry on damp fairways, and fish-scale Traxion provides grip. The spikeless Adiwear outsole lets you transition from the last green to your postgame plans without missing a beat.",Regular fit; Slip-on; Water-resistant vegan upper; Slow resilient sockliner; Fish-scale Traxion; Spikeless Adiwear outsole; Vegan alternative: At least 25% recycled content; Imported; Product color: Cloud White / Pulse Amber / Chalk White; Product code: GV9775, Cloud White / Pulse Amber / Chalk White,53,4.7,
31,,,,/us/duramo-10-shoes/GW4075.html,,"From a morning gym session to a day of errands to an evening with friends, keep your feet comfortable and your style on point in these adidas shoes. Pair them with your favorite running shorts for the ultimate athletic-casual vibe. A mesh upper helps you stay cool, while superlight cushioning cradles every step you take.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Sandwich mesh upper; Supportive no-sew overlays; Soft heel; LIGHTMOTION cushioning; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Pulse Blue / Impact Orange; Product code: GW4075, Core Black / Pulse Blue / Impact Orange,699,4.6,
32,,,,/us/superstar-shoes/GY6852.html,,"The adidas Superstar shoe is one of the most iconic adidas designs ever, which makes it perfect for every icon in the making. Shaped over 50 years and spanning generations, this shoe was made to break barriers. Now that timeless appeal gets a bold spin with an eye-catching butterfly print on the leather upper. Like a butterfly migrates season to season, these shoes have the same adaptability that you're accustomed to from the iconic style. A black pearl on the laces adds a touch of sophistication.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Leather upper; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Wonder White / Off White; Product code: GY6852, Cloud White / Ice Mint / Cloud White,10526,4.7,
33,,,,/us/ultraboost-5.0-dna-shoes/GV8739.html,,"The Ultraboost isn't our first performance running shoe to hold appeal in the realm of fashion. It's just one of the most beloved. That's why we made the Ultraboost DNA, a lifestyle trainer built off the bones of its more technical namesake. The simplicity of the design shines a spotlight on the pattern of the adidas PRIMEKNIT. And because comfort's a non-negotiable, run or no run, BOOST offers incredible energy return in every step.","Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Supportive, energy-returning feel; Fitcounter molded heel counter; BOOST midsole; Weight: 11.6 ounces (size 9); Midsole drop: 10 mm (heel: 22 mm / forefoot: 12 mm); Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Grey Three / Grey Five / Core Black; Product code: GV8739", Core Black / Core Black / Beam Green,3852,4.7,
34,,,,/us/swift-run-22-shoes/GW8175.html,,"Remember the first pair of sneakers you fell in love with? Relive the memory every day in these juniors' adidas Swift Run 22 Shoes. Rooted in running but designed for the daily grind, they keep you comfortable with a supportive knit mesh upper and a cushioned EVA midsole. Oh, and they look good too. Win win. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Snug fit; Lace closure; Knit mesh upper; Hugs the foot; EVA midsole; OrthoLite® sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Grey Two / Core Black; Product code: GW8175, Core Black / Grey Five / Cloud White,152,4.3,
