,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Nora Shoes,Originals,4 colors,/us/nora-shoes/GV6777.html,$80,"A new shoe for a new era, Nora Vasconcellos' colourful passion for family, progression and inclusivity manifest in her signature adidas Skateboarding shoe. Inspired by notable vintage classics from the adidas tennis archives, the Nora infuses an extended toe cap with double-layer durability, providing cupsole quality with a vulc aesthetic. The cushioned midsole adds to the shoe's stability and out-of-the-box fit without adding bulk or compromising boardfeel.",Lace closure; Premium suede upper with textile quarter panel; Rubber toe bumper; Textile lining; Cushioned midsole; Rubber outsole; Imported; Product color: Core Black / Cloud White / Grey Two; Product code: GV6777, Core Black / Cloud White / Grey Two,27,4.6,
1,Ultraboost 22 GORE-TEX Shoes,Men's Running,4 colors,/us/ultraboost-22-gore-tex-shoes/GX9126.html,$230,Don't let wet weather come between you and your run. These adidas running shoes are made with a breathable GORE-TEX membrane to keep feet dry and comfortable on rainy days. The midsole features hundreds of BOOST capsules fused together for incredible energy return to power you from start to finish no matter the distance — or the conditions.,Regular fit; Lace closure with shroud; GORE-TEX textile upper; Linear Energy Push system; BOOST midsole; Weight: 14.1 ounces (size 9); Midsole drop: 10 mm (heel: 25 mm / forefoot: 15 mm); Stretchweb outsole with Continental™ WinterGrip™ Rubber; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Impact Orange / Linen Green / Core Black; Product code: GX9126, Dash Grey / Silver Metallic / Impact Orange,59,4.0,$138
2,Adilette Shower Slides,Women's Yoga,7 colors,/us/adilette-shower-slides/GZ5928.html,$30,"From the pool deck to the shower to the couch, these slides are made for the work-hard-rest-hard lifestyle. The slip-on construction gives you a snug fit that's easy to kick on and off as needed. Lightweight cushioning keeps your feet cradled in all-day comfort. The adidas script logo adds an extra touch of class to the iconic Adilette look.",Regular fit; Slip-on construction; Synthetic upper; Textile lining; Contoured footbed; Cloudfoam midsole; Synthetic outsole; Imported; Product color: Shadow Red / Sandy Beige Met / Shadow Red; Product code: GZ5928, Clear Pink / Clear Pink / Super Pop,590,4.7,$15
3,Ultraboost 5.0 DNA Shoes,Children Sportswear,2 colors,/us/ultraboost-5.0-dna-shoes/GZ5025.html,$90,"From class to training to bike rides with friends, kids never stop moving. These adidas running shoes keep them comfortable on their feet, whatever the day brings. They're equipped with all the performance technology that runners love, like energy-returning BOOST in the midsole and a foot-hugging adidas PRIMEKNIT upper.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; adidas PRIMEKNIT upper; BOOST midsole; Textile lining; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Beam Pink; Product code: GZ5025, Core Black / Core Black / Beam Green,13,4.5,$63
4,Predator Edge+ Firm Ground Soccer Cleats,Children Soccer,Firm Ground,/us/predator-edge-plus-firm-ground-soccer-cleats/GW0974.html,$150,"Swerve. Control. Power. adidas Predator has all angles covered. Hit the pitch and find your edge in these juniors' firm ground soccer cleats. On top, a laceless Zone Skin upper includes discrete ribbed sections, each excelling at a different type of boot-to-ball contact. Underneath, a TPU outsole keeps you bossing things on dry natural grass. The adaptive adidas PRIMEKNIT collar locks you in while you establish control.",Regular fit; Laceless construction; adidas PRIMEKNIT upper; Facet Fit collar; Zone Skin rubber control zones; Textile lining; TPU firm ground outsole; Imported; Product color: Cloud White / Solar Yellow / Power Blue; Product code: GW0974,,58,3.6,
5,S2G Spikeless Golf Shoes,Men's Golf,4 colors,https://www.adidas.com/us/s2g-spikeless-golf-shoes/GV9793.html,$100,"When a morning round is just part of your busy day, these adidas golf shoes see you through. They're made for comfort on and off the course with a Bounce midsole that delivers cushioning and flexibility. The spikeless V-Traxion outsole provides enhanced grip on variable terrain. The waterproof upper keeps your feet dry on damp fairways so you leave the last green ready for your day.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Waterproof printed textile upper with reflective details; Slow resilient sockliner; Bounce midsole; Adiwear outsole with V-Traxion; Upper contains a minimum of 50% recycled content; Imported; Product color: Grey Four / Core Black / Grey Six; Product code: GV9793, Cloud White / Grey Four / Grey Six,382,4.6,$75
6,TERREX Free Hiker 2 Hiking Shoe,Men's TERREX,4 colors,https://www.adidas.com/us/terrex-free-hiker-2-hiking-shoe/GZ0680.html,$200,"Take on the outdoors with ease. The adidas TERREX Free Hiker 2 brings comfort and confidence to your everyday adventure. It's time to enjoy your outdoor experience. 

Find confidence in the great outdoors with the new adidas TERREX Free Hiker 2. Its Continental™ rubber grip provides reliable traction on your hikes. BOOST delivers incredible energy return and instant comfort with each step. The shoe's upper is made with a high performance yarn containing at least 50% Parley Ocean Plastic and 50% recycled polyester.",Regular fit; Lace closure; Abrasion-resistant mesh upper with molded toe cap and external heel clip; adidas PRIMEKNIT collar; EVA stabilization frame; BOOST midsole; Continental™ Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Grey Six / Carbon; Product code: GZ0680, Core Black / Core Black / Grey Six,26,4.7,$120
7,Superstar 360 Twist Shoes,Children Originals,,https://www.adidas.com/us/superstar-360-twist-shoes/GX4416.html,$60,"Kids are meant to run a little wild. Help them embrace that adventurous spirit in these adidas Superstar 360 Twist sneakers. Cheetah print and bright pops of color make these the perfect statement shoes for when they want to stand out. The lightweight one-piece EVA outsole with deep flex grooves provides flexibility and comfort. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Snug fit; Slip-on; Open mesh and synthetic suede upper; OrthoLite® sockliner; Adifit length-measuring insole; EVA outsole with deep flex grooves; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Bliss Pink; Product code: GX4416,,4,3.3,$48
8,,,,/us/superstar-shoes/GX4361.html,,"It doesn't get more iconic than the adidas Superstar shoes. They were born in basketball and made legendary in hip hop. They span five generations of culture makers and risk takers. And they never stop upping the game. So go ahead, say hello to your new favorite pair. You get all the coveted details, including the shell toe and serrated 3-Stripes. But you also get tactile-inspired lace tags on each shoe. And yes, these pair with everything you own.",Lace closure; Synthetic leather upper; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Magic Beige / Magic Beige / Cloud White; Product code: GX4361, Cloud White / Ice Mint / Cloud White,10526,4.7,
9,,,,/us/nmd-360-shoes/GY9157.html,,"Coolest little one at playtime? Undoubtedly yours. In these infants' shoes, they've got adidas style on lock and advanced shoe technology underfoot. The one-piece design slips easily on to squirmy feet, and the EVA cushioning has deep flex grooves that let them play with confidence. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Slip-on; Stretch textile upper; OrthoLite® and Fitfoam sockliners; Adifit length-measuring insole; One-piece EVA outsole with deep flex grooves; Upper contains a minimum of 50% recycled content; Imported; Product color: Blue Rush / Cloud White / Vivid Red; Product code: GY9157, Core Black / Silver Metallic / Cloud White,73,4.7,
