,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Novaflight Volleyball Shoes,Men's Volleyball,2 colors,/us/novaflight-volleyball-shoes/GX1264.html,$110,$55,"Reach for the skies but love where you live. These Novaflight indoor shoes are made in part with recycled materials, reflecting adidas' ambition to help end plastic waste. Their flexible Bounce midsole is specially shaped for explosive jumps. The lightweight, mesh upper has supportive panels that keep you locked in for the ride. Rounded edges on the outsole support natural movement when you're on the deck.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Mesh upper; Midfoot lockdown system; Sculpted midsole; Bounce midsole; 360-degree radius outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Grey Five; Product code: GX1264, Cloud White / Core Black / Beam Orange,9,4.1
1,TERREX Free Hiker 2 GORE-TEX Hiking Shoe,Women's TERREX,3 colors,/us/terrex-free-hiker-2-gore-tex-hiking-shoe/GZ3311.html,$230,$161,"Take on the outdoors with ease. The adidas TERREX Free Hiker 2 GORE-TEX brings comfort and confidence to your everyday adventure. It's time to enjoy your outdoor experience. 

Take on the outdoors in style and comfort with the TERREX Free Hiker 2 GORE-TEX. Feel confident in most weather conditions thanks to the breathable GORE-TEX membrane and Continental™ rubber outsole. Enjoy your hikes with the updated design.",Regular fit; Lace closure; Abrasion-resistant mesh upper with molded toe cap and external heel clip; GORE-TEX lining; EVA stabilization frame; BOOST midsole; Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Wonder Red / Core Black / Pulse Lilac; Product code: GZ3311, Core Black / Grey Six / Grey Three,2,3.5
2,Nizza Bonega Mid Shoes,Women's Originals,3 colors,/us/nizza-bonega-mid-shoes/GW6761.html,$100,$90,"Isn't it amazing how a little extra height can add a whole lot of confidence to your day? These adidas shoes deliver just that, with a bold platform outsole that's topped off with pops of color and classic '70s vibes. Add to that a memory foam sockliner, and now you're walking on pure comfort. There's nothing you can't accomplish.",Lace closure; Textile upper; Textile lining; Memory foam sockliner; Rubber platform outsole; Imported; Product color: Crystal White / Cloud White / Almost Pink; Product code: GW6761, Crystal White / Cloud White / Almost Pink,13,4.8
3,Superstar Ayoon Shoes,Women's Originals,,/us/superstar-ayoon-shoes/GW9587.html,$100,$60,"The adidas Superstar shoes have always been about disrupting the expected. This pair builds off that foundation and goes bigger on the proportions. Between the soft, premium leather upper and the EVA heel patch and midsole, you're set for comfort too. No matter where you wear them, they're down for impact — and with their bold, versatile look you can really wear them anywhere.",Regular fit; Lace closure; Leather upper; Textile lining; Molded EVA heel patch; EVA midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Off White / Night Sky; Product code: GW9587,,1,4.0
4,Forum Low Shoes,Originals,11 colors,/us/forum-low-shoes/IE4203.html,$130,,"The adidas Forum shoes have always been about expression — it's what they were built on. Continuing that legacy, the iconic silhouette transforms here with a glazed, dip-dye triple-black execution. A beautiful hand-drawn flower print inspired by Chinese porcelain shines through the upper. While the sneakers are done in shades of black, the sockliner bursts with blue flowers.",Lace closure with hook-and-loop ankle strap; Synthetic upper; Textile lining; Rubber outsole; Imported; Product color: Supplier Colour / Supplier Colour / Carbon; Product code: IE4203, Cloud White / Cloud White / Cloud White,700,4.8
5,Adilette Comfort Slides,Women's Sportswear,18 colors,https://www.adidas.com/us/adilette-comfort-slides/GV7086.html,$40,$28,"Always be comfortable. These adidas slides keep your feet happy from the pool deck to the locker room to the couch and everywhere in-between. They slip on and off easily and deliver a relaxed fit whether you're wearing socks or going barefoot. A unique footbed design brings big beach vibes to any occasion.

Made with a series of recycled materials, this upper features at least 50% recycled content. These slides represent just one of our solutions to help end plastic waste.",Regular fit; Slip-on; Textile upper; Textile lining; Injected EVA outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Mystery Blue / Hi-Res Yellow / Mystery Blue; Product code: GV7086, Signal Orange / Signal Orange / Vivid Berry,4941,4.8
6,NMD_R1 V2 Shoes,Youth Originals,3 colors,https://www.adidas.com/us/nmd_r1-v2-shoes/HP2950.html,$130,$78,"The future is now. The original running-inspired style that made you love the adidas NMD_R1 shoes gets updates to make you look and feel like you walked right out of a time machine. Modern overlays give these juniors' kicks a cyberpunk vibe. Long commutes and slick city sidewalks are no problem, thanks to BOOST cushioning and the grippy rubber outsole beneath your feet.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Almost Blue / Core Black; Product code: HP2950, Core Black / Cloud White / Core Black,21,4.2
7,D.O.N. Issue #3 Basketball Shoes,Basketball,2 colors,https://www.adidas.com/us/d.o.n.-issue-3-basketball-shoes/GY0321.html,$120,$60,"Donovan Mitchell shows love on and off the court. This version of the D.O.N. Issue #3 shoes — the latest signature collaboration between adidas Basketball and Donovan Mitchell — is designed to raise awareness about autism and to support the work of autism awareness done by Donovan and his teammates. The colorful upper is decorated with puzzle pieces, and a band on the laces sends a powerful message.

Made in part with recycled content generated from production waste, e.g., cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper; Lockdown feel; Lightstrike cushioning; TPU stability insert; Rubber outsole; 25% of the components used to make the upper contain a minimum of 50% recycled content; Imported; Product color: Clear Grey / Purple Rush / Semi Screaming Green; Product code: GY0321, Clear Grey / Purple Rush / Semi Screaming Green,482,4.6
8,,,,/us/nmd_r1-shoes/HP7882.html,,,"These juniors' adidas Superstar shoes stay true to the iconic silhouette while adding the timeless appeal of beaded friendship bracelets. Cute and colorful lace beads and a letter-printed sockliner team up to make you smile, and the pastel palette will add brightness to your day. These shoes can take you everywhere, thanks to BOOST midsole cushioning, a grippy rubber outsole and a stretchy knit upper that hugs your feet for comfort on the go.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Beam Pink; Product code: HP7882,,1,3.0
9,,,,/us/superstar-360-2.0-boots/GV9066.html,,,"Inspired by the adidas Superstar sneaker, these lightweight boots for toddlers take cues from that shoe's best design details, right down to the iconic shell toe. A cozy insulated PrimaLoft® upper keeps tiny feet nice and warm, and the EVA midsole and OrthoLite® sockliner deliver extra comfort. The toggle-based laces are easy to secure, even when your little one is feeling wiggly. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Speed lace closure; Textile upper with PrimaLoft® insulation; Cozy lining; OrthoLite® sockliner and Fitfoam sockliner; Adifit length-measuring insole; EVA midsole and rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Magic Mauve / Core Black / Blue Rush; Product code: GV9066, Magic Mauve / Core Black / Blue Rush,18,4.9
10,,,,/us/forum-triple-platform-pride-low-shoes/GX6396.html,,,"The 2022 adidas X Kris Andrew Small Pride Collection was inspired by the Stonewall Activists of the Stonewall Uprising in 1969. Together adidas and Kris Andrew Small offer a collection in solidarity & celebration of the LGBTQIA+ community's past & present, honouring unique belonging – creating a  colourful & diverse graphic message among this inclusive & optimistic collection. This partnership is also adjacent to adidas' two key Global Purpose Partners, Athlete Ally & Stonewall UK.

Pride isn't just a month. It's every moment. Stand tall and celebrate it in these adidas Forum shoes. Their triple-stacked platform outsole elevates the icon to greater heights while colour accents and reflective panels flaunt hard-to-miss style.",Lace closure; Leather upper; Textile lining; Rubber cupsole; Imported; Product color: Core Black / Supplier Colour / Core Black; Product code: GX6396,,12,4.5
11,,,,/us/ozelia-shoes/GY2502.html,,,"When you're out in the city, it's easy to get lost in the sea of people. Set yourself apart from the crowd with these adidas OZELIA shoes. They're based on '90s runners and then transformed to look like the future with fluid, futuristic weldings. And when your days move fast, plush Adiprene cushioning helps you keep the pace.",Snug fit; Lace closure; Textile and welded upper; Textile lining; Adiprene cushioning; Rubber outsole; Imported; Product color: Wonder White / Grey Five / Aluminium; Product code: GY2502, Core Black / Collegiate Gold / Pulse Blue,2019,4.7
12,,,,/us/x-speedportal-plus-firm-ground-soccer-cleats/GW8409.html,,,"Good players create time and space. Great ones leave them both behind. Unlock multidimensional speed in adidas X Speedportal. Sleek and super-comfortable, these soccer cleats support instant reactions with a springy, full-length Carbitex carbon plate on their firm ground outsole. The laceless, foot-hugging adidas PRIMEKNIT upper includes EVA inserts on the inside and a lightweight carbon heel lock on the outside to keep you stable during light-speed play.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Laceless construction; Speedskin upper; Molded midfoot support; Carbon heel lock; Lightweight Speedframe outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Silver Metallic / Core Black / Solar Yellow; Product code: GW8409, Silver Metallic / Core Black / Solar Yellow,101,4.7
13,,,,/us/web-boost-running-shoes/GZ6455.html,,,"Getting in a few miles or running to the store. These adidas shoes have all the techs to make short-distance training a breeze, and you'll want to wear them on rest days too. The upper has cutouts for airflow, acting like a harness for the stretchy inner bootie. The BOOST midsole is wrapped in 3D Stretchweb to enhance the feeling of energy return.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Off White / Zero Metalic / Ecru Tint; Product code: GZ6455, Cloud White / Silver Metallic / Grey One,,
