,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,T-Mac 1 Basketball Shoes,Men's Basketball,2 colors,/us/t-mac-1-basketball-shoes/GY2402.html,$140,$98,"Very few players dominated the game like Tracy McGrady did. A unique blend of size and athleticism matched by pure basketball talent, McGrady is one of the greatest scorers to lace up and get to work. These signature sneakers from adidas Basketball throw back to the era when T-Mac was king. They feature Adiprene+ cushioning for soft landings and a Torsion System underfoot that supports your decisive first step. The upper is built to match the most iconic sneakers McGrady wore on the court.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",, Royal Blue / Cloud White / Matte Silver,3,5.0
1,EQ21 Run Shoes,Men's Running,7 colors,/us/eq21-run-shoes/GY2193.html,$80,$64,"When running is your sport, there's nothing you love more than that daily run. Log miles in ultimate comfort when you lace up in these adidas shoes. A breathable upper keeps feet feeling cool and fresh on warm days. Lightweight cushioning makes each step more enjoyable.",, Cloud White / Core Black / Beam Yellow,1002,4.5
2,Terrex Trailmaker Mid GORE-TEX Shoes,Women's TERREX,,/us/terrex-trailmaker-mid-gore-tex-shoes/GY6146.html,$150,$105,"Everything you've wanted in a lightweight hiker is here. This adidas mid-height hiking shoe is perfect for fast movement on all-terrain trails. Extra ankle support helps you maneuver roots, rocks and muddy downhills. The Traxion rubber outsole has deep lugs for confidence on otherwise unsure footing. The ripstop upper gives them a look to wear from mountains to city.",,,51,4.5
3,NMD_R1 Shoes,Women's Originals,18 colors,/us/nmd_r1-shoes/GW9473.html,$150,$90,"The city is alive. It's always changing, moving and humming with energy. So lace into your adidas NMD_R1 Shoes and jump right into the action. BOOST cushioning energizes your stride to keep you going when evening plans extend into all-night adventures. And that signature NMD style — shout out to the sleek upper and midsole plugs — means you're always in style. No matter where you are. 

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Bright Orange / Bright Orange / Core Black,2371,4.5
4,NMD_R1 Shoes,Men's Originals,28 colors,/us/nmd_r1-shoes/GY6058.html,$150,,"It doesn't take much to catch the light. Think about a coin on the street, a powerful glint that draws attention. Well these adidas NMD_R1 Shoes do just that with reflective plugs and laces that stand out day and night. The sock-like knit mesh upper and Boost cushioning make sure you feel good all day long.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Core Black / Core Black / Core Black,2560,4.6
5,NMD_R1 V3 Shoes,Men's Originals,21 colors,https://www.adidas.com/us/nmd_r1-v3-shoes/ID6713.html,$160,,"The pinnacle expression of tactical tech, the adidas NMD_R1 V3 Shoes evolve the NMD legacy and play with transparency. Plush BOOST cushioning means that comfort isn't even a question, and that every step is meant to feel good. Metallic accents and monogrammed details bring in extra style.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Grey One / Off White / Halo Silver,36,4.6
6,Lite Racer Adapt 5.0 Shoes,Men's Essentials,2 colors,https://www.adidas.com/us/lite-racer-adapt-5.0-shoes/HR1798.html,$70,$60,"These wide fit adidas shoes are crafted with a Cloudfoam midsole and cushioned sockliner for a light and springy feel. They're inspired by running shoes, but work just as well for juggling daily tasks as they do for jogging.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Cloud White / Core Black / Cloud White,71,4.7
7,Stan Smith Shoes,Women's Originals,9 colors,https://www.adidas.com/us/stan-smith-shoes/GY1072.html,$100,$50,"Plants have been there for us through the best of times and the worst of times. They heal us, soothe us, and have recently proved to be excellent company. So in honor of Plant Appreciation Day, we celebrate our trusty, leafy friends with these adidas Stan Smith shoes. We keep the clean lines that the iconic silhouette is known for. Now they just get some extra life with botanical graphics springing up allover the upper.",, Supplier Colour / Cloud White / Gold Metallic,2488,4.6
8,,,,/us/adizero-boston-11-shoes/GX6650.html,,,"The Boston Marathon is a race. But it's also a goal and a training plan during all the days it stays on your mind before the big one. The Adizero Boston 11 shoes are built for mid- to long-distance running. They bring a race-day quality to training, with a propulsive feel that comes from ENERGYRODS, which limit energy loss underfoot. They're fast, but that does not come at the cost of durability — the midsole mixes ultralight Lightstrike Pro cushioning with durable Lightstrike EVA.",, Grey Three / Zero Metalic / Carbon,74,4.4
9,,,,/us/forum-bold-shoes/GY9223.html,,,"Ready to get crafty? If you've ever exchanged friendship bracelets with your bestie, then you're no stranger to the colorful beads on these juniors' adidas shoes. Not only do they add a pop of color to your style, but they also can be personalized. Once you've created your look, all that's left is to head out and walk with confidence on the bold platform outsole. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,22,4.9
10,,,,/us/cloudfoam-pure-2.0-shoes/GY2227.html,,,"Whatever your day has in store, move through it in comfort and confidence with these shoes. Inspired by adidas running footwear, they combine a lightweight and breathable fit with premium cushioning under foot, so every step is as effortless as the one before it. Pair them with tights and a tank top as you head for the yoga studio, or match them up with your favorite track pants and hoodie for a casual outing with friends.

Made with a series of recycled materials, the upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Core Black / Cloud White / Carbon,1629,4.5
11,,,,/us/stan-smith-crib-shoes/FY7890.html,,,"A champion of the court makes its way to the crib. Since 1971 adidas Stan Smith Shoes have been a tennis favorite. Now your little one can show off their own winning moves in this sized down pair for toddlers. Soft and comfy, they have a flexible construction that's designed for little feet. Tiny perforated 3-Stripes and a Stan Smith heel tab pay tribute to the iconic look of the original.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",, Cloud White / Cloud White / Cloud White,29,4.7
12,,,,/us/samba-og-shoes/HP7906.html,,,"The year was 1950, and the adidas Samba shoes had just stepped out on the world stage. The pitch would never be the same. Soccer players were the first to fall under its spell, using the grippy sole to train in icy weather. Next up, skaters co-opted the design and took it to their decks. With smooth leather, 3-Stripes and that recognizable rubber sole, this authentic pair is bringing back the heritage for a new generation of creators.",, Orange Rush / Core White / Gum,254,4.8
13,,,,/us/samba-manchester-united-shoes/HQ7030.html,,,"Lace up in the only soccer colors that matter. Kitted out in red and black, these adidas Samba shoes show off your Old Trafford style. A Manchester United badge on the tongue reminds you you're a Red Devil every time you pull them on, while the classic T-toe and serrated 3-Stripes stay true to the Samba name. The smooth leather upper lined with soft fabric makes these sneakers extremely comfortable — ready to pull on again and again.",, Clear Blue / Cloud White / Tactile Blue,183,4.9
14,,,,/us/stan-smith-shoes/FX7519.html,,,"Every generation has made the Stan Smiths their own. Now, it's your turn. These juniors' shoes have the same clean look and crisp feel as the original. What's different? The materials. Recycled components are part of adidas' commitment to reduce waste. Time to lace in and start a brand-new story. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",, Cloud White / Cloud White / Green,70,4.9
