,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Atlanta United FC Ultraboost DNA x Copa Shoes,Sportswear,7 colors,/us/atlanta-united-fc-ultraboost-dna-x-copa-shoes/HQ5903.html,$200,$120,"Celebrate your favorite major league club every time you lace up. The Ultraboost x Copa collaboration brings a classic soccer shoe look to comfortable, everyday running shoes. The responsive midsole fuses hundreds of adidas BOOST capsules for incredible energy return to power your daily adventures.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Team Victory Red / Cloud White; Product code: HQ5903, Core Black / Team Victory Red / Cloud White,21,4.8
1,Superstar 360 Shoes,Children Originals,2 colors,/us/superstar-360-shoes/GX1869.html,$60,$36,"Help them shake up their sneaker game with this fun take on the adidas Superstar 360 shoes. Kids will delight in the colorful allover print of Trefoil logos. Lightweight EVA cushioning and deep flex grooves ensure maximum comfort and movement.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Slip-on; Two-layer mesh upper; Stretchy and snug; OrthoLite® sockliner; Adifit length-measuring insole; One-piece EVA outsole with deep flex grooves; Upper contains a minimum of 50% recycled content; Imported; Product color: Almost Blue / Core Black / Cloud White; Product code: GX1869, Core Black / Cloud White / Semi Impact Orange,5,5.0
2,Stan Smith Shoes,Infant & Toddler Originals,,/us/stan-smith-shoes/HP9762.html,$60,$36,"The adidas Stan Smith shoes of today wouldn't be what they are without their past, and every part of that past is what helps inform our future. This infants' version of the legendary icon rides on that DNA, showcasing the same look that started it all, but does it up in recycled materials as part of our commitment to change for the future. All the signature details still remain though — like the perforated 3-Stripes — but this upper showcases a subtle snakeskin print and a sequined Trefoil patch.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop straps; Synthetic leather upper; OrthoLite® sockliner; Adifit length-measuring insole; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Core White / Core White / Beam Orange; Product code: HP9762,,,
3,ULTRABOOST 22 BCA RUNNING SHOES,Women's Running,23 colors,/us/ultraboost-22-bca-running-shoes/HP9553.html,$190,$143,"The adidas Breast Cancer Awareness Collection is a limited edition product range featuring the Five Ten Freerider, Terrex Agravic, Terrex Free Hiker and adidas UltraBoost, accompanied by an exclusive apparel collection.
The collection brings together pink color detailing with graphic illustrations from athlete Veronique Sandler that unites the mountains, bikes and the great outdoors together in this playful yet powerful collection.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Linear Energy Push system; BOOST midsole; Weight: 10.2 ounces (size 7); Midsole drop: 10 mm; Stretchweb outsole with Continental™ Better Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Bliss Lilac / Beam Orange / Pulse Magenta; Product code: HP9553, Beam Pink / Core Black / Cloud White,933,4.7
4,Adilette Slides,Women's Originals,11 colors,/us/adilette-slides/GX9484.html,$50,$20,"There is simply no wrong way (or place) to wear the adidas Adilette slides. That's the beauty of them. They're the epitome of comfort, which is why we don't just suggest starting the day in them, we highly recommended ending the night in them too. Especially with the graphic pops on the synthetic upper, which add a colorful, carefree edge to any look — dressed up or played down.",Slip-on; Synthetic upper; Textile lining; Cork footbed; Rubber outsole; Imported; Product color: Glory Mint / Cloud White / Gum; Product code: GX9484, Beam Orange / Cloud White / Gum,34,4.3
5,Ubersonic 4 Kids Shoes,Children Tennis,2 colors,https://www.adidas.com/us/ubersonic-4-kids-shoes/GY4020.html,$55,$33,"Speed buys time. Time earns points. That's why these adidas Ubersonic 4 Kids Shoes tennis shoes were created to get you to the ball faster. Their comfortable mesh upper includes heel padding to lock you in for lightning sprints. EVA midsole cushioning makes for soft landings and a grippy Adiwear outsole keeps you quick on multiple surfaces.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Sock-like fit; Lace closure; Mesh upper; Reinforced toe area; Textile lining; EVA midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pulse Blue / Core Black; Product code: GY4020, Cloud White / Core Black / Solar Red,39,4.8
6,D.O.N. Issue #4 Basketball Shoes,Basketball,9 colors,https://www.adidas.com/us/d.o.n.-issue-4-basketball-shoes/GY6509.html,$120,,"The future of basketball is all about speed, and Donovan Mitchell is as fast as they come. The newest signature shoes from Mitchell and adidas Basketball are built specifically to elevate the on-court movements of one of the game's fastest, most dynamic scorers. Ultralight Lightstrike teams up with a LIGHTLOCK upper for a snug fit and a propulsion system that won't weigh you down. A totally unique rubber outsole is designed to generate traction where you need it most, so every hard-charging cut and head fake has total support. Mitchell's Spida logo and signature graphics provide the finishing touch.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; LIGHTLOCK upper; Lightweight, cushioned feel; Textile lining; Lightstrike cushioning; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Grey One / Grey Two; Product code: GY6509", Vivid Red / Core Black / Team Victory Red,29,4.4
7,NMD_R1 Shoes,Youth Originals,2 colors,https://www.adidas.com/us/nmd_r1-shoes/HQ6183.html,$130,$78,"Don't shy away from making a statement. These juniors' adidas NMD_R1 Shoes stay true to the original '80s-inspired silhouette that's become iconic across the globe while introducing two fun patterns to play with. The stretchy mesh upper hugs your feet for comfort on the go. Long commutes and slick city sidewalks are no problem, thanks to energy-returning BOOST midsole cushioning and the grippy rubber outsole beneath your feet.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; Mesh upper; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Cloud White / Core Black; Product code: HQ6183, Core Black / Cloud White / Core Black,1,5.0
8,,,,/us/response-shoes/GX2005.html,,,"These shoes are designed to give you that cushioning and responsiveness that you need when you're hitting the track or trail. Whether you're going on your daily walk or fitting in a quick run, the Bounce midsole is flexible and responsive in every step. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Sandwich mesh upper with padded collar; Textile lining; Fitcounter molded heel counter; Bounce midsole; Synthetic outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Altered Blue / Beam Pink; Product code: GX2005, Bliss Lilac / Silver Metallic / Wonder Steel,9,4.3
9,,,,/us/exhibit-b-mid-basketball-shoes/HQ1121.html,,,"Built for the positionless basketball player, these adidas shoes suit the athlete who wants to do it all on the hardwood. Metallic-gold hits throughout the upper and a speckled midsole meet the prototype design lines for a unique look. Lightstrike cushioning reacts to every move you make on the hardwood without weighing you down. The tread pattern on the outsole gives you traction when you change directions or stop on a dime for that pull-up jumper.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper; Lightstrike cushioning; Tongue and heel pulls; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core White / Gold Metallic / Cloud White; Product code: HQ1121, Grey Two / Cloud White / Core Black,,
