,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
0,Best Seller,Air Jordan 1 Mid,Shoes,2 Colors,$125,,https://www.nike.com/t/air-jordan-1-mid-shoes-M2KS6n/554724-079,"Inspired by the original AJ1, the Air Jordan 1 Mid offers fans a chance to follow in MJ's footsteps. Fresh color trims the clean, classic materials, imbuing modernity into a classic design.",Black/White/Fire Red; Black/Black/Black,2161.0,4.9
1,Best Seller,Nike Blazer Mid '77 Vintage,Women's Shoes,3 Colors,$105,,https://www.nike.com/t/blazer-mid-77-vintage-womens-shoes-25h71W/CZ1055-100,"Styled for the ‘70s. Loved in the ‘80s. Classic in the ‘90s. Ready for the future. The Nike Blazer Mid ’77 Vintage delivers a timeless design that’s easy to wear. Its unbelievably crisp leather upper breaks in beautifully and pairs with bold retro branding and luscious suede accents for a premium feel. Exposed foam on the tongue and a special midsole finish make it look like you’ve just pulled them from the history books. Go ahead, perfect your outfit.",White/White/Peach/White; White/Sail/Peach/Black; White/Peach/Summit White/Pink Oxford; Design your own Nike By You product,519.0,4.8
2,Coming Soon,Nike Dunk Low Retro,Men's Shoes,1 Color,$110,,https://www.nike.com/t/dunk-low-retro-mens-shoes-8t3K7k/DD1391-100,"Created for the hardwood but taken to the streets, the Nike Dunk Low Retro returns with crisp overlays and original team colors. This basketball icon channels '80s vibes with premium leather in the upper that looks good and breaks in even better. Modern footwear technology helps bring the comfort into the 21st century.",,,
3,Best Seller,Nike Air Force 1 '07,Men's Shoes,2 Colors,$110,,https://www.nike.com/t/air-force-1-07-mens-shoes-xDpsTk/CT2302-100,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colors and the perfect amount of flash to make you shine.",Black/White; White/Black; Design your own Nike By You product,128.0,4.9
4,Best Seller,Air Jordan 12 Retro,Men's Shoes,1 Color,$200,,https://www.nike.com/t/air-jordan-12-retro-mens-shoes-kcMcpK/CT8013-015,"No need to call for a ride—MJ's game-winning look from '96 will get you where you need to go. This AJ12 is the return of Tinker Hatfield's celebrated design, the first to bring Zoom Air cushioning to Jordan's signature line. Premium materials give it a seasonal refresh, while the sunrise-inspired stitch lines on the upper hook back to the original. This is buzzer-beater style, perfected.",Shown: Stealth/Cool Grey/White,333.0,4.9
5,,Nike Dunk High Retro,Men's Shoe,2 Colors,$125,,https://www.nike.com/t/dunk-high-retro-mens-shoe-dTVTCk/DD1399-600,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with perfectly sheened overlays and original university colors. With its classic hoops design, the Nike Dunk High Retro channels '80s vintage back onto the streets while its padded, high-top collar adds an old-school look rooted in comfort.",Dark Beetroot/Wolf Grey/White/Dark Beetroot; Court Purple/University Gold/White/Court Purple,30.0,4.5
6,Best Seller,Nike Blazer Mid '77,Big Kids' Shoes,5 Colors,$85,,https://www.nike.com/t/blazer-mid-77-big-kids-shoes-4VfSTd/DA4086-100,"The Nike Blazer Mid '77 channels the old-school look of Nike basketball with a vintage midsole finish. Throwback style with modern materials means you can run, skip and jump in comfort.",White/Total Orange/Black; Black/White/Team Orange/Sail; White/Pink Glaze; Pure Platinum/Barely Grape/Thunder Blue/Metallic Silver; White/Yellow Ochre/Light Bone/Laser Blue; Summit White/Coconut Milk/Honeydew/Pink Foam; White/Pecan/Vivid Sulfur,271.0,4.8
7,,Nike Air Force 1 '07 Premium,Men's Shoes,1 Color,$140,$120.97,https://www.nike.com/t/air-force-1-07-premium-mens-shoes-jTLc6j/DX2304-400,"The radiance lives on with the Nike Air Force 1 ’07 Premium. Crossing hardwood comfort with off-court flair, this hoops original puts a fresh spin on what you know best: durable stitched overlays, clean finishes and the perfect amount of flash to make you shine.",Shown: Racer Blue/White/University Blue,2.0,5.0
8,Best Seller,Nike Air Max 90,Men's Shoes,4 Colors,$130,$123.97,https://www.nike.com/t/air-max-90-mens-shoes-6n3vKB/CN8490-100,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle sole, stitched overlays and classic TPU details. Classic colors celebrate your fresh look while Max Air cushioning adds comfort to the journey.",Iron Grey/Dark Smoke Grey/Black/White; Wolf Grey/Black/White/Black; Black/Black/Black/Black; White/White/Wolf Grey/White; Design your own Nike By You product,270.0,4.7
9,,Air Jordan 1 Mid SE,Men's Shoes,1 Color,$135,,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-bZLgb7/DM1200-016,"Stand out with timeless hoops style. Premium leather gets polished, shined and textured to deliver a fresh take on the shoe that started it all. Air cushioning and a classic design keep everything you love best from the original.",Shown: Black/White/Light Smoke Grey/University Red,139.0,4.9
10,Best Seller,Air Jordan 1 Retro High OG,Shoes,1 Color,$180,,https://www.nike.com/t/air-jordan-1-retro-high-og-shoes-fZMprq/555088-161,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details.",Shown: White/Black/University Red,1358.0,4.9
11,Best Seller,Nike Air Force 1 Shadow,Women's Shoes,13 Colors,$130,,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/CI0919-120,"The Nike Air Force 1 Shadow puts a playful twist on a classic b-ball design. Using a layered approach, doubling the branding and exaggerating the midsole, it highlights AF-1 DNA with a bold, new look.",Shimmer/Sanddrift/Pearl White/Mars Stone; Sail/Classic Green/University Blue/Multi-Color; White/Peach Cream/Light Liquid Lime/White; White/Racer Blue/Atomic Green/Black; Cashmere/Orange Chalk/Lobster/Cashmere; Sail/Hydrogen Blue/Bright Citron/Doll; Sail/Sesame/Black/Multi-Color; Summit White/Yellow Ochre/Lapis/Neptune Green; White/White/White; Rush Orange/Guava Ice/White/Black; Light Soft Pink/Pink Oxford/Lemon Wash/Light Thistle; White/Pure Platinum/Blackened Blue/Metallic Silver; Photon Dust/Black/University Blue/Malachite,481.0,4.8
12,,"LeBron XX ""Purple and Gold""",Basketball Shoes,3 Colors,$200,,https://www.nike.com/t/lebron-xx-purple-and-gold-basketball-shoes-ct1qVm/DJ5423-500,"Serving up electrifying colors that pulse like a California sunset, the LeBron 20 takes you courtside with a look that pays tribute to the team you love. Purple Pulse and Violet Frost deliver a vibrant backdrop for game-winning Metallic Gold accents while graphics on the midsole let you settle into the LA vibe—powerful, royal and ahead of its time. Taking you into the future, the light, low-to-the-ground and ultra-cushioned design sets you up to stay on top of today’s frenzied style of play and make your mark on the next era of hoops.",Black/University Red/University Gold/Black; Violet Frost/Purple Pulse/Canyon Purple/Metallic Gold; Barely Green/Medium Soft Pink/Light Bone/Multi-Color,7.0,4.4
13,Best Seller,Air Jordan 1 Low,Men's Shoes,1 Color,$110,,https://www.nike.com/t/air-jordan-1-low-mens-shoes-9xSzrW/553558-063,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. With an iconic design that pairs perfectly with any 'fit, these kicks ensure you'll always be on point.",Shown: Black/White/Fire Red,821.0,4.8
14,Best Seller,Nike Air Force 1 '07 LV8,Men's Shoes,3 Colors,$130,,https://www.nike.com/t/air-force-1-07-lv8-mens-shoes-NCHHsv/DQ7658-101,"Celebrating 40 years of pushing sport and fashion boundaries, this commemorative AF1 mixes elements from beloved launches to highlight the timeless design’s place in sneaker history. Gold accents, a debossed *40* on the heel and an honorary tongue label are just a few of the embellishments inviting you to the party. Completing the look, crisp leather in bold colors delivers a grand finale. Happy anniversary!",White/White/Black; Sail/White/Metallic Gold/Malachite; Malachite/Sail/White/Blue Jay,7.0,5.0
15,,Nike Dunk High 1985,Shoes,1 Color,$140,,https://www.nike.com/t/dunk-high-1985-shoes-rsx4JL/DV1143-800,"Celebrate heritage with an updated version of the Dunk High, recrafted to reflect the original from 1985. Matching the shape, look and feel that started it all, it delivers true vintage style while keeping the familiar comfort you love.",Shown: Arctic Orange/Summit White/Orange Blaze/Arctic Orange,6.0,3.0
16,,Nike Go FlyEase,Easy On/Off Shoes,4 Colors,$120,$96.97,https://www.nike.com/t/go-flyease-easy-on-off-shoes-6nd2cc/CW5883-003,"Just when you thought you'd seen it all, Nike wows with an all-new way to quickly and easily get into your shoes. Great for people with limited mobility seeking ease of entry, or anyone wanting a quicker way to get in and go! The entire heel (including the sole) of the Nike Go FlyEase pivots open for a totally hands-free entry.",Pink Gaze/Hyper Pink/White/Black; Light Army/Black/Summit White; Court Blue/Dutch Blue/White; Black/Anthracite/Elemental Gold/White,23.0,3.6
17,,Nike Benassi JDI,Men's Slides,4 Colors,$25,$23.97,https://www.nike.com/t/benassi-jdi-mens-slides-JMOEGm/343880-090,"Slide into comfort in the lightweight and sporty Nike Benassi JDI Slide. It features the Nike logo on the foot strap, which is lined in super soft fabric. The foam midsole brings that beach feeling to your feet and adds spring to your kicked-back style.",White/Black/Black; Black/Metallic Gold; Black/White; Black/Black/Black,901.0,4.5
18,Best Seller,Nike Waffle Debut,Women's Shoes,6 Colors,$75,,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-100,"Retro gets modernized with these sleek sneaks inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colors, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation.",White/Team Orange/Rattan/Sail; Football Grey/Phantom/Orange/Light Madder Root; Black/Orange/Clear/White; Sanddrift/Phantom/White/Black; White/Black/Orange/White; Gym Red/Sail/Black/Gym Red,65.0,4.8
19,Best Seller,Nike Air Force 1 '07,Men's Shoes,2 Colors,$110,,https://www.nike.com/t/air-force-1-07-mens-shoes-5xqQ6q/DJ2739-100,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: crisp leather, clean colorways and the perfect amount of flash to make you shine. This clean, pure white finish adds the gum sole contrast for a fresh, versatile look with just the right amount of pop.",Black/Gum Light Brown/Black; White/Gum Light Brown/White,82.0,4.7
20,,Nike Quest 4,Women's Road Running Shoes,1 Color,$75,,https://www.nike.com/t/quest-4-womens-road-running-shoes-LM6nH6/DA1106-006,The pursuit of speed continues with the Nike Quest 4. Take on the streets with higher foam heights and cushioned comfort that combine with a lightweight upper to offer secure support. Intuitive details make it a staple for the everyday runner.,Shown: Black/Dark Smoke Grey/White,59.0,4.8
21,,Nike Zoom Mercurial Superfly 9 Elite KM FG,Firm-Ground Soccer Cleats,5 Colors,$295,,https://www.nike.com/t/zoom-mercurial-superfly-9-elite-km-fg-firm-ground-soccer-cleats-sb8gJK/DO9342-694,"Kylian Mbappé's explosiveness, plus his twitchy change of direction, puts him firmly in the world class of finishers. With nods to his heritage, this cleat is made to help you play just like KM—with blinding pace and purpose. We added a Zoom Air unit, made specifically for soccer, and grippy texture up top for exceptional touch, so you can dominate in the waning minutes of a match—when it matters most.",Metallic Copper/Metallic Copper; White/Concord/Medium Blue/Metallic Copper; Dark Beetroot/University Blue/Vivid Purple/Metallic Vivid Gold; Yellow Strike/Barely Grape/Coconut Milk/Sunset Glow; Black/Summit White/Volt/Dark Smoke Grey,6.0,5.0
22,,Jordan 1 Mid,Big Kids' Shoes,1 Color,$110,,https://www.nike.com/t/jordan-1-mid-big-kids-shoes-H7BzRT/554725-701,Follow in the footsteps of greatness. The all-time classic AJ1 design gets a makeover with fresh pops of color and mixed materials.,Shown: Taxi/White/Black,811.0,4.9
23,,Nike Court Vision Low,Shoes,2 Colors,$70,$50.97,https://www.nike.com/t/court-vision-low-shoes-4G3ZFr/CD5463-002,"So you're in love with the classic look of '80s basketball, but you've got a thing for the fast-paced culture of today's game. Meet the new Nike Court Vision Low. Its crisp upper and stitched overlays are inspired by the hook shot of old-school basketball while its super plush, low-cut collar adds a sleek look that's comfortable day in and day out.",Black/Black/Black; White/White/White,319.0,4.7
24,Sustainable Materials,Jordan 1 KO,Shoes,1 Color,$150,,https://www.nike.com/t/jordan-1-ko-shoes-V91zw2/DO5047-100,"The Jordan 1 inspires admiration among collectors and next-gen fans alike. The Jordan 1 KO repackages the famous icon using a mix of synthetic leather and canvas, with a fit that's redesigned for comfort.",Shown: White/Grey Fog/Sail/Black,3.0,5.0
25,,Nike Flex Control 4,Men's Training Shoes,5 Colors,$65,$54.97,https://www.nike.com/t/flex-control-4-mens-training-shoes-14Z62l/CD0197-002,"Emphasizing lightweight comfort and stability, the Nike Flex Control 4 is tailored to explosive workouts. Its lightweight, flexible upper has a midfoot strap for stability, while the sole has deep flex grooves to let your foot move naturally.",University Red/White/Black; Spruce Aura/Volt/White/Black; Midnight Navy/Black/White/Metallic Silver; Light Smoke Grey/Smoke Grey/Dark Smoke Grey/Black; White/Smoke Grey/Black; Black/Dark Smoke Grey/Smoke Grey/White,81.0,4.5
26,Best Seller,Air Jordan 1 Low,Men's Shoes,1 Color,$110,,https://www.nike.com/t/air-jordan-1-low-mens-shoes-6jlL02/553558-701,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. With an iconic design that pairs perfectly with any 'fit, these kicks ensure you'll always be on point.",Shown: Taxi/White/Black,847.0,4.8
27,,Nike Air Zoom Pegasus 38,Women's Road Running Shoes,6 Colors,$120,$72.97,https://www.nike.com/t/air-zoom-pegasus-38-womens-road-running-shoes-gg8GBK/CW7358-002,"The road is your runway. Get ready to take flight in the workhorse with wings. Back with extra bounce that’s perfect for hitting the pavement. Whether you’re racking up everyday miles or on your long run, feel the spring in your step with the same cushioned support as its predecessor. Breathable mesh in the upper combines the comfort and durability you want with a wider fit at the toes.",Burnt Sunrise/Black/Phantom/Habanero Red; Blue Tint/White/Black/Metallic Silver; Chile Red/Black/Platinum Tint/Hyper Pink; Barely Volt/Volt/Aurora Green/Black; Black/Anthracite/Volt/White; Black/Thunder Blue/Ashen Slate/Metallic Gold Coin; White/Pure Platinum/Wolf Grey/Metallic Silver,236.0,4.6
28,,Nike Air Force 1 '07 Premium Vintage,Men's Shoes,1 Color,$150,$120.97,https://www.nike.com/t/air-force-1-07-premium-vintage-mens-shoes-qfvM3M/DO9785-200,"Sophisticated and retro-inspired. Ring in the new age of AF1 vintage with era-echoing ‘80s construction and the ultimate in soft comfort. The woven tongue label and jeweled Swoosh brings the original hoops look to life, while a Coconut Milk outsole adds heritage appeal and durable traction.",Shown: Pecan/Pecan/Alpha Orange/Black,0.0,0.0
29,,Nike Court Vision Alta,Women's Shoes,5 Colors,$80,$68.97,https://www.nike.com/t/court-vision-alta-womens-shoes-TbljXk/DM0113-003,Raise the bar with the Nike Court Vision Alta. The modern design combines leather on top with the perfect lift underneath. The elevated hoops look then crowns your feet with its ultra plush tongue.,White/Light Bone/Sail/Archaeo Brown; Seafoam/White/Summit White; White/Summit White/Metallic Platinum; Black/White; White/White/White,51.0,4.2
30,,Air Jordan 7 Retro,Men's Shoes,1 Color,$200,,https://www.nike.com/t/air-jordan-7-retro-mens-shoes-7Zr804/CU9307-081,"Inspired by the shoe originally worn by MJ during the '92 season and summer of basketball, the Air Jordan 7 Retro revives its championship legacy for a new generation of sneakerheads.",Shown: Black/Varsity Red/Citrus,66.0,4.8
31,Best Seller,Air Jordan 1 Low,Women's Shoe,1 Color,$110,,https://www.nike.com/t/air-jordan-1-low-womens-shoe-V7z3v6/DC0774-160,"Always in, always fresh. The Air Jordan 1 Low sets you up with a piece of Jordan history and heritage that's comfortable all day. Choose your colors, then step out in the iconic profile that's built with a high-end mix of materials and encapsulated Air in the heel.",Shown: White/Black/Sail/Gym Red,171.0,4.8
32,,Air Jordan XXXVII,Men's Basketball Shoes,3 Colors,$185,,https://www.nike.com/t/air-jordan-xxxvii-mens-basketball-shoes-m0hz3P/DD6958-160,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about takeoffs and landings, with multiple Air units to get you off the ground and our signature Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised.",White/Citrus/Black; Light Bone/Black/Dark Concord/Fire Red; White/Light Silver/Black/True Red,11.0,4.8
33,,Nike Air VaporMax Plus,Men's Shoes,10 Colors,$210,$199.97,https://www.nike.com/t/air-vapormax-plus-mens-shoes-nC0dzF/DX3720-200,"The Nike Air VaporMax Plus looks to the past to propel you into the future. Nodding to the ’98 original with its floating cage and padded upper, it adds VaporMax Air technology to ramp up the comfort and create a modern look.",Rattan/Khaki/Black/White; University Red/University Red; White/Mint Foam/Washed Teal/Siren Red; Black/University Red/Washed Teal/University Gold; White/University Blue/Worn Blue/Habanero Red; Black/Metallic Gold; White/Aurora Green/Black/Fierce Purple; White/Pure Platinum/White; Black/Black/Dark Grey; Obsidian/Photo Blue/Black/Obsidian,13.0,4.5
34,Best Seller,Air Jordan 1 Low,Men's Shoes,1 Color,$110,,https://www.nike.com/t/air-jordan-1-low-mens-shoes-kT68wc/553558-163,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh. With an iconic design that pairs perfectly with any 'fit, these kicks ensure you'll always be on point.",Shown: White/Black/Gym Red,847.0,4.8
35,,Air Jordan 1 Elevate Low,Women's Shoes,1 Color,$135,,https://www.nike.com/t/air-jordan-1-elevate-low-womens-shoes-xwrlfj/DH7004-141,"Rise to the occasion in style that soars. This shoe reworks an icon's original magic with a platform sole and low cut silhouette. Air cushioning keeps you lifted, and sleek leather in contrasting colors adds visual interest.",Shown: White/Sail/Midnight Navy,8.0,5.0
36,Best Seller,Air Jordan 13 Retro,Shoe,1 Color,$200,,https://www.nike.com/t/air-jordan-13-retro-shoe-LtBtC2/414571-164,"The Air Jordan 13 Retro brings back the memorable game shoe that Michael Jordan wore during the '97-98 season, all the way to his 6th championship title. All the classic details are there like the quilted overlay, iconic sculpted midsole and holographic eye.",Shown: White/French Blue/Light Steel Grey/Fire Red,1218.0,4.9
37,Best Seller,Nike Air Force 1 '07 SE,Women's Shoes,2 Colors,$120,,https://www.nike.com/t/air-force-1-07-se-womens-shoes-VTlZHL/DQ7582-100,"Celebrating 40 years of pushing sport and fashion boundaries, this commemorative AF1 mixes elements from beloved launches to highlight the timeless design’s place in sneaker history. Gold accents, a debossed *40* on the heel and an honorary tongue label are just a few of the embellishments inviting you to the party. Completing the look, crisp leather in bold colors delivers a grand finale. Happy anniversary!",Sail/Metallic Gold/Black/Team Red; Yellow Ochre/White/Team Orange/Sail; Design your own Nike By You product,5.0,4.2
38,,Giannis Immortality,Basketball Shoes,5 Colors,$80,$58.97,https://www.nike.com/t/giannis-immortality-basketball-shoes-p9QlJF/CZ4099-800,"The future of basketball is positionless, and nobody embodies this evolution like MVP Giannis Antetokounmpo. The Giannis Immortality is a game shoe for players who love Giannis' multidimensional game and want a piece of his freaky style.",Black/Ozone Blue/Team Orange/Limelight; White/Black/Turquoise Blue/Clear; Arctic Orange/Light Marine/Light Madder Root/Medium Blue; Black/White/Wolf Grey/Clear; White/Black/Metallic Gold,337.0,4.7
39,,PG 6,Basketball Shoes,8 Colors,$110,,https://www.nike.com/t/pg-6-basketball-shoes-BP9Wkt/DC1974-003,"Paul George does it all on the court, comfortably. He can take it to the hole, drive and dish, catch and shoot—always smooth, frequently devastating. Thanks to breathable mesh and responsive foam, his signature PG 6 is designed to feel light and buoyant like you're walking on clouds.",Laser Blue/Black/Siren Red/Laser Orange; White/Soft Pink/Purple Pulse/Light Photo Blue; Black/Celestine Blue/Peach Cream/Metallic Gold; Violet Frost/Purple Pulse/Canyon Purple/Light Crimson; Celestine Blue/Peach Cream/Barely Volt/Wolf Grey; Hyper Royal/Deep Royal Blue/Bleached Coral/Light Marine; Black/University Red/Cool Grey/Wolf Grey; White/Black/Thunder Blue/Crimson Bliss,72.0,4.6
40,,Nike Air Force 1 PLT.AF.ORM,Women's Shoes,7 Colors,$110,$80.97,https://www.nike.com/t/air-force-1-pltaform-womens-shoes-XL2m2Q/DJ9946-600,"Let classic, easy-to-wear AF1 style rise to the occasion with the Nike Air Force 1 PLT.AF.ORM. Its elegantly shaped and lifted midsole delivers a proud, new voice to the hoops franchise. The leather on the upper breaks in easily and ages to soft perfection while the sculpted collar and pillowy heel keep it comfy. Captivate your audience.",White/Medium Soft Pink/Barely Volt/Baltic Blue; Barely Green/Velvet Brown/Mint Foam/Enamel Green; Summit White/Sail/Wolf Grey/Metallic Silver; Pink Oxford/White/Light Soft Pink; Atmosphere/Pink Oxford/Atmosphere/Phantom; White/White/White/Summit White; Black/White/Black/Anthracite,9.0,4.9
41,Best Seller,Air Jordan 1 Low,Big Kids' Shoes,1 Color,$90,,https://www.nike.com/t/air-jordan-1-low-big-kids-shoes-QtDMM8/553560-701,An iconic look that lasts. This AJ1 pairs the classic design of the original with premium materials that will keep you going all day.,Shown: Taxi/White/Black,208.0,4.9
42,,Air Jordan 5 Retro Low PSG,Men's Shoes,1 Color,$200,,https://www.nike.com/t/air-jordan-5-retro-low-psg-mens-shoes-FZvZzl/DX6325-204,"Jordan and Paris Saint-Germain come together again, this time with an update to the AJ5. This low-top pair looks fresh while featuring the best elements from the original, like lace toggles, rich leather and the iconic WWII Mustang fighter plane-inspired graphic. The stamped PSG logo on the heel subtly reps your favorite club.",Shown: Pumice/Black/Plum Eclipse/Game Royal,3.0,5.0
43,Member Access,Nike Dunk High Next Nature,Big Kids' Shoes,1 Color,$105,,https://www.nike.com/t/dunk-high-next-nature-big-kids-shoes-cBH4nG/DZ5638-500,"Let your dreams soar sky high in this hoops legend. To celebrate International Day of the Girl, we updated a sneaker icon with colors as vibrant and bold as you! An extra-long tongue label gives you space to record your goals while crisp synthetic leather and plush ankle padding keep them durable and comfortable. Lace them up—the future is yours!",Shown: Dynamic Berry/Royal Tint/Arctic Orange/Coconut Milk,0.0,0.0
44,,Nike Dunk High,Little Kids' Shoes,1 Color,$85,,https://www.nike.com/t/dunk-high-little-kids-shoes-4JNfvt/DZ4455-500,"Vintage style soars sky-high with the return of the Nike Dunk High. Refreshed for a new generation of ballers, durable leather overlays, plush ankle padding and bold purple and gold details make these kicks a style slam dunk for little feet.",Shown: Court Purple/University Gold/White/Court Purple,2.0,5.0
45,,LeBron Witness 6,Basketball Shoes,6 Colors,$100,$76.97,https://www.nike.com/t/lebron-witness-6-basketball-shoes-HXbMw7/CZ4052-300,"For this iteration of the LeBron Witness, we swapped out Zoom Air for visible Max Air cushioning—LeBron's favorite—to help dissipate impact forces and provide a responsive sensation. The lightweight, reinforced mesh upper keeps you contained all around, from the webbing that harnesses your forefoot to the external molded pieces that lock in your heel.",Black/Sequoia/Crimson Pulse/Metallic Silver; Pure Platinum/University Red/White/Wolf Grey; White/Persian Violet/Yellow Strike/Black; Black/Dark Obsidian/White; Clear Emerald/Wild Berry/White/Hyper Pink; Coconut Milk/Vapor Green/Citron Tint/Polarized Blue,200.0,4.7
46,Sustainable Materials,Nike Downshifter 12,Men's Road Running Shoes,12 Colors,$70,$39.97,https://www.nike.com/t/downshifter-12-mens-road-running-shoes-V46wDl/DD9293-400,"Take those first steps on your running journey in the Nike Downshifter 12. Made from at least 20% recycled content by weight, it has a supportive fit and stable ride, with a lightweight feel that easily transitions from your workout to hangout. Your trek begins. Lace up and hit the road.",Anthracite/Black/White/Racer Blue; Light Smoke Grey/Aviator Grey/Photon Dust/Metallic Cool Grey; Black/Particle Grey/Dark Smoke Grey; White/Light Crimson/Black/Valerian Blue; Football Grey/Concord/White/Bright Crimson; Black/Dark Smoke Grey/Light Smoke Grey/White; Black/Dark Smoke Grey/Pure Platinum/White; Midnight Navy/Dark Obsidian/Pure Platinum/Worn Blue; White/White/Pure Platinum; Dark Smoke Grey/Khaki/Bright Crimson/Laser Blue,16.0,4.6
47,,Nike Air Max 90,Women's Shoes,1 Color,$130,,https://www.nike.com/t/air-max-90-womens-shoes-3q630b/DX3316-100,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its roots with an iconic Waffle outsole, stitched overlays and molded plastic accents. Fresh colors give these kicks a modern look while Max Air cushioning adds comfort to your journey.",Shown: White/Doll/Pure Platinum/Lapis,0.0,0.0
48,,"Zoom Freak 4 ""Greek Coastline""",Basketball Shoes,7 Colors,$130,$110.97,https://www.nike.com/t/zoom-freak-4-greek-coastline-basketball-shoes-dsLlqf/DJ6149-100,"Giannis is an incessant storm of stamina and skill that keeps coming at opponents for 4 quarters or more. The forward-thinking design of his latest signature shoe helps propel you down the court in a lightweight fit that moves with you. It can handle quick changes in direction on both sides of the floor, giving you side-to-side stability and multidirectional traction as you Euro step to the hoop. The colors pay tribute to 1 of the Greek Freak’s favorite coastal getaway spots, in the country he proudly calls home.",Dark Marina Blue/Pink Gaze/Midnight Navy/Barely Volt; Action Grape/Summit White/Black/Pinksicle; White/Black/Barely Volt/White; Ironstone/Cobblestone/Sail/Orange Trance; Laser Blue/Light Menta/Glacier Blue/Lilac; Light Bone/Sail/Sweet Beet/Moon Fossil; University Red/Safety Orange/Black/Bright Crimson,4.0,4.8
49,,Nike Air Force 1 '07 LV8 1,Men's Shoes,1 Color,$130,$104.97,https://www.nike.com/t/air-force-1-07-lv8-1-mens-shoes-x0bMdL/CW6999-600,"The Nike Air Force 1 '07 LV8 1 incorporates the same hoops-inspired performance features of the '82 OG while adding fresh design details for an updated look. Its low-cut collar provides a comfortable fit around the ankle, while the all-red colorway delivers a striking visual that tells others to stop and look.",,55.0,4.9
50,,Nike Mercurial Superfly 8 Club MG,Multi-Ground Soccer Cleats,1 Color,$65,$43.97,https://www.nike.com/t/mercurial-superfly-8-club-mg-multi-ground-soccer-cleats-M7Tbd7/DJ2904-007,"The Nike Mercurial Superfly 8 Club elevates a favorite with gold and silver accents for a look that’s fit for champions. Grippy texture on top gives you precise control, while studs on the bottom provide traction for quick cuts and sudden stops.",Shown: Black/Medium Ash/Metallic Silver,13.0,3.7
51,,Nike Flex Runner 2 Lil,Baby/Toddler Shoes,1 Color,$45,$33.97,https://www.nike.com/t/flex-runner-2-lil-baby-toddler-shoes-z2Gmlv/DQ0575-100,"Your future racers will love exploring the outdoors in the Nike Flex Runner 2. As part of our Lil collection (meaning, just for little ones), these shoes encourage discovery and play through nature. Unearth all the things we love about these, like the cute rabbit and mushroom graphics. Can your little adventurer identify them all?",Shown: Summit White/Honeydew/Malachite/Light Thistle,0.0,0.0
52,Best Seller,Nike Air Max 270,Big Kids' Shoes,12 Colors,$130,$123.97,https://www.nike.com/t/air-max-270-big-kids-shoes-HbtNX3/943345-023,"Nike's first lifestyle Air Max shoe is everything you imagined with the Nike Air Max 270. What we love most (for obvious reasons): the BIG, bold wraparound 270 Air unit to showcase our greatest technology everywhere you go.",Black/Black; University Red/Black/University Red; White/Black/Laser Blue/Volt; Black/University Red/Bright Crimson/White; Pure Platinum/Violet Frost/Midnight Navy/Metallic Silver; Smoke Grey/Black/White/Hyper Pink; Black/Bright Spruce/Barely Volt/White; White/Metallic Silver/White; White/Summit White/Honeydew/Pink Foam; Black/Anthracite/White; Black/Game Royal/Light Bone/White; Pink Foam/Pink Rise/White; Game Royal/Black/Pure Platinum/Metallic Silver; Platinum Tint/Black/Bleached Coral/White,1328.0,4.9
53,,Nike Air Force 1 LV8,Big Kids' Shoes,1 Color,$95,$80.97,https://www.nike.com/t/air-force-1-lv8-big-kids-shoes-TQgsq8/DX3727-100,What's better than eating ice cream in your favorite pair of kicks? Not much! That's why we combined our love of sneakers with our fondness for frozen treats in this fresh version of the AF1. Durable leather and Air cushioning give them a classic feel while the colors remind us of our favorite dessert. Which flavor would you choose?,Shown: White/Mint Foam/Arctic Orange/Coconut Milk,1.0,5.0
