,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
1013,Just In,Jordan System.23,Men's Shoes,2 Colors,$110,,https://www.nike.com/t/jordan-system23-mens-shoes-fKW1rS/DN4890-066,"Be the master of your modular style and redefine ""cool"" without saying goodbye to any of the cozy. The stretch-woven bootie hugs your foot with warmth and padding so you can rock it alone to get those indoor slipper vibes. Step into the lightweight, ventilated shell with its thick foam tread and feel what it means to be cushioned and stable. Put 'em together for a uniquely durable delight.",Black/Cement Grey/Black; Cool Grey/Siren Red/Laser Orange/Gym Red,2.0,4.0
1014,,Nike Jr. Zoom Mercurial Vapor 15 Academy CR7 TF,Little/Big Kids' Turf Soccer Shoes,2 Colors,$70,,https://www.nike.com/t/jr-zoom-mercurial-vapor-15-academy-cr7-tf-little-big-kids-turf-soccer-shoes-1wSLWj/DV8190-182,"Like Cristiano Ronaldo, azulejo tiles are a Portuguese national treasure. We took visual inspiration from the Portuguese icons and added it to 1 of our fastest Nike Jr. cleats—CR7-approved and laceless for a slip-on fit. The textured design helps with ball control while you shoot at the goal or pass to your teammates. The best part? Zoom Air cushioning under the heel gives you bouncy comfort that lasts your entire game.",White/Concord/Medium Blue/Metallic Copper; Yellow Strike/Volt Ice/Coconut Milk/Sunset Glow,0.0,0.0
1015,,Nike SuperRep Cycle,Men's Indoor Cycling Shoes,1 Color,$120,$59.97,https://www.nike.com/t/superrep-cycle-mens-indoor-cycling-shoes-bsXw1J/CW2191-100,"The Nike SuperRep Cycle brings a breathable design to the high-heat, fast pace of indoor cycling. Adjustable straps secure your foot during intense movement as you push forward. Cleats are not included.",Shown: White/White/Black,118.0,4.2
1016,,Nike Court Borough Low 2 SE,Baby/Toddler Shoes,1 Color,$40,,https://www.nike.com/t/court-borough-low-2-se-baby-toddler-shoes-QWQ5P9/DQ0493-100,"The Nike Court Borough Low 2 brings the power of pink to future all-stars. From the laces to the Swoosh design to the sole, pink isn’t just a color on these kicks—it’s an attitude! Made to be durable, these shoes have a classic look and feel that’s ready for everyday play.",Shown: White/Pink Foam,2.0,5.0
1017,,Nike Air Force 1 '07 LV8,Men's Shoes,1 Color,$130,,https://www.nike.com/t/air-force-1-07-lv8-mens-shoes-fdMgJn/DX2344-100,"The radiance lives on in the Nike Air Force 1 ’07 LV8. Crossing hardwood comfort with off-court flair, these kicks add a touch of crafty style to a hoops original. Soft suede, era-echoing ‘80s construction and bold colors add nothing-but-net style.",Shown: White/Safety Orange/Lilac/University Blue,5.0,5.0
1018,,Nike Air Max 97,Big Kids’ Shoes,11 Colors,$160,$152.97,https://www.nike.com/t/air-max-97-big-kids-shoes-fQk07c/921522-001,"The Nike Air Max 97 is the shoe that will have you walking on Air—literally! This icon was the first to showcase Max Air underfoot from heel to toe. Plus, it rocks the wavy, water ripple-inspired lines that make the 97 a classic forever.",Summit White/Sesame/White/Pink Foam; White/Particle Grey/Photon Dust/Varsity Red; Black/White; White/Violet Frost/Barely Grape/Metallic Silver; Black/Reflect Silver/Metallic Silver/White; White/Flat Pewter/Light Silver/Black; Violet Ore/White/Pink Glaze; Black/Anthracite/White; White/Metallic Silver/White; Team Red/Anthracite/Summit White/Black; Black/Sport Red/White/Black,399.0,4.9
1019,Sustainable Materials,Nike Downshifter 12 Next Nature,Baby/Toddler Shoes,8 Colors,$50,$24.97,https://www.nike.com/t/downshifter-12-next-nature-baby-toddler-shoes-Hzfnx0/DM4191-001,"Whether your kiddo is learning to walk or finding what’s possible, they can feel confident pulling on the Nike Downshifter 12. Breathable support up top makes it lightweight and versatile for everyday wear. Extra rubber coverage on the sole means more durability so little ones can keep going, going and going.",Black/Dark Smoke Grey/White; White/Cool Grey/Black/Laser Blue; Violet Frost/Pure Platinum/Vivid Purple/Metallic Silver; Anthracite/Light Smoke Grey/University Red/Light Smoke Grey; Midnight Navy/Game Royal/Game Royal; Cool Grey/Black/White/Metallic Gold; Pink Foam/Black/Flat Pewter; Worn Blue/Cave Stone/White/Crimson Bliss,2.0,3.0
1020,Launching in SNKRS,Nike ISPA Sense Flyknit,Men's Shoes,2 Colors,$200,,https://www.nike.com/launch/r/CW3203-001,,,,
1021,,Nike Alpha Huarache Elite 4 Low,Men's Baseball Cleats,6 Colors,$90,,https://www.nike.com/t/alpha-huarache-elite-4-low-mens-baseball-cleats-KhWfZJ/DJ6521-616,"Let the baseball world know what kind of bat-wielding beast you are. The midsole has React foam cushioning, perfect for sprinting around the bags or robbing your opponent of extra bases. The plush, breathable upper sports a strap that helps keep you contained without adding any unnecessary weight. Plus, the grippy rubber traction is tailor-made for all-out effort plays.",Summit White/White/Bright Crimson; White/Wolf Grey/Pure Platinum/Black; Wolf Grey/Cool Grey/Pure Platinum/White; University Red/Team Red/Habanero Red/White; Hyper Royal/Deep Royal Blue/University Blue/White; Black/Dark Smoke Grey/Light Smoke Grey/White,0.0,0.0
1022,Best Seller,Air Jordan 1 Low SE,Big Kids' Shoes,1 Color,$95,,https://www.nike.com/t/air-jordan-1-low-se-big-kids-shoes-JHFR7K/DQ8389-100,"Fun is officially in bloom! These AJ1s bring together your love for nature and hoops heritage, decked out with flowery embroidery and serving plenty of traction for after school adventures.",Shown: White/Altitude Green Heather/Lavender Mist/Black,0.0,0.0
