,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,NMD_R1 Shoes,Youth Originals,40% off with code: cyber,/us/nmd_r1-shoes/H03994.html,$130,"One shoe to rule them all. School, work or kicking it on the weekends, these juniors' NMD_R1 Shoes keep your look polished thanks to the sleek, triple black design. Merging everyday style with top-tier adidas technology, these running-inspired sneakers keep you comfortably on the move with energy-returning Boost cushioning beneath your feet.",Regular fit; Lace closure; Mesh upper; Boost midsole; Rubber outsole; Imported; Product color: Core Black / Core Black / Core Black; Product code: H03994,,131,4.6,
1,Lite Racer Adapt 5.0 Shoes,Men's Essentials,8 colors,/us/lite-racer-adapt-5.0-shoes/GX4675.html,$70,"Streamlined, sporty and super stylish, thanks to the big adidas graphics peeking out from under the laces. These slip-on running-inspired shoes are made for a lightweight feel, from the lightweight textile upper to the pillow-soft Cloudfoam midsole. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Slip-on with laces; Textile upper; Lightweight; Cloudfoam midsole; OrthoLite® sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Royal Blue; Product code: GX4675, Cloud White / Core Black / Cloud White,99,4.7,$60
2,EQ21 Run 2.0 Bounce Sport Running Elastic Lace with Top Strap Shoes,Children Sportswear,2 colors,/us/eq21-run-2.0-bounce-sport-running-elastic-lace-with-top-strap-shoes/GY4371.html,$55,"Those flowy lines aren't just for style. Designed to follow the contour of the foot, these kids' adidas running shoes promise a streamlined, supportive fit. The layered mesh upper offers breathable comfort, and the Bounce midsole ensures a springy feel. A non-marking rubber outsole stands up to wear and tear without leaving a scrape. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces with hook-and-loop top strap; Sandwich mesh upper; Bounce midsole; Textile lining; Non-marking rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Core Black; Product code: GY4371, Royal Blue / Cloud White / Blue Rush,12,4.9,
3,Adilette Comfort Slides,Women's Sportswear,18 colors,/us/adilette-comfort-slides/GZ6412.html,$40,"From yoga on the beach directly to brunch? We've got you covered. You'll move with easy freedom all summer in these comfortable slip-ons. These adidas slides feature a playful floral print, giving you a kick of extra energy and style wherever you go.",Regular fit; Slip-on construction; Synthetic upper; Slides with a flower print; Contoured footbed; Imported; Product color: Core Black / Core Black / Beam Pink; Product code: GZ6412, Signal Orange / Signal Orange / Vivid Berry,4948,4.8,$32
4,Adilette Comfort Adjustable Slides,Men's Essentials,2 colors,/us/adilette-comfort-adjustable-slides/EG1344.html,$40,You know that feeling. When you slip off your shoes after a long workout and feel that sweet relief. Keep it going in these lightweight adidas Adilette slides. Soft cushioning rewards hard-working feet.,Regular fit; Hook-and-loop closure; Synthetic upper; Comfortable slides with adjustable fit; Contoured footbed; Imported; Product color: Core Black / Cloud White / Grey Six; Product code: EG1344, Core Black / Cloud White / Grey Six,1232,4.7,$34
5,Fluidflow 2.0 Shoes,Men's Sportswear,5 colors,https://www.adidas.com/us/fluidflow-2.0-shoes/GW4012.html,$85,It doesn't really matter whether or not a run is in the cards for the day. An ultra-breathable feel and cushy midsole that energizes give these adidas shoes an edge. Hit the pavement or hit the town. You've got the kicks for whatever unfolds.,Lace closure; Knit textile upper; Breathable feel; Textile lining; Bounce midsole; Synthetic outsole; Imported; Product color: Legend Ink / Cloud White / Shadow Maroon; Product code: GW4012, Core Black / Grey Six / Core Black,866,4.6,$73
6,Ultraboost 5.0 DNA Shoes,Men's Sportswear,11 colors,https://www.adidas.com/us/ultraboost-5.0-dna-shoes/GV8749.html,$190,"The Ultraboost isn't our first performance running shoe to hold appeal in the realm of fashion. It's just one of the most beloved. That's why we made the Ultraboost DNA, a lifestyle trainer built off the bones of its more technical namesake. The simplicity of the design shines a spotlight on the pattern of the adidas PRIMEKNIT. And because comfort's a non-negotiable, run or no run, BOOST offers incredible energy return in every step.","Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Supportive, energy-returning feel; Fitcounter molded heel counter; BOOST midsole; Weight: 11.6 ounces (size 9); Midsole drop: 10 mm (heel: 22 mm / forefoot: 12 mm); Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Cloud White / Solar Orange; Product code: GV8749", Core Black / Core Black / Beam Green,3851,4.7,
7,,,,/us/adilette-comfort-slides/GW9647.html,,"Classics for a reason. These adidas slides are the perfect combination of versatility and comfort. They fit snugly and slip off easily for convenience as you move from the pool deck to the locker room to the couch. With an iconic look and casual style, they pair just as easily with track pants and socks as they do with swimming trunks and bare feet, keeping you ready for any occasion.",Regular fit; Slip-on; Synthetic bandage upper; Textile lining; Injected EVA outsole; Imported; Product color: Core Black / Core Black / Cloud White; Product code: GW9647, Core Black / Core White / Grey Six,9747,4.7,
8,,,,/us/adilette-comfort-slides/GX9835.html,,"Inspired by the adidas sports slides first seen in the '70s, these slides are a fresh take on the famous Adilette style. With their clean shape and distinctive 3-Stripes, they shuttle easily between the sand and city streets. The single-bandage upper ensures a stay-put fit wherever you wander.",Regular fit; Slip-on construction; Synthetic upper; Textile lining; Contoured EVA outsole; Imported; Product color: Core Black / Core Black / Core Black; Product code: GX9835, Signal Orange / Signal Orange / Vivid Berry,4948,4.8,
9,,,,/us/superstar-shoes/FV3284.html,,"The adidas Superstar Shoes first stepped onto the basketball hardwood in 1970. It didn't take long for them to make the leap from athletic gear to streetwear staple. These shoes show off the materials, proportions and style that made the original such a legend. They've got a smooth leather upper with sporty 3-Stripes and a heel tab. They're finished off with the world-famous rubber shell toe.","Regular fit; Lace closure; Leather upper; Comfortable, supportive feel; Iconic shell-toe trainers; Textile lining; Rubber outsole; Imported; Product color: Cloud White / Core Black / Cloud White; Product code: FV3284", Cloud White / Ice Mint / Cloud White,10530,4.7,
