,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
14,,,,/us/vulcraid3r-skateboarding-shoes/GZ3330.html,,,"Despite the adrenaline-pumping excitement of the sport, the culture surrounding skateboarding is notoriously laid-back. These kids' shoes channel that relaxed feel into a stylish everyday sneaker. All the hallmarks of a classic skate shoe are elevated with stitched-in adidas 3-Stripes on the side.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",,,16,4.5
15,,,,/us/adidas-x-lego-sport-pro-shoes/GW3992.html,,,"Toddlers are discovering everything for the first time, and these adidas x LEGO® shoes offer all sorts of possibilities. The rubber outsole isn't just grippy, it's studded in LEGO® bricks. And hook-and-loop straps aren't just for grown ups, little ones can stick them down too. From small steps, get ready for some giant leaps.

Made with a series of recycled materials, this upper features at least 50% recycled content.",, Grey Three / Shock Blue / Grey Six,1,5.0
16,,,,/us/ultraboost-5.0-dna-shoes/GV8736.html,,,"Any time you're on your feet is a good time to wear these adidas Ultraboost shoes. Equipped with all the performance technology that runners love, they're updated with extra attention to detail – just look at the contrast stitching at the toe. Energy-returning BOOST in the midsole and a foot-hugging adidas PRIMEKNIT upper make sure of it.",, Magic Mauve / Magic Mauve / Ecru Tint,1395,4.7
17,,,,/us/astir-shoes/GY6849.html,,,"These adidas shoes pop with the fearless energy of the 2000s. Bold, bright and absolutely radiating positivity, they're here to spread the vibes. Good ones only. 

To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",, Purple / Purple / Bliss,609,4.8
18,,,,/us/stan-smith-shoes/GY1788.html,,,"Your little nature lover loves exploring the world around them, so they'll delight in spreading the love and celebrating the planet with these toddlers' adidas Stan Smith shoes designed in collaboration with André Saraiva. Saraiva's collection aspires to inspire an appreciation for sustainability. The graffiti-style artwork pairs with his signature smiling Mr. A character to give your little one plenty of reasons to smile. Pink accents add pops of color for extra brightness.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,8,5.0
19,,,,/us/ultraboost-22-shoes/GX5593.html,,,"With the help of 1.2 million foot scans, we updated Ultraboost with a complete 360° female fit improvement. And we didn't stop there. We re-engineered the rubber outsole. We tested hundreds of prototypes. We kept going until we saw visible improvements in performance. The result? 4% more forefoot energy return, compared to Ultraboost 21 for women. The adidas PRIMEKNIT upper includes a narrower heel fit, designed to avoid heel slip and blisters. You'll be riding on a BOOST midsole with a Linear Energy Push system. The shoe's upper is made with yarn containing 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",, Beam Pink / Core Black / Cloud White,933,4.7
20,,,,/us/nmd_r1-shoes/GW9475.html,,,"Comfort isn't something we take lightly. Which is why we packed these adidas sneakers with innovations borrowed from running shoes. Responsive BOOST cushioning lets you walk all day in comfort, and the knit upper feels like a soft hug. Translation? Wherever you're going, you feel good. And with the signature NMD style, you look good too.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Bright Orange / Bright Orange / Core Black,2371,4.5
21,,,,/us/swift-run-22-running-shoes/GY3008.html,,,"Slow them down? Not a chance. Set them up to explore in comfort in these kids' adidas shoes. Rooted in running but designed for all-day play, they keep feet comfortable with a supportive knit mesh upper and a cushioned EVA midsole. Oh, and they look good too. Win win. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Core Black / Grey Five / Cloud White,100,4.7
22,,,,/us/ozweego-shoes/GZ9675.html,,,"Wherever you're going, get there in comfort. The adidas OZWEEGO shoes are packed with it. Rooted in '90s running shoes and mutated with style in mind, they step up all your outfits with elevated details. A nubuck build with suede overlays adds zebra print and pops of purple. The result is a look that's both unapologetic and easy to wear.",, Linen Green / Dash Grey / Feather Grey,122,4.6
23,,,,/us/terrex-two-flow-trail-running-shoes/GY9346.html,,,"Find your flow as you explore from the pavement to the trails. These adidas Terrex trail running shoes feature a modest lugged outsole made for smooth transitions between paved, gravel and dirt surfaces. The upper hugs the foot with a lightweight, breathable mesh for dynamic support that lets your foot expand and flex over mixed terrain. The adidas Lightstrike midsole reduces weight while extending comfort. Continental™ Rubber offers the all-condition grip you need to move with confidence across any surface, wet or dry.",, Wonder Steel / Magic Grey Met / Impact Orange,218,4.6
