,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Adifom SLTN Shoes,Men's Originals,9 colors,/us/adifom-sltn-shoes/HQ1934.html,$100,$60,"When comfort is your number-one priority, these adidas shoes deliver. They wrap your feet in it, from the pockets of foam in the lining to the foam upper. They look good too. Design from the archives combines with modern influences to keep things simple, sleek and super versatile. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Foam upper; Foam pockets in lining; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Solar Yellow / Blue Bird; Product code: HQ1934, Legend Ink / Legend Ink / Solar Red,34,4.6
1,Retropy E5 Shoes,Women's Originals,12 colors,/us/retropy-e5-shoes/HP9156.html,$130,,"It's time to retire those retro running shoes you've been wearing forever. These adidas shoes have the look of the past plus the comfort of a modern pair. Responsive BOOST cushioning can't be beat when you're spending long hours on your feet. The nubuck upper and leather lining make it clear these shoes are for fashion, not fitness.",Lace closure; Nubuck upper with nubuck overlays; BOOST midsole; Leather lining; Rubber outsole; Imported; Product color: Aluminium / Aluminium / Metal Grey; Product code: HP9156, Frost Pink / Almost Pink / Ecru Tint,47,4.8
2,Web BOOST Running Shoes,Men's Sportswear,6 colors,/us/web-boost-running-shoes/GZ0934.html,$160,,"Getting in a few miles or running to the store. These adidas shoes have all the techs to make short-distance training a breeze, and you'll want to wear them on rest days too. The upper has cutouts for airflow, acting like a harness for the stretchy inner bootie. The BOOST midsole is wrapped in 3D Stretchweb to enhance the feeling of energy return.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Grey Two / Crystal White; Product code: GZ0934, Cloud White / Grey Two / Crystal White,7,4.7
3,Retropy E5 Shoes,Men's Originals,14 colors,/us/retropy-e5-shoes/HP5443.html,$130,$78,"Retro runners just got an outrageously comfortable refresh. Based on our famed Racing 1, these adidas shoes have the look of a '70s sneaker and the feel of modern design. Commuting, working or playing, responsive BOOST cushioning gives you endless energy to keep moving.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper with stitched suede overlays; Textile lining; BOOST midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Wonder White / Cloud White / Blue Bird; Product code: HP5443, Focus Olive / Core White / Beam Orange,838,4.7
4,Predator Edge.4 Flexible Ground Soccer Cleats,Children Soccer,"2 colors, Firm Ground",/us/predator-edge.4-flexible-ground-soccer-cleats/GW0970.html,$45,$36,"Swerve. Control. Power. adidas Predator has all angles covered. Hit the pitch and find your edge in these juniors' flexible ground soccer cleats. On top, the soft synthetic upper has a textured finish to help you master the ball. Underneath, a durable outsole digs in to help you dominate on firm ground, hard ground and artificial grass.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textured synthetic upper; Flexible ground outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Solar Red / Solar Green / Core Black; Product code: GW0970, Cloud White / Solar Yellow / Power Blue,15,4.5
5,Adilette Aqua Slides,Yoga,5 colors,https://www.adidas.com/us/adilette-aqua-slides/F35539.html,$27,$19,"Rinse off after the pool in these shower-friendly sandals. Keeping it simple, the smooth slip-ons reveal their adidas DNA with signature 3-Stripes. Soft cushioning rewards tired feet with plush comfort.",Regular fit; Slip-on construction; One-piece molded EVA upper; EVA outsole; Soft Cloudfoam footbed; Lightweight feel; Quick-drying material; Imported; Product color: Cloud White / Core Black / Cloud White; Product code: F35539, Core Black / Gold Metallic / Core Black,8353,4.5
6,Stan Smith Shoes,Men's Originals,30 colors,https://www.adidas.com/us/stan-smith-shoes/GX4448.html,$100,$70,"These adidas shoes first graced the hard court more than five decades ago, and now they're all grown up. Still simple. Still effortless. This pair has a few new details to get excited about. Check out the layered colors on the heel tab and tongue. Enjoy the retro nod of a gum rubber outsole. The final touch? Wooden lace tips. You can pair these shoes with every outfit you own and every outing you're planning. They're always fresh.",Regular fit; Lace closure; Synthetic leather upper; Hugs the foot; Synthetic lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Off White / Gum; Product code: GX4448, Pantone / Cloud White / Core Black,13045,4.7
7,Predator Edge.3 Turf Soccer Shoes,Soccer,"4 colors, Artificial Grass",https://www.adidas.com/us/predator-edge.3-turf-soccer-shoes/GW0951.html,$90,,"Swerve ordinary to find your edge. Introduce a brand-new side to your game in these adidas Predator turf soccer shoes. Deployed across their soft coated textile upper, grippy Control Zone print assists you with every touch of the ball. The combination of an adaptive collar and lug rubber outsole keeps you stable and in charge on artificial turf courts.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Control Zone textured upper; Two-piece mid-cut collar; EVA midsole; Rubber outsole for artificial turf; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Solar Yellow / Power Blue; Product code: GW0951, Solar Red / Team Solar Green / Core Black,70,4.2
8,,,,/us/grand-court-2.0/GX7233.html,,,,Imported; Product color: Dash Grey / Dash Grey / Core Black; Product code: GX7233, Cloud White / Cloud White / Gold Metallic,33,4.8
9,,,,/us/y-3-slides/HR1938.html,,,"""Y-3 is a strong examination of the blend of sport and style and the tension caused by mixing tradition with all that is modern.""  — Yohji Yamamoto 

Y-3 adds dramatics to a celebrated adidas style with an exaggerated silhouette. The Y-3 Slides have a bulky, statement design crafted with a heavy tumbled leather upper. They offer enhanced cushioning for unparalleled comfort.",Slip-on; Heavy tumbled leather upper; PORON® cushioning; Mesh lining; Rubber outsole; Imported; Product color: Core White / Core White / Core White; Product code: HR1938, Silver Metallic / Brown / Cream White,6,3.3
