,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,X Speedportal.3 Turf Soccer Shoes,Children Soccer,"2 colors, Turf",/us/x-speedportal.3-turf-soccer-shoes/GW8491.html,$65,$52,"Time and space. It's all relative when you play in a different dimension. Open the gateway to multidimensional speed in adidas X Speedportal. The lug rubber outsole on these juniors' soccer shoes keeps you quick on artificial turf. Up top, the soft, coated textile upper includes a supportive flat-knit collar and rigid TPU external heel lock to keep you strapped in for blink-quick skills.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Coated textile upper; External heel lock; Rubber outsole for artificial turf; Upper contains a minimum of 50% recycled content; Imported; Product color: Silver Metallic / Core Black / Solar Yellow; Product code: GW8491, Silver Metallic / Core Black / Solar Yellow,35,4.9
1,Gamemode Firm Ground Soccer Cleats,Soccer,"9 colors, Firm Ground",/us/gamemode-firm-ground-soccer-cleats/GV6850.html,$100,$90,"Let your feet do the talking on the pitch. Express your beautiful game in adidas Gamemode with a choice of styles and designs. Created with a comfortable fit for a wide range of foot shapes, these soccer cleats offer a cushioned touch thanks to their soft HybridTouch upper. The versatile outsole will help you show your skills on both firm ground and artificial grass. The graphics take their eye-catching inspiration from LEGO® bricks.",Regular fit; Lace closure; HybridTouch synthetic upper; Hybrid outsole for firm and artificial surfaces; Imported; Product color: Carbon / Red / Bright Blue; Product code: GV6850, Core Black / Silver Metallic / Sonic Ink,86,4.6
2,Adilette Comfort Slides,Women's Yoga,18 colors,/us/adilette-comfort-slides/GZ5898.html,$40,$32,"Whether you're heading home from the gym or hanging on the couch with friends, these slides keep your feet wrapped in lightweight comfort. Pair them with socks and shorts for your post-workout look or with your favorite swimwear for the ultimate beach vibe. The adidas 3-Stripes design completes your sport style.",Regular fit; Slip-on construction; Synthetic upper; Textile lining; Lightweight cushioning; Contoured footbed; Synthetic outsole; Imported; Product color: Sandy Beige / Sandy Beige Met / Golden Beige; Product code: GZ5898, Signal Orange / Signal Orange / Vivid Berry,4947,4.8
3,Adilette Slides,Men's Originals,10 colors,/us/adilette-slides/HR0093.html,$45,$39,"Whatever mood you're feeling. Wherever your day is heading. You can't go wrong with the adidas Adilette slides. This pair lands every step in comfort, whether you're walking down the hall to your home office or catching an airplane to a faraway destination. And they pair with everything in your closet, so you can express yourself freely.",Regular fit; Slip-on; Synthetic upper; Textile lining; Synthetic outsole; Imported; Product color: Bliss Orange / Bliss Orange / Bliss Orange; Product code: HR0093, Mesa / Chalk White / Mesa,3,4.7
4,NMD_R1 Shoes,Men's Originals,32 colors,/us/nmd_r1-shoes/GX4601.html,$150,,"In a constantly changing world, be part of the change for good. Join our mission to help end plastic waste by slipping on these adidas NMD_R1 shoes made in part with Parley Ocean Plastic. All the signature staples of the NMDs are there — from the sock-like knit upper to the plush BOOST midsole and iconic heel plugs. You're not just doing good with these sneakers; you're feeling and looking good too.",Lace closure; Stretch knit upper; Hugs the foot; Textile lining; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Royal Blue / Royal Blue / Grey One; Product code: GX4601, Core Black / Core Black / Core Black,2569,4.6
5,Ultraboost Web DNA Shoes,Youth Sportswear,2 colors,https://www.adidas.com/us/ultraboost-web-dna-shoes/HR1791.html,$160,,"What happens when you take the iconic Ultraboost and go ""creator mode"" on it? We did just that and came up with these juniors' everyday running shoes. The responsive BOOST midsole is enhanced with 3D Stretchweb that wraps around it for a trampoline-like feel underfoot. adidas PRIMEKNIT hugs the foot for all-day comfort. The futuristic look? That's all for style.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Sock-like fit; Lace closure; adidas PRIMEKNIT textile upper; Textile lining; BOOST midsole; Weight: 9.2 ounces; Midsole drop: 10 mm (heel: 21 mm / forefoot: 11 mm); 3D Stretchweb rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Turbo / Team Shock Pink / Crystal White; Product code: HR1791, Off White / Off White / Bliss Blue,8,4.9
6,TRX Vintage Shoes,Men's Originals,4 colors,https://www.adidas.com/us/trx-vintage-shoes/GX4579.html,$100,,Throw it back to early adidas running style with the TRX Vintage shoes. The textile upper with suede overlays bring quintessential heritage adidas vibes. An EVA midsole ups the comfort level.,Lace closure; Textile upper with stitched suede overlays; Textile lining; EVA midsole; Rubber outsole; Imported; Product color: Wonder Steel / Crystal White / Legend Ink; Product code: GX4579, Wonder Steel / Crystal White / Legend Ink,542,4.9
7,Fluidflow 2.0 Shoes,Women's Sportswear,4 colors,https://www.adidas.com/us/fluidflow-2.0-shoes/GW4016.html,$85,$73,It doesn't really matter whether or not a run is in the cards for the day. An ultra-breathable feel and cushy midsole that energizes give these adidas running shoes an edge. Hit the pavement or hit the town. You've got the kicks for whatever unfolds.,Lace closure; Knit textile upper; Breathable feel; Textile lining; Bounce midsole; Synthetic outsole; Imported; Product color: Magic Grey / Matt Purple Met. / Almost Pink; Product code: GW4016, Cloud White / Almost Pink / Bliss Orange,411,4.6
8,,,,/us/predator-edge.3-firm-ground-soccer-cleats/GW2360.html,,,"Swerve. Power. Control. When you have the edge, the pitch is full of possibilities. See the beautiful game from a brand-new angle in adidas Predator. These juniors' soccer cleats help you own the ball with a Control Zone upper containing strategically placed areas of grip-enhancing print. The striking faceted outsole keeps you in charge on firm ground.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Control Zone textured upper; Stretchy mid-cut collar; TPU firm ground outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Vivid Red; Product code: GW2360,,93,4.6
9,,,,/us/adilette-comfort-slides/GV9737.html,,,The Adilette has been a favorite of beachgoers and poolside loungers since 1972. An embossed adidas Badge of Sport print on the soft bandage upper gives this version of the iconic slides a sporty feel. The contoured footbed delivers the stability the slides are famous for.,Regular fit; Slip-on; Synthetic jelly bandage upper; Lightweight; Contour footbed; Synthetic outsole; Imported; Product color: Cloud White / Grey Two / Cloud White; Product code: GV9737, Core Black / Core White / Grey Six,9745,4.7
