,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Duramo 10 Shoes,Kids Running,3 colors,/us/duramo-10-shoes/GZ0610.html,$60,$36,"If your kids seem to be running a little faster these days, they might be. The LIGHTMOTION midsole in these shoes adds superlight cushioning that helps them scurry in a hurry. A molded heel piece provides support for all-day play. Layered designs on the upper add a bit of big-kid flash.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Dash Grey / Beam Pink / Bliss Lilac,234,4.7
1,Gamemode Turf Soccer Shoes,Soccer,"2 colors, Turf",/us/gamemode-turf-soccer-shoes/GV6867.html,$100,$70,"Make your choice. Find your voice. With two styles and a range of designs, adidas Gamemode is serious about self-expression. Created with a comfortable fit for a wide range of foot shapes, these soccer shoes offer a cushioned touch thanks to their soft HybridTouch upper. Underneath, a lug rubber outsole helps you express yourself on artificial turf. The graphics take their eye-catching inspiration from LEGO® bricks.",, Cloud White / Carbon / Bright Blue,3,5.0
2,NMD_V3 Shoes,Women's Originals,8 colors,/us/nmd_v3-shoes/GZ2133.html,$160,$96,"The future is now. The original running-inspired style that made you love the adidas NMD_V3 shoes get a new look by combining tactical technology with elevated style. Metallic overlays and semi-translucent TPU add a glossy, futuristic finish. Long commutes and slick city sidewalks are no problem, thanks to the BOOST cushioning and grippy rubber outsole beneath your feet.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",, Purple / Purple / Grey Two,59,4.0
3,Superstar Shoes,Youth Originals,,/us/superstar-shoes/GV8899.html,$85,$51,"You know the magical feeling of seeing a rainbow after a storm. So why not bring that magic into every step? These juniors' shoes are a whimsical spin on the classic adidas Superstar trainer. Faded iridescent underlays provide an eye-catching pattern and inspire you to live colorfully. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,,
4,ZNCHILL LIGHTMOTION+ Lifestyle Adult Shoe,Men's Sportswear,6 colors,https://www.adidas.com/us/znchill-lightmotion-plus-lifestyle-adult-shoe/GZ4896.html,$120,$60,"Just another example of adidas' sneaker genius. These 3-Stripes are set on top of a LIGHTMOTION midsole for comfy cushioning. A chunky rubber outsole adds grip when you're moving between slick and rough surfaces. There's no change of shoe needed, even with a busy schedule. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Cloud White / Cloud White / Bright Red,5,5.0
5,adidas x Disney Vulc Raid3r Muppets Slip-On Shoes,Children Essentials,,https://www.adidas.com/us/adidas-x-disney-vulc-raid3r-muppets-slip-on-shoes/GZ1700.html,$48,$29,"Light enough to wear on sunny days with plenty of support for growing feet. These kids' adidas skater-style shoes have hook-and-loop straps on the canvas upper for a snug fit. A sturdy rubber outsole stands up to wear and tear. The allover Disney's Kermit the Frog graphics may be hard to spot from a distance, but your toddler won't be. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",,,4,4.8
6,Nizza Hi RF x André Saraiva Shoes,Men's Originals,5 colors,https://www.adidas.com/us/nizza-hi-rf-x-andré-saraiva-shoes/GZ2204.html,$100,$60,"Feel the love. A collaboration with graffiti icon André Saraiva, these adidas Nizza sneakers transform a classic look into a message of affection for the Earth. See the stick-figure Mr. A smiling off the side? That's exactly what he stands for.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Crew Red / Wonder White / Wonder White,397,4.6
7,OZELIA Shoes,Youth Originals,,https://www.adidas.com/us/ozelia-shoes/GV8991.html,$80,$52,"The future awaits, but the past still leaves an impact. Both meet in this juniors' version of the classic adidas OZELIA Shoes. The silhouette stays true to the '90s origins while the dramatic weldings and 3D striping are fluid and forward-looking. Adiprene cushioning keeps you comfy all day.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",, Carbon / Carbon / Core Black,15,4.7
8,,,,/us/nizza-rf-slip-shoes/S23722.html,,,"When worlds collide, magic happens. These adidas shoes are proof. They take vintage B-ball DNA and mix it with a classic design from the world of skate. Voila. Now it's a slip-on. Slide in and go. Anywhere. Anytime.",, Core Black / Core Black / Cloud White,235,4.4
9,,,,/us/solarglide-5-shoes/GX6703.html,,,"Whether you're building consistency, upping your distance or training for a personal best, Solarglide 5 are the shoes you leave by the door to support your goals every single day. They're packed with performance technology, from the BOOST midsole to the knit upper and the adidas LEP 2.0. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",, Core Black / Grey Six / Carbon,312,4.5
10,,,,/us/adizero-boston-11-shoes/GX6650.html,,,"The Boston Marathon is a race. But it's also a goal and a training plan during all the days it stays on your mind before the big one. The Adizero Boston 11 shoes are built for mid- to long-distance running. They bring a race-day quality to training, with a propulsive feel that comes from ENERGYRODS, which limit energy loss underfoot. They're fast, but that does not come at the cost of durability — the midsole mixes ultralight Lightstrike Pro cushioning with durable Lightstrike EVA.",, Grey Three / Zero Metalic / Carbon,74,4.4
11,,,,/us/advantage-shoes/GW4845.html,,,"Add some subtle style to your casual outfits. The heel tab of these adidas tennis-inspired sneakers features an iridescent finish that will turn heads. The combination of ultra-soft Cloudfoam cushioning and a stabilizing cupsole provides comfort every step of your day.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",,,358,4.7
12,,,,/us/lite-racer-adapt-4.0-shoes/H04343.html,,,"Casual style that's easy to get on and off. You'll want to wear these adidas shoes every day of the week. Inspired by classic running looks, these shoes have a bold adidas graphic on the midfoot band. A mesh upper adds breathability, and the Cloudfoam midsole is ultra comfortable.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",, Carbon / Core Black / Chalk White,896,4.5
13,,,,/us/samba-vegan-shoes/GZ8349.html,,,"Indoor, outdoor, whatever. Kids live for recess, no matter where it happens. So lace them into a pair of sneakers that have been helping soccer players speed down every surface from icy ground to artificial turf. The adidas Samba was first introduced in 1950. Since then, it's become one of the most popular futsal shoes of all time, and a streetwear icon to boot. This kids' version gives them their own little piece of the legend.

Made with vegan alternatives to animal-derived ingredients or materials.",, Cloud White / Core Black / Gum,129,4.8
14,,,,/us/adilette-lite-slides/EG8271.html,,,Free your feet. These juniors' Adilette Lite Slides let your toes take in the sun. An extra-soft footbed cushions each step. An adidas Trefoil on top nods back to their sporty origins as a locker room slide for the '70s German soccer team.,, Core Black / Cloud White / Core Black,113,4.8
15,,,,/us/lite-racer-adapt-4.0-shoes/H04828.html,,,"Slip on and go. These versatile running-inspired shoes are made to help you get out the door quickly. The elastic strap gives you a locked-down feel when you're moving at top speed. Soft Cloudfoam cushioning is for lasting comfort when you're on your feet for longer than expected. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester.",, Carbon / Core Black / Chalk White,896,4.5
16,,,,/us/cross-em-up-5-wide-basketball-shoes/GX4790.html,,,"For young B-ballers who love the sport, they can't get enough time on the court. From the school gym to the park to their own backyard hoop, kids can keep working on their game in all-day comfort with these adidas basketball shoes. They offer durable stability that lasts season after season.",, Core Black / Gold Metallic / Cloud White,99,4.7
17,,,,/us/adilette-sandals/F35416.html,,,"A transitional style for your everyday activities. In the locker room or on the street, these sandals feature adjustable straps and an ultra-soft footbed for total comfort. The modern, sport-inspired design gives a clean look.",,,905,4.7
18,,,,/us/nmd-360-shoes/HP9666.html,,,"Life moves fast. So do they. Support toddlers' excitement for adventure with an easy-to-move-in pair of adidas shoes like these. Flexible cushioning adapts to the action, and the slip-on design is all about ease. And let's not forget about style. They'll look good everywhere from the playground to the grocery store.",,,3,5.0
19,,,,/us/ultraboost-1.0-dna-shoes/HP9622.html,,,"Muted shades come through in a big way with the latest Ultraboost 1.0 DNA Shoes. Already known for its legendary status, the classic shoe steps things up this season with a fresh colorway that's designed to go the distance. From laid-back strolls around the city to catch ups with friends, these stylish, hazel-hued sneakers easily transition with you throughout the day. The iconic BOOST midsole and adidas PRIMEKNIT upper ensure comfort with every step and provides flexible support while you set a new style PB.",, Cloud White / Team Maroon / Team Colleg Gold,330,4.7
20,,,,/us/adilette-shower-slides/GZ5922.html,,,"From the pool deck to the shower to the couch, these slides are made for the work-hard-rest-hard lifestyle. The slip-on construction gives you a snug fit that's easy to kick on and off as needed. Lightweight cushioning keeps your feet cradled in all-day comfort. The adidas logo and 3-Stripes design complete the iconic Adilette style.",, Royal Blue / Cloud White / Royal Blue,55,4.4
21,,,,/us/stan-smith-shoes/GX4643.html,,,"Swerve through crowds and cruise across sidewalks. These adidas Stan Smith shoes are built for city exploration. A style that's been effortlessly cool for 50 years and counting, they've been updated with a durable CORDURA® upper that holds up to the scuffs and scrapes of daily life. Just like the original, their simple aesthetic pairs well with every single thing on your calendar.",, Pantone / Cloud White / Core Black,13045,4.7
22,,,,/us/retropy-e5-shoes/GW9420.html,,,"It's time to retire those retro running shoes you've been wearing forever. These adidas shoes have the look of the past plus the comfort of a modern pair. Responsive BOOST cushioning can't be beat when you're spending long hours on your feet. The nubuck upper and leather lining make it clear these shoes are for fashion, not fitness.",, Frost Pink / Almost Pink / Ecru Tint,47,4.8
23,,,,/us/adizero-adios-pro-3-shoes/GY8411.html,,,"ADIZERO ADIOS PRO 3 is the ultimate long-distance road racing shoe, for fast runners looking to take their performance to the next level and run after new records. The midsole consists of 2 layers of resilient Lightstrike Pro foam providing cushioning. With optimized ENERGYRODS 2.0 embedded in the midsole, the ADIZERO ADIOS PRO 3 is designed to give runners the optimal level of stiffness and energy return. The new lightweight upper provides specific support where athletes need it most, finished off with a Continental rubber outsole with traction to help take corners at a fast pace.
*60% of 2021 World Major Marathon wins were by athletes wearing Adizero Adios Pro 2.",,,13,4.7
24,,,,/us/adidas-x-lego-racer-tr-shoes/GX1997.html,,,"As kids' LEGO® bricks creations get bigger, their play gets more adventurous. The good news is that these adidas shoes are there for the journey. They have a Cloudfoam midsole to help them run and climb in comfort. An eye-catching LEGO® tech print and a LEGO®-themed design on the 3-Stripes and heel complete the look.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",, Shock Blue / Off White / Core Black,4,5.0
25,,,,/us/retropy-e5-shoes/GW2179.html,,,"Retro vibes meets modern proportions. With the adidas Retropy E5 Shoes, we used the famed Racing 1 as the design foundation to craft a silhouette filled with equal parts nostalgia, modernity and comfort. Plush BOOST cushioning returns energy with every step that you take, and the animal-print upper blends the past with the present.",, Frost Pink / Almost Pink / Ecru Tint,47,4.8
26,,,,/us/forum-bold-shoes/GY5922.html,,,The adidas Forum launched in '84 and quickly took the basketball world by storm. Its slam dunk DNA is back for the streets of today and bolder than ever. Classic elements stay intact: the X-design and the luxurious leather upper. Now the shoes are elevated on a platform outsole that takes your style to the next level.,, Cloud White / Cloud White / Core Black,117,4.7
27,,,,/us/adilette-slides/GY9482.html,,,"Wear them with socks. Wear them with shorts. Wear them whenever, wherever. A pair of adidas Adilette slides is always a good idea when you're aiming for comfort. Even if it's dreary out, a tie-dye print on the bandage upper keeps the good vibes going strong. Because it's never a bad time to dream of sunny days.",, Beam Orange / Cloud White / Gum,34,4.3
28,,,,/us/adilette-comfort-slides/GV9737.html,,,The Adilette has been a favorite of beachgoers and poolside loungers since 1972. An embossed adidas Badge of Sport print on the soft bandage upper gives this version of the iconic slides a sporty feel. The contoured footbed delivers the stability the slides are famous for.,, Core Black / Core White / Grey Six,9740,4.7
29,,,,/us/adilette-comfort-slides/GW8741.html,,,"A modern take on an adidas classic. These slides keep your feet wrapped in comfort while adding a bold style statement to any outfit. Pair them with tights and a workout tank top, for a cozy fit on the way to the pool or yoga studio, or with your favorite denim and crop top for an athletic-casual vibe. A 3-Stripes graphic over the top strap keeps your look rooted in sport.",, Signal Orange / Signal Orange / Vivid Berry,4941,4.8
30,,,,/us/dame-8-basketball-shoes/HR1558.html,,,"Respect is earned. Damian Lillard made his name by showing up in the moments that matter the most, when everything is on the line. These signature shoes from adidas Basketball and Dame celebrate one of the game's best closers with Dame graphics and a colorful upper inspired by the first time he competed with and beat some of the best hoopers in the world. The outsole and Bounce Pro midsole are designed specifically for Dame's lethal combination of speed and precision.

Made in part with recycled content generated from production waste, e.g., cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",, Blue Rush / Pulse Mint / Solar Pink,251,4.7
31,,,,/us/top-ten-rb-shoes/GV6629.html,,,"Do you like your style with a heavy dose of winning attitude? The adidas Top Ten RB shoes have it. Back in the day, they were reserved for only the very best players in basketball. Now you can wear the bold stance, smooth leather and sharp contrast colors out onto city streets.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",, Cloud White / Dark Blue / Night Marine,20,5.0
32,,,,/us/terrex-swift-r3-gore-tex-hiking-shoes/GY6765.html,,,"Hike. Scramble. Explore. Like the multi-tool of trail footwear, these adidas Terrex hiking shoes are your all-purpose adventure shoe. A GORE-TEX membrane seals out wet conditions while letting your feet breathe for extended comfort in wet or dry conditions. Their lightweight-yet-rugged build supports your feet with the stability and comfort to keep moving in rugged, uneven terrain. Through it all, a Continental™ Rubber outsole provides extraordinary grip on any surface, wet or dry.",, Core Black / Grey Three / Solar Red,659,4.4
