,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,THE INDOOR CYCLING SHOE,Cycling,4 colors,/us/the-indoor-cycling-shoe/GZ6343.html,$130,$65,"Whether it's spin class at the gym or your smart trainer at home, indoor training demands dedicated shoes that manage the heat and sweat of cycling in place. The adidas Indoor Cycling Shoes are designed around high-intensity efforts. Their breathable, lightweight upper keeps feet cool with enhanced ventilation. A stiff, full-length midsole insert transfers power for efficient pedalling. The hook-and-loop closure locks in your foot and makes for easy on and off. Go ahead and set that PR.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop strap closure; Breathable textile upper with ventilation zones; Lightweight feel; Synthetic lining; Fiberglass-reinforced nylon midsole plate; Three-bolt cleat compatibility; Upper contains a minimum of 50% recycled content; Imported; Product color: Turbo / Cloud White / Acid Red; Product code: GZ6343, Linen Green / Core Black / Beam Yellow,98,4.3
1,adidas x LEGO® Superstar Shoes,Youth Originals,,/us/adidas-x-lego-superstar-shoes/GV8885.html,$85,$68,"The classic and sleek silhouette that made the adidas Superstar sneaker so iconic gets a fun update with these juniors' shoes. The colorful heel tab celebrates this adidas and LEGO Group partnership with a LEGO® brick design, and hook-and-loop closures make them easy to slip on and off during your next adventure. The super soft sockliner ensures maximum comfort.

Made with a series of recycled materials, this upper features at least 50% recycled content.",Regular fit; Lace closure; Synthetic leather upper; OrthoLite® sockliner; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Pantone; Product code: GV8885,,9,4.6
2,Ultraboost 5.0 DNA Shoes,Youth Sportswear,7 colors,/us/ultraboost-5.0-dna-shoes/HR1796.html,$160,,"Any time you're on your feet is a good time to wear the adidas Ultraboost. These juniors' shoes pack all the performance techs that runners love into a design you'll want to wear outside of gym class. Beyond looks, its superpower is comfort – from the soft feel of the adidas PRIMEKNIT upper to the incredible energy return of BOOST.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; adidas PRIMEKNIT upper; BOOST midsole; Torsion System; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Shadow Green / Impact Orange / Core Black; Product code: HR1796, Cloud White / Cloud White / Beam Pink,12,4.6
3,adidas by Stella McCartney Ultraboost 20 Shoes,Women's adidas by Stella McCartney,2 colors,/us/adidas-by-stella-mccartney-ultraboost-20-shoes/GX9855.html,$250,$150,"No matter how far your run is taking you, these adidas by Stella McCartney shoes support every step along the way. With their ultra-light and adaptable design, another block or another mile (maybe make it two) doesn't feel impossible. In fact, with the plush BOOST cushioning matching the energy you're throwing down, it's almost effortless.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; adidas by Stella McCartney logo; Continental™ Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Vegan alternative; Imported; Product color: Core Black / Core Black / Green; Product code: GX9855, Green / Yellow / Cloud White,27,4.6
4,PHILLLLLTHY x NMD_S1,Men's Originals,coming soon,/us/philllllthy-x-nmd_s1/FZ5830.html,$220,,"These adidas NMD S1 shoes are made in collaboration with Phillip Leyesa, a Brooklyn-based designer who's making waves with his unique vision and patchwork and aging techniques. His logo stands out on the tooling, accompanied by responsive BOOST cushioning and a premium knit upper. A mix of running technology and head-turning style, these sneakers are everything you need to explore the city.",Lace closure; Textile upper; Textile lining; BOOST midsole; Rubber outsole; Imported; Product color: Ambient Sky / Crew Navy / Altered Blue; Product code: FZ5830,,,
5,Duramo Protect Shoes,Women's Running,2 colors,https://www.adidas.com/us/duramo-protect-shoes/GW4148.html,$75,,"They do what they need to do — and look good doing it. These adidas running shoes feature airy LIGHTMOTION cushioning and a warm winter-ready upper, so you're always ready for a run or a gym session, even when the temperature drops. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; LIGHTMOTION cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Wonder White / Zero Metalic / Pulse Blue; Product code: GW4148, Wonder White / Zero Metalic / Pulse Blue,1,5.0
6,Ultraboost 22 COLD.RDY 2.0 Shoes,Men's Running,6 colors,https://www.adidas.com/us/ultraboost-22-cold.rdy-2.0-shoes/GX6689.html,$210,,"When the adidas Ultraboost debuted in 2015, it set the standard for comfort and performance in a running shoe. Each new release raises the bar, and this one is no exception. These running shoes are built for cold-weather runs, featuring COLD.RDY to keep feet warm. The energy-returning BOOST midsole is reflective, so it shines bright from dusk to dawn. The Continental™ WinterGrip™ Rubber outsole ensures a secure grip on slick streets.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; COLD.RDY; Linear Energy Push system; Reflective BOOST midsole; Reflective 3-Stripes; Midsole drop: 10 mm (heel: 25 mm / forefoot: 15 mm); Stretchweb outsole with Continental™ WinterGrip™ Rubber; Upper contains a minimum of 50% recycled content; Imported; Product color: Impact Orange / Cloud White / Pulse Blue; Product code: GX6689, Magic Beige / Grey One / Impact Orange,29,4.8
7,Puremotion Shoes,Women's Essentials,7 colors,https://www.adidas.com/us/puremotion-shoes/GY2280.html,$75,,"Elevate a casual look, quite literally, with these adidas shoes. Slightly pumped-up outsoles add a little height while the soft textile upper gives them a textured look that pairs well with jeans, skirts or sporty shorts. Cloudfoam cushioning keeps your feet comfortable when you're on the move.",Regular fit; Lace closure; Textile upper; Textile lining; Cloudfoam midsole; Cloudfoam sockliner; Synthetic outsole; Imported; Product color: Dash Grey / Dash Grey / Matte Silver; Product code: GY2280, Cloud White / Semi Turbo / Pulse Amber,1243,4.6
8,,,,/us/nizza-hi-shoes/GX7107.html,,,"Slow down. Take it easy. The adidas Nizza sneaker is back from the '70s B-ball archives, and it's serving up nothing but chill vibes. If you're relaxing on the weekend, the Nizza is good at keeping things casual. If you're going out for the night, the understated style is easy to dress up. There's nothing complicated when it comes to these canvas high tops.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; Textile lining; Vulcanized rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Cloud White; Product code: GX7107, Cloud White / Cloud White / Core Black,198,4.7
9,,,,/us/web-boost-running-shoes/GZ6445.html,,,"Getting in a few miles or running to the store. These adidas shoes have all the techs to make short-distance training a breeze, and you'll want to wear them on rest days too. The upper has cutouts for airflow, acting like a harness for the stretchy inner bootie. The BOOST midsole is wrapped in 3D Stretchweb to enhance the feeling of energy return.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Core Black; Product code: GZ6445, Cloud White / Grey Two / Crystal White,7,4.7
