,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Top Ten RB Shoes,Youth Originals,3 colors,/us/top-ten-rb-shoes/ID6729.html,$90,"These juniors' adidas high top shoes got their name from — no surprise — being reserved for the top ten players in basketball way back in the day. Far from the hardwood now, they still pulse with that B-ball DNA that made people first take notice. Easy colors on the soft, full grain leather upper add to the vintage vibes.",Lace closure; Full grain leather upper; Soft feel; Textile lining and sockliner; Rubber midsole and outsole; Imported; Product color: Collegiate Navy / Grey One / Grey One; Product code: ID6729, Core Black / Scarlet / Scarlet,4,5.0,
1,Hello Kitty Originals Flex Shoes,Infant & Toddler Originals,2 colors,/us/hello-kitty-originals-flex-shoes/GX9264.html,$60,"Who would we be without the people around us? Celebrating the beauty of friendship, these toddlers' adidas shoes find inspiration from Hello Kitty — the beloved character who reminds us of the importance of love. A cushioned midsole keeps little feet comfortable on their adventures, something Hello Kitty and friends encourage as well.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","Regular fit; Lace closure; Mesh upper with synthetic suede overlays; OrthoLite® sockliner; Adifit length-measuring insole; EVA outsole with deep flex grooves; ©2022 SANRIO CO., TLD.; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Vivid Red / Core Black; Product code: GX9264", Core Black / Cloud White / Vivid Red,1,5.0,
2,Adizero Boston 11 Shoes,Women's Running,6 colors,/us/adizero-boston-11-shoes/GX6656.html,$160,"The Boston Marathon is a race. But it's also a goal and a training plan during all the days it stays on your mind before the big one. The Adizero Boston 11 Shoes are built for mid- to long-distance running. They bring a race-day quality to training, with a propulsive feel that comes from ENERGYRODS, which limit energy loss underfoot. They're fast, but that does not come at the cost of durability — the midsole mixes ultra-light Lightstrike Pro cushioning with durable Lightstrike EVA.",Regular fit; Lace closure; Lightweight mesh upper; Flexible feel with support in key areas; ENERGYRODS limit energy loss; Lightstrike Pro+ cushioning; Midsole drop: 8.5 mm (heel: 39.5 mm / forefoot: 31 mm); Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Beam Pink / Cloud White / Beam Green; Product code: GX6656, Grey Three / Zero Metalic / Carbon,30,4.3,$96
3,Superstar 82 Shoes,Men's Originals,4 colors,/us/superstar-82-shoes/HP6293.html,$140,"A tribute to traditional shoe-making, these adidas Superstar 82 Shoes take inspiration from time-honored craftsmanship. The iconic silhouette gets reconstructed and is unlined, instead using thicker materials to hold the shape. By reducing the number of parts used to craft the sneakers, the construction slightly changes, though the rubber shell toe is of course still there, now done with stitched details to mimic the legendary design.",Regular fit; Lace closure; Leather upper; Unlined; Rubber outsole; Imported; Product color: Surf Red / Fox Red / Cream White; Product code: HP6293, Cloud White / Off White / Blue Bird,,,
4,Five Ten Sleuth DLX Canvas Mountain Bike Shoes,Women's Five Ten,,/us/five-ten-sleuth-dlx-canvas-mountain-bike-shoes/GZ9867.html,$120,"Trust the link between shoe and pedal. These adidas mountain bike shoes have a non-marking Stealth® Phantom Dotty rubber outsole for control where you need it most. The canvas upper supports your feet through long and technical rides. The lightweight and flexible midsole delivers cushioning before, during and after the ride.",Lace closure; Canvas upper; Lightweight feel; Textile lining; EVA midsole; Stealth® Phantom rubber outsole with Dotty tread; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Burgundy / Cloud White / Sandy Beige; Product code: GZ9867,,1,5.0,$72
5,4DFWD 2 Shoes,Men's Running,8 colors,https://www.adidas.com/us/4dfwd-2-shoes/GY8421.html,$200,"adidas 4DFWD 2 redefines forward motion combining the unique, groundbreaking innovation of a 3D printed midsole with a new upper construction and a Continental outsole for extra grip. With every stride, the adidas 4DFWD 2 midsole compresses forward, reducing braking forces and transforming the impact energy into forward motion. The result is a smooth ride with less stop-and-go pounding on pavement. The Continental outsole grippy rubber outsole provides traction on wet and dry surfaces to keep you going in all conditions, and the adidas PRIMEKNIT+ upper wraps the foot with a new fit that enhances movement.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","Lace closure; Combination of adidas PRIMEKNIT+ and engineered mesh; Sock-like fit; 3D-printed 4DFWD midsole; Textile lining
Weight: 345 g; Midsole drop: 11 mm
(heel: 32 mm / forefoot: 21 mm); Continental™ Rubber outsole; Imported; Product color: Impact Orange / Cloud White / Trace Grey; Product code: GY8421", Cloud White / Core Black / Cloud White,43,4.8,
6,Crazyflight Volleyball Shoes,Men's Volleyball,2 colors,https://www.adidas.com/us/crazyflight-volleyball-shoes/GX3743.html,$140,"Controlling the court isn't always enough in indoor sports. So when you need to dominate the air too, pull on these adidas Crazyflight shoes. Sitting within a stabilizing EVA frame, their Boost midsole provides ignition for big jumps and cushioning for graceful landings. Lightweight and foot-hugging, the mesh upper has a TPU-reinforced midfoot so you stay supported when you're back on the deck.",Regular fit; Lace closure; adidas Primeknit upper; Textile lining; EVA stabilization frame; Boost midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Grey Three / Cloud White; Product code: GX3743, Cloud White / Grey Three / Cloud White,38,4.6,$70
7,Campus 80 Darryl Brown Shoes,Originals,new,https://www.adidas.com/us/campus-80-darryl-brown-shoes/GX1656.html,$100,"Few sneakers have made an impact like the adidas Campus. A giant on the hardwood and a favorite among skaters and subcultures, the classic design is back in a special collaboration with designer Darryl Brown. He lends his eye for workwear to the design, infusing it with his background in blue-collar jobs. The result is a collage of suede and canvas, with a leather lining and a green color reminiscent of a mechanic's jumpsuit.",Canvas and suede upper; Leather lining; Rubber outsole; Imported; Product color: Active Green / Off White / Gum; Product code: GX1656,,1,4.0,
8,,,,/us/five-ten-freerider-pro-mountain-bike-shoes/FW2823.html,,"The adidas Five Ten Freerider Pro Mountain Bike Shoes match proven flat pedal control with enhanced impact coverage and a quick-drying synthetic upper. Cushioned and water-resistant, they offer comfort for full days on the bike. Stealth® S1™ rubber and a Dotty™ tread offer the legendary pedal control you expect from the Freerider.",Lace closure; Fast-drying synthetic upper; OrthoLite® sockliner; Molded EVA midsole; Impact-resistant toe box; Stealth® S1 Dotty™ rubber outsole; Imported; Product color: Core Black / Core Black / Cloud White; Product code: FW2823, Core Black / Cloud White / Cloud White,139,4.5,
9,,,,/us/adidas-by-stella-mccartney-ultraboost-22-running-shoes/GX9866.html,,"Run to the studio and beyond with the iconic adidas by Stella McCartney Ultraboost 22 running shoes. The BOOST material and knit upper keep you comfortable in style through every mile you log.
 
The bubble-inflated supportive cage and bright accents give these shoes their signature look. It's designed to give you extra support with every step. Your ankles stay covered and cozy with flair added thanks to the knitted sock. 
 
To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper with support cage; Supportive upper cage; BOOST midsole; Rubber outsole; adidas by Stella McCartney logo; Vegan alternative: At least 25% recycled content; Imported; Product color: Green / Cloud White / Semi Impact Orange; Product code: GX9866,,6,4.8,
10,,,,/us/stan-smith-shoes/FX7521.html,,"Every generation has made the Stan Smiths their own. Now, it's your turn. These juniors' shoes have the same clean look and crisp feel as the original. What's different? The materials. Recycled components are part of adidas' commitment to reduce waste. Time to lace in and start a brand-new story. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",Regular fit; Lace closure; Synthetic upper; OrthoLite® sockliner; Rubber cupsole; Vegan; Imported; Product color: Cloud White / Cloud White / Silver Metallic; Product code: FX7521, Cloud White / Cloud White / Green,70,4.9,
11,,,,/us/forum-low-shoes/HQ1495.html,,"Reignite your love for the '80s, when sport style went hard from game day to the everyday. This pair of the iconic adidas Forum Low shoes gets a modern update with fresh color combos. A leather upper and rubber outsole add the extra comfort that you deserve.",Lace closure; Leather upper; Textile lining; Rubber outsole; Imported; Product color: Scarlet / Cloud White / Scarlet; Product code: HQ1495, Orbit Green / Core Black / Pulse Olive,93,4.8,
12,,,,/us/superstar-shoes/GY9317.html,,"Kids will love to make a statement in these adidas Superstar Shoes. The classic 3-Stripes and heel tab get versatile updates in a range of color options. The Molded sockliner cradles their feet in comfort.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Blue Rush; Product code: GY9317, Cloud White / Core Black / Blue Rush,3,5.0,
13,,,,/us/eq21-run-2.0-bounce-sport-running-lace-shoes/GY4357.html,,"With these sneakers on your feet, nothing can disrupt your focus. The juniors' adidas shoes are designed to perform across all sports. From the tough ripstop upper to the winterized outsole, they're suited to both outdoor and indoor games. The Bounce midsole adds comfort and flexibility at every step.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Ripstop textile upper; Bounce midsole; Winterized rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Focus Olive / Cloud White / Shadow Olive; Product code: GY4357, Focus Olive / Cloud White / Shadow Olive,,,
14,,,,/us/adidas-by-stella-mccartney-eulampis-boots/GV9612.html,,"For snowy commutes or quiet backcountry trails, these adidas by Stella McCartney boots are what you'll want to lace on. For many reasons. One is because they're insulated, which means that the cold isn't something you have to worry about. Another reason is that with the cold, often comes the elements — something these shoes protect against with a water-resistant upper. Then there's the fact that they just look good, with a high-cut, bulky build that makes an impression no matter the time or place.

To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",Regular fit; Lace closure; Water-resistant textile upper; Insulating COLD.RDY; Insulated lining and tongue; Rubber outsole; adidas by Stella McCartney logo; Vegan alternative: At least 25% recycled content; Imported; Product color: Camel / Core Black / Shock Yellow; Product code: GV9612, Camel / Core Black / Shock Yellow,10,4.2,
15,,,,/us/adilette-slides/H06450.html,,"The famed Adilette with a cozy twist. Known for comfort, style and (above all) ease, the iconic slides are designed for all moments of the day — and all outfits. Slip them on whenever and with whatever and you'll find the vibe always hits just right.",Slip on; Textile upper; Textile lining; Rubber outsole; Imported; Product color: Off White / Core White / Off White; Product code: H06450, Mesa / Chalk White / Mesa,3,4.7,
16,,,,/us/busenitz-vintage-shoes/GY6905.html,,"Approach is everything. The Busenitz Vintage reimagines all the craft and detail Dennis Busenitz demands in a shoe, with a minimalist aesthetic designed for performance. The refined result proves that less is more by leveraging fewer panels, a lower profile and a single-piece shortened tongue, with the locked-in fit and cupsole control of the Busenitz franchise in premium suede.",Regular fit; Lace closure; Suede upper; Geofit padded collar; Adiprene sockliner; Rubber cupsole; Imported; Product color: Core Black / Grey Six / Grey Three; Product code: GY6905, Golden Beige / Impact Yellow / Gum,20,4.8,
17,,,,/us/five-ten-freerider-mountain-bike-shoes/FW2836.html,,Often copied. Never duplicated. The adidas Five Ten Freerider Mountain Bike Shoes deliver legendary flat pedal control to support everything you do on your bike. Just the right blend of casual style makes for easy post-ride transitions. Stealth® S1™ rubber and a Dotty tread keep your feet firmly planted on pedals. A mix of leather and mesh adds the durability to keep you riding for seasons to come.,Lace closure; Leather and textile upper; One-piece Molded cupsole; Stealth® S1 Dotty rubber outsole; Imported; Product color: Grey Five / Core Black / Grey Four; Product code: FW2836, Core Black / Cloud White / Cloud White,121,4.6,
18,,,,/us/d.o.n.-issue-4-basketball-shoes/HR1785.html,,"The future of basketball is all about speed, and Donovan Mitchell is as fast as they come. These juniors' signature shoes from Mitchell and adidas Basketball are built specifically to elevate the movements of one of the game's fastest, most dynamic scorers. Ultralight Lightstrike teams up with a LIGHTLOCK upper for a snug fit and an explosive propulsion system that won't weigh you down. A unique rubber outsole is designed to generate traction where you need it most, so every hard-charging cut and head fake has total support. Mitchell's Spida logo and signature graphics provide the finishing touches.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; LIGHTLOCK upper; Lightstrike cushioning; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Bliss Lilac / Almost Blue; Product code: HR1785, Cloud White / Bliss Lilac / Almost Blue,,,
19,,,,/us/duramo-10-wide-shoes/GW4129.html,,"Whether you're headed out for a morning run or meeting up with friends for an evening out, keep your feet comfortable and your style on point in these adidas wide-fit shoes. A mesh upper helps you stay cool, while superlight cushioning cradles every step you take.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Wide fit; Lace closure; Sandwich mesh upper; Supportive no-sew overlays; Soft heel; LIGHTMOTION cushioning; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Pulse Blue / Team Real Magenta; Product code: GW4129, Core Black / Pulse Blue / Team Real Magenta,53,4.6,
