,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Gazelle Indoor Shoes,Men's Originals,6 colors,/us/gazelle-indoor-shoes/H06260.html,$150,"A revival of the Gazelle Indoor sneakers from 1979, these adidas shoes have all the details that soccer fans, indie rockers and sneakerheads have loved for decades. Soft suede and a durable leather lining come together on a gum rubber outsole with a translucent effect. The 3-Stripes and metallic-gold lettering complete the authentic look.",Lace closure; Suede upper; Leather lining; Rubber outsole; Imported; Product color: Blue Bird / Cloud White / Blue Bird; Product code: H06260, Blue Bird / Cloud White / Blue Bird,25,5.0,
1,Forum 84 Low Shoes,Men's Originals,3 colors,/us/forum-84-low-shoes/GZ8959.html,,"'80s B-ball lives on in these adidas Forum shoes. The elite B-ball sneakers of their time, they quickly made waves on and off the hardwood. Lace in and feel the pulse of the game and the energy of the era. Crisp leather makes your look shine.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Lace closure with ankle strap; Leather upper; Rubber outsole; Imported; Product color: Cream White / Collegiate Green / Silver Metallic; Product code: GZ8959, Off White / Scarlet / Collegiate Royal,,,
2,Ultraboost DNA Shoes,Men's Sportswear,3 colors,/us/ultraboost-dna-shoes/GZ0689.html,,There's always a new route to explore. A new personal best to meet. Along for the journey are these adidas Ultraboost DNA running shoes. Boost cushioning helps you find your stride comfortably. The Continental™ Rubber outsole lets you push forward with confidence. And all that heat you build? The melted ice cream effect shows it off.,Regular fit; Lace closure; Knit textile upper; Boost midsole; Textile lining; Weight: 11.5 ounces; Midsole drop: 10 mm (heel :22 mm / forefoot: 12 mm); Continental™ Better Rubber outsole; Imported; Product color: Cloud White / Cloud White / Light Pink; Product code: GZ0689, Blue Rush / Blue Rush / Bliss Blue,,,
3,Forum Low Shoes,Women's Originals,8 colors,/us/forum-low-shoes/G58002.html,,"There's no substitute for the real thing. These adidas Forum Low Shoes stay true to the original basketball sneaker that started it all. Their coated leather upper, chunky build and removable strap reflect authentic hoops style.",Lace closure with adjustable strap; Leather upper; Terry lining; Jersey sockliner; Rubber outsole; Imported; Product color: Cloud White / Royal Blue / Cloud White; Product code: G58002, Cloud White / Cloud White / Shock Pink,,,
4,Predator Absolute Firm Ground Soccer Cleats,Men's Soccer,Firm Ground,/us/predator-absolute-firm-ground-soccer-cleats/HP9137.html,$350,"Only the very best get to wear golden adidas boots on football's biggest stage. As Argentina's legendary 10 sets out to lift the ultimate prize, these special X Speedportal boots celebrate Lionel Messi's glittering legacy. Inspired by details from the boots he wore on his big stage debut in 2006, their adaptive adidas PRIMEKNIT upper stands out in gold. On the lightweight Speedframe outsole, a springy Carbitex carbon-fibre insert will help him towards his first world cup trophy.",Lace closure; Leather upper; Fold-over tongue; Predator Absolute-style forefoot pads; Firm ground outsole; Imported; Product color: Gold Metallic / Cloud White / Gold Metallic; Product code: HP9137,,17,5.0,
5,Adilette Comfort Slides,Yoga,19 colors,https://www.adidas.com/us/adilette-comfort-slides/GZ5896.html,$35,"Whether you're heading to the locker room after an intense gym session or at home recovering on the couch, these slides keep your feet wrapped in lightweight comfort. Pair them with socks and shorts for your post-workout look or with your favorite swimwear for the ultimate beach vibe. The adidas 3-Stripes design completes your sport style.",Regular fit; Slip-on construction; Synthetic upper; Textile lining; Lightweight cushioning; Contoured footbed; EVA outsole; Imported; Product color: Core Black / Core Black / Core Black; Product code: GZ5896, Core Black / Core White / Grey Six,9745,4.7,$21
6,Ultra 4DFWD Shoes,Running,4 colors,https://www.adidas.com/us/ultra-4dfwd-shoes/GY9837.html,$220,"Experience a smooth run with the Ultra 4DFWD running shoes. They combine the upper of our iconic Ultraboost with a 3D-printed adidas 4DFWD midsole that's innovated to compress forward, reducing braking forces and transforming the impact energy into forward motion. The result provides a smooth transition and unique gliding experience. An adidas PRIMEKNIT upper hugs the foot with targeted areas of support, while the Continental™ Rubber outsole provides extra grip in all weather conditions.

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; adidas PRIMEKNIT textile upper; adidas 4D midsole; Textile lining; Weight: 13.9 ounces; Midsole drop: 11 mm (heel: 32 mm / forefoot: 21 mm); Continental™ Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Aluminium / Zero Metalic / Magic Beige; Product code: GY9837, Core Black / Core Black / Carbon,229,4.8,$132
7,Puremotion SE Shoes,Women's Essentials,4 colors,https://www.adidas.com/us/puremotion-se-shoes/GX2183.html,$80,"Pared-back style and subtle, sporty details make these trainers a solid alternative to plain white tennis shoes. They're made with Cloudfoam cushioning and a memory foam sockliner for all-around softness that molds to the shape of your foot. A lightweight textile upper feels airy when you take the pace up a notch.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Textile upper; Textile lining; Cloudfoam midsole; Memory foam sockliner; Synthetic outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: GX2183, Core Black / Grey One / Bliss Orange,16,4.6,$40
8,,,,/us/predator-edge.3-firm-ground-soccer-cleats/GV9856.html,,"Swerve. Power. Control. When you have the edge, the pitch is full of possibilities. See the beautiful game from a brand-new angle in adidas Predator. These soccer cleats help you dominate the ball with a Control Zone upper containing strategically placed areas of grip-enhancing print. Underneath, a striking faceted outsole keeps you in charge on firm ground. Up top, a stretchy two-piece collar delivers a supportive fit.

Made in part with recycled content generated from production waste, e.g. cutting scraps and post-consumer household waste, to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Coated textile upper; Mid-cut stretch collar; TPU firm ground outsole; 25% of the components used to make the upper contain a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Vivid Red; Product code: GV9856, Core Black / Cloud White / Vivid Red,163,4.2,
9,,,,/us/forum-low-shoes/FY7756.html,,"More than just a shoe, it's a statement. The adidas Forum hit the scene in '84 and gained major love on both the hardwood and in the music biz. This pair of the classic shoes brings back the '80s attitude, the explosive hardwood energy and the iconic removable strap ankle design, distilled into a low top version meant for the streets.",Lace closure with removeable strap; Leather upper; Rubber outsole; Imported; Product color: Cloud White / Cloud White / Royal Blue; Product code: FY7756, Cloud White / Cloud White / Cloud White,700,4.8,
