,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,NMD_R1 Refined Shoes,Children Originals,2 colors,/us/nmd_r1-refined-shoes/H02344.html,$85,"One shoe for everything. Playground, play date or playing around in the backyard, these adidas NMD_R1 Refined Shoes keep active kids comfortable no matter the adventure. Sporty and lightweight, they have an energy-returning Boost midsole and airy mesh upper. An Adifit length-measuring insole helps ensure an accurate fit for growing feet.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester.",Regular fit; Lace closure; Mesh upper; OrthoLite® sockliner; Adifit length-measuring midsole; Boost midsole; Rubber outsole; Primeblue; Imported; Product color: Cloud White / Cloud White / Grey One; Product code: H02344, Core Black / Core Black / Cloud White,90,4.5,
1,Ultraboost DNA Climacool Shoes,Sportswear,2 colors,/us/ultraboost-dna-climacool-shoes/GV8758.html,$190,"How could the iconic Ultraboost get any better? We asked that question and came up with the answer — infuse it with DNA from an archival cult classic, the Climacool. Here it is, with all of the premier features from those heritage running shoes, including foot-hugging adidas PRIMEKNIT and responsive BOOST cushioning. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; adidas PRIMEKNIT upper; Fitcounter molded heel counter; BOOST midsole; Textile lining; Stretchweb outsole with Continental™ Rubber; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Beam Pink / Beam Yellow; Product code: GV8758, Core Black / Beam Pink / Beam Yellow,56,4.8,
2,Solarcontrol Shoes,Men's Running,4 colors,/us/solarcontrol-shoes/GX9227.html,$130,"From training runs to race day, go the distance with confidence. These running shoes provide extra stability with adidas LEP 2.0, designed to help guide each foot strike and propel you forward. The mesh upper offers targeted lockdown zones for added support while maintaining breathability. BOOST cushioning delivers energy return and comfort to keep you feeling fresh from start to finish.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Engineered mesh upper; Linear Energy Push system; Dual-density EVA platform; BOOST midsole; Weight: 12 ounces (size 9); Midsole drop: 10 mm (heel: 33 mm / forefoot: 23 mm); Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Impact Orange / Night Metallic / Pulse Lilac; Product code: GX9227, Core Black / Cloud White / Grey Five,59,4.7,$117
3,Response Super 3.0 Shoes,Women's Running,2 colors,/us/response-super-3.0-shoes/GX9824.html,$90,"When you're getting close to race day, you need pace and pop. These adidas running shoes are designed for that fast performance. They combine Bounce technology at the heel and Bounce+ underfoot for all-around cushioning to make your run feel springy. The specially made plastic heel clip provides added stability. Now all you need to do is tighten up your laces and start the clock. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Breathable mesh upper; Geofit padded collar; Bounce midsole; Adibouncy EVA sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Pulse Blue; Product code: GX9824, Cloud White / Core Black / Pulse Blue,2,5.0,
4,NMD_R1 Shoes,Youth Originals,2 colors,/us/nmd_r1-shoes/GY4284.html,$130,"What's clean, classic and packed with adidas' best performance technologies? The legendary adidas NMD_R1, of course. These juniors' shoes are for those who move fast and carve their own path. For those who aim high and don't settle. The combination of a smooth knit upper and responsive BOOST cushioning helps you take all your plans in stride. And the signature midsole plugs give that unmistakable NMD look. 

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Regular fit; Lace closure; Textile upper; BOOST midsole; Textile lining; Synthetic outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Almost Blue / Core Black / Cloud White; Product code: GY4284, Almost Blue / Core Black / Cloud White,,,
5,,,,/us/terrex-free-hiker-2-hiking-shoe/GZ0683.html,,"Take on the outdoors with ease. The adidas TERREX Free Hiker 2 brings comfort and confidence to your everyday adventure. It's time to enjoy your outdoor experience. 

Find confidence in the great outdoors with the new adidas TERREX Free Hiker 2. Its Continental™ rubber grip provides reliable traction on your hikes. BOOST delivers incredible energy return and instant comfort with each step. The shoe's upper is made with a high performance yarn containing at least 50% Parley Ocean Plastic and 50% recycled polyester.",Regular fit; Lace closure; Abrasion-resistant mesh upper with molded toe cap and external heel clip; adidas PRIMEKNIT collar; EVA stabilization frame; BOOST midsole; Continental™ Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Wonder Steel / Grey Three / Legend Ink; Product code: GZ0683, Core Black / Core Black / Grey Six,27,4.7,
6,,,,/us/retropy-f2-shoes/GW5473.html,,"You like to be one step ahead. Blending retro vibes with modern design, these adidas Retropy F2 Shoes are right there with you. Rooted in '80s running style, they show off a layered material-mix upper. The sleek shape and thick EVA midsole make them ideal for today.",Lace closure; Textile upper with stitched suede overlays; Textile lining; EVA midsole; Rubber outsole; Imported; Product color: Cloud White / Core Black / Core Black; Product code: GW5473, Grey Three / Core Black / Grey Five,121,4.7,
7,,,,/us/exhibit-b-candace-parker-mid-basketball-shoes/GZ2349.html,,"Basketball has evolved into a hybrid, position-less game. Gone are the days of a designated ball-handler or a post-up player — today's stars can do it all. These adidas basketball shoes keep that intent in mind, giving you the freedom of super-lightweight Lightstrike cushioning and the lockdown needed to cut and change directions at high speed.

The Candace Parker Collection from adidas Basketball highlights the other-worldly work ethic of ""Ace."" The color scheme on the midsole and signature graphics on the heel webbing serve as a reminder that if you want to dominate the hardwood like Candace you have to put the work in from sunrise to sunset.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Textile upper; Textile lining; Lightstrike cushioning; Sculpted midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Carbon / Cloud White / Core Black; Product code: GZ2349, Carbon / Cloud White / Core Black,5,4.8,
8,,,,/us/duramo-10-shoes/GV8923.html,,"If your kids seem to be running a little faster these days, they might be. The LIGHTMOTION midsole in these shoes adds superlight cushioning that helps them scurry in a hurry. Elastic laces plus a hook-and-loop top strap create a snug fit for all-day play. Designs on the upper add big-kid flash.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces with hook-and-loop top strap; Multilayer textile upper; Textile lining; Molded heel piece; LIGHTMOTION cushioning; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Dash Grey / Beam Pink / Bliss Lilac; Product code: GV8923, Dash Grey / Beam Pink / Bliss Lilac,140,4.6,
9,,,,/us/y-3-kaiwa/HQ3672.html,,"""Y-3 is a strong examination of the blend of sport and style and the tension caused by mixing tradition with all that is modern.""  — Yohji Yamamoto 

Pulling from the archives, Y-3 returns a running silhouette to the streets with the progressive Kaiwa shoes. A minimalist design philosophy exposes the roots of the pioneering sport style. They have a coated synthetic microfiber and neoprene upper with suede details, and offer enhanced comfort with lightweight cushioning.",Lace closure; Coated synthetic microfiber and neoprene upper with suede details; Leather and neoprene lining; EVA midsole; Rubber outsole; Imported; Product color: Silver Metallic / Cream White / Core White; Product code: HQ3672, Silver Metallic / Cream White / Core White,,,
