,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Forum 84 Low ADV Shoes,Men's Originals,2 colors,/us/forum-84-low-adv-shoes/GX9755.html,$110,"Originally released in 1984, the Forum 84 Low's forward-thinking design instantly became an on-court classic. The Forum 84 Low ADV adds a durable, double-layer Adituff toe construction, molded sockliner and a soft cupsole for grip and feel. Throwback style, retooled for modern skateboarding: the Forum 84 Low ADV brings another adidas classic to modern skateboarding.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content. 25% of the components used to make the upper are made with a minimum of 50% recycled content.",Regular fit; Lace closure; Leather and suede upper; Abrasion-resistant Adituff toe; Molded sockliner; Adiprene cushioning; Grippy rubber cupsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Collegiate Navy / Core Black / Blue Bird; Product code: GX9755, Core Black / Core White / Core White,,,
1,Terrex Agravic Ultra Trail Running Shoes,Women's TERREX,4 colors,/us/terrex-agravic-ultra-trail-running-shoes/GZ9038.html,$160,"The TERREX AGRAVIC ULTRA has been created in close collaboration with one of the world's fastest ultra trail runners, EKATERINA MITYAEVA. It is one of the first trail running shoes from adidas to feature a bio-based thermoplastic elastomer (TPE) plate that's made out of 90% renewable carbon.​

​The TPE bio-based plate runs the entire length of the shoe, sandwiched between the midsole and outsole for lightweight, durable rock protection over long-distance mountain trails.​
Created using renewable carbon sources and using bio-based ingredients.​ 
A blend of responsive Boost and ultra-lightweight Lightstrike works with a TPE plate to ensure high-energy return over mountainous terrain that also cushions every stride to help you keep your pace over technical trails.​","Lace closure; Open mesh upper with abrasion-resistant weldings, and padded tongue; Snug midfoot with slightly wider toe box; Lightstrike and Boost midsole with carbon plate layer; Dual-layer Achilles protection and midsole rock protection plate; Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Almost Lime / Pulse Lime / Turbo; Product code: GZ9038", Bliss Lilac / Beam Orange / Pulse Magenta,28,4.3,$80
2,Superstar Shoes,Men's Originals,25 colors,/us/superstar-shoes/GX9877.html,$100,"Game day or any day. Your love for your national team never fades. And with these adidas Superstar shoes, you can rep it everywhere you go. At the grocery store, in the stands or on city streets, your country's colors stand out bright from the smooth leather upper. And because we like to keep things iconic, the rubber shell toe is here in true form — a classic detail that's been famous for over 50 years.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Regular fit; Lace closure; Leather upper; Molded sockliner; Synthetic lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Cloud White / Team Power Red; Product code: GX9877, Core Black / Core Black / Core Black,2589,4.7,
3,Supernova 2 Running Shoes,Women's Running,3 colors,https://www.adidas.com/us/supernova-2-running-shoes/GW9101.html,$100,"Who says running needs to be uncomfortable? These shoes are designed to help you run comfortable every time, on any terrain. From a precisely balanced mix of Bounce and increased Boost in the midsole to a new padded tongue and heel patch construction, experience comfort with every step. 

Supernova 2 is now made with a lower carbon footprint of 12% compared to the 2020 Supernova. From raw material extraction, processing, packaging, all the way to the end of product's life, we calculate and communicate its carbon footprint, conforming to an internationally recognized standard: ISO 14067 

To reduce our footprint, we need to measure it. The concise footprint results made available to you, provide full transparency on the complete lifecycle of the product. This is just one of our initiatives to help reduce our footprint.",Regular fit; Lace closure; Boost and Bounce midsole; Reduced carbon footprint; Direct injected TPU outsole; Padded tongue and heel; Weight: 8 ounces (size 7); Midsole drop: 9mm (heel: 25mm / toe: 16mm); Imported; Product color: Grey Six / Wonder Red / Core Black; Product code: GW9101, Core Black / Grey Six / Core Black,3,5.0,$60
4,NMD_R1 V2 Shoes,Youth Originals,new,https://www.adidas.com/us/nmd_r1-v2-shoes/HP3261.html,$130,"The future is yours. Go and get it. These juniors' adidas NMD_R1 V2 Shoes make sure you go after it comfortably, in large part thanks to plush BOOST cushioning. The silhouette is borrowed from '80s running styles but the technologies are all modern. Transparent overlays add in a cyberpunk vibe.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper with transparent overlays; Snug feel; BOOST midsole; Textile lining and sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Gold Metallic; Product code: HP3261,,,,
5,Adifom SLTN Shoes,Men's Originals,9 colors,https://www.adidas.com/us/adifom-sltn-shoes/HP6477.html,$100,"When comfort is your number-one priority, these adidas shoes deliver. They wrap your feet in it, from the pockets of foam in the lining to the foam upper. They look good too. Design from the archives combines with modern influences to keep things simple, sleek and super versatile. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Foam upper; Foam pockets in lining; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Cloud White; Product code: HP6477, Legend Ink / Legend Ink / Solar Red,34,4.6,$60
6,Adilette Comfort Slides,Yoga,19 colors,https://www.adidas.com/us/adilette-comfort-slides/GV9735.html,$40,The Adilette has been a favorite of beachgoers and poolside loungers since 1972. An embossed adidas Badge of Sport print on the soft bandage upper gives this version of the iconic slides a sporty feel. The contoured footbed delivers the stability the slides are famous for.,Regular fit; Slip-on; Synthetic jelly bandage upper; Lightweight; Contour footbed; Synthetic outsole; Imported; Product color: Core Black / Cloud White / Cloud White; Product code: GV9735, Core Black / Core White / Grey Six,9740,4.7,$20
7,Ultraboost 22 Shoes,Men's Running,26 colors,https://www.adidas.com/us/ultraboost-22-shoes/HR1029.html,$180,"These Ultraboost running shoes serve up comfort and responsiveness. You'll be riding on a BOOST midsole for endless energy, with a Linear Energy Push system and a Continental™ Rubber outsole. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Soft heel fit; Linear Energy Push system; BOOST midsole; Weight: 11.7 ounces (size 9); Stretchweb outsole with Continental™ Better Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Flash Orange / Core Black / Cloud White; Product code: HR1029, Cloud White / Cloud White / Vivid Red,2475,4.7,$126
8,,,,/us/ultraboost-dna-5.0-shoes/GV8731.html,,"Anytime you're on your feet is a good time to wear these adidas Ultraboost shoes. Equipped with all the performance technology that runners love, they're updated with extra style points. Energy-returning BOOST in the midsole and a foot-hugging adidas PRIMEKNIT upper make sure of it.",Regular fit; Lace closure; adidas PRIMEKNIT upper; BOOST midsole; Torsion System; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Cloud White / Cloud White / Beam Pink; Product code: GV8731, Magic Mauve / Magic Mauve / Ecru Tint,1395,4.7,
9,,,,/us/superstar-shoes/GZ4829.html,,"When the days grow short and the temps drop, swap out your slides for a pair of adidas shoes that are equipped to handle cool days. Like, these adidas Superstar shoes. The perfect complement to warm hoodies and hot beverages, they're made with an abrasion-resistant CORDURA® upper. Not only do they hold up to every moment of the daily grind, they also keep your style iconic with their rubber shell toe and 3-Stripes.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; CORDURA® textile upper; Reflective details; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Focus Olive / Core Black / Cloud White; Product code: GZ4829, Core Black / Core Black / Core Black,2589,4.7,
