,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Supernova+ Shoes,Women's Running,2 colors,/us/supernova-plus-shoes/GY1771.html,$120,$102,"Energy meets comfort with adidas Supernova+. However far or fast you train, the Supernova+ keeps you pushing toward your goals. Like the Supernova, these adidas shoes ride on a combination of Boost and Bounce. The plus in the name refers to the added Boost in the forefoot compared to Supernova, delivering increased energy return and comfort in every stride. Experience the energy of a comfortable run.",Lace closure; Engineered mesh upper with reflective heel patch; BOOST heel and forefoot; Bounce cushioning; Weight 9.8 ounces (size 7.5); Midsole drop: 10 mm (heel: 32 mm / forefoot: 22 mm); Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Altered Blue / Almost Blue / Wonder Red; Product code: GY1771, Altered Blue / Almost Blue / Wonder Red,44,4.5
1,Grand Court 2.0 Shoes,Children Essentials,40% off with code: cyber,/us/grand-court-2.0-shoes/GV6796.html,$55,$47,"Sneakers made for play? That's a challenge adidas takes seriously. When your daily business involves running, jumping, climbing and more, you need incredibly sturdy shoes. These kids' sneakers are made with a strong rubber cupsole and laces for an adjustable, snug fit. And as parents know, the more active a child's day, the better they sleep. Win-win. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; Textile lining; Rubber cupsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Green Oxide / Royal Blue; Product code: GV6796,,11,4.9
2,adidas x Disney Advantage Muppets Lace Shoes,Children Essentials,40% off with code: cyber,/us/adidas-x-disney-advantage-muppets-lace-shoes/GY6587.html,$60,$51,"Send your kids out the door in iconic adidas style with these tennis-inspired shoes. From the sidewalk to the playground, they'll have durable comfort and surefooted traction for all-day play. Perforated 3-Stripes complete the authentic look, while playful graphics feature Disney's Kermit the Frog and Animal from ""The Muppet Show."" 

Made with a series of recycled materials, the upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic upper; Textile lining; Rubber outsole; ©Disney; Upper contains a minimum of 50% recycled content; Imported; Product color: Off White / Still Green / Cloud White; Product code: GY6587,,21,4.7
3,Ultraboost 22 COLD.RDY 2.0 Shoes,Men's Running,6 colors,/us/ultraboost-22-cold.rdy-2.0-shoes/GX6691.html,$210,,"When the adidas Ultraboost debuted in 2015, it set the standard for comfort and performance in a running shoe. Each new release raises the bar, and this one is no exception. These running shoes are built for cold-weather runs, featuring COLD.RDY to keep feet warm. The energy-returning BOOST midsole is reflective, so it shines bright from dusk to dawn. The Continental™ WinterGrip™ Rubber outsole ensures a secure grip on slick streets.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; COLD.RDY; Linear Energy Push system; Reflective BOOST midsole; Reflective 3-Stripes; Midsole drop: 10 mm (heel: 25 mm / forefoot: 15 mm); Stretchweb outsole with Continental™ WinterGrip™ Rubber; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Carbon / Impact Orange; Product code: GX6691, Magic Beige / Grey One / Impact Orange,31,4.8
4,Hoops 3.0 Mid Classic World Friendship Day Shoes,Women's Essentials,4 colors,/us/hoops-3.0-mid-classic-world-friendship-day-shoes/GX7235.html,$70,$60,"These mid-cut shoes combine classic basketball elements with details that are uniquely adidas. Note the detachable logo patch on the heel that can be swapped with your bestie's in honor of World Friendship Day. Then there's the multicolored 3-Stripes that'll add brightness to plain jeans or bike shorts.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content. 25% of the components used to make the upper are made with a minimum of 50% recycled content.",Lace closure; Synthetic leather upper; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Pulse Magenta / Almost Pink; Product code: GX7235, Cloud White / Cloud White / Gold Metallic,4,4.5
5,Adilette Aqua Slides,Yoga,5 colors,https://www.adidas.com/us/adilette-aqua-slides/F35543.html,$27,$23,"Rinse off after the pool in these shower-friendly sandals. Keeping it simple, the smooth slip-ons reveal their adidas DNA with signature 3-Stripes. Soft cushioning rewards tired feet with plush comfort.",Regular fit; Slip-on construction; One-piece molded EVA upper; EVA outsole; Soft Cloudfoam footbed; Lightweight feel; Quick-drying material; Imported; Product color: Core Black / Cloud White / Core Black; Product code: F35543, Core Black / Gold Metallic / Core Black,8363,4.5
6,Puremotion Adapt Shoes,Women's Essentials,5 colors,https://www.adidas.com/us/puremotion-adapt-shoes/GV8915.html,$70,$56,"Slide into sophistication. Pull on these running-inspired shoes that combine a convenient laceless closure with a clean look. Soft cushioning keeps you comfortable when you're on your feet for longer than expected. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Regular fit; Laceless closure; Stretchy textile upper; Sock-like construction hugs the foot; Textile lining; Memory foam sockliner and Cloudfoam midsole; Synthetic outsole; Imported; Product color: Bliss Orange / Bliss Orange / Bliss Pink; Product code: GV8915, Core Black / Cloud White / Grey Five,2043,4.5
7,Forum Exhibit Mid Shoes,Men's Originals,2 colors,https://www.adidas.com/us/forum-exhibit-mid-shoes/HQ1482.html,$120,$102,"The adidas Forum shoes have long been a recognizable silhouette. The X detail on the side especially makes sure their presence is immediately known. So what would the Forum look like if, instead of the usual design, we built it from the outside in? Well, it would look like this — still the same expressiveness as the OG Forum, just with flipped materials that bring in new texture and energy.","Lace closure; Textile, synthetic leather and suede upper; Textile lining; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Off White / Collegiate Navy / Scarlet; Product code: HQ1482", Off White / Collegiate Purple / Collegiate Gold,26,4.9
8,,,,/us/nmd_r1-v2-shoes/GZ1998.html,,,"You don't know what the future holds. You may not even know what the day holds. But you know that you're ready for it in these adidas NMD shoes. Fresh style meets top-tier technology to keep you feeling and looking good as you navigate through busy days. The knit upper adapts to the shape of your foot, and BOOST in the midsole supplies endless energy to carry you through every moment in comfort. 

This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic — reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean. The other 50% of the yarn is recycled polyester.",Lace closure; Stretch knit upper; Hugs the foot; Textile lining and sockliner; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Cloud White / Core Black; Product code: GZ1998, Cloud White / Almost Blue / Core Black,1321,4.7
9,,,,/us/supernova-plus-shoes/GY1770.html,,,"Energy meets comfort with adidas Supernova+. However far or fast you train, the Supernova+ keeps you pushing toward your goals. Like the Supernova, these adidas shoes ride on a combination of Boost and Bounce. The plus in the name refers to the added Boost in the forefoot compared to Supernova, delivering increased energy return and comfort in every stride. Experience the energy of a comfortable run.",Lace closure; Engineered mesh upper with reflective heel patch; BOOST heel and forefoot; Bounce cushioning; Weight 11.2 ounces (size 9); Midsole drop: 10 mm (heel: 32 mm / forefoot: 22 mm); Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Halo Silver / Shadow Navy / Beam Orange; Product code: GY1770, Cloud White / Core Black / Solar Green,587,4.4
