,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Stan Smith 80s Shoes,Men's Originals,new,/us/stan-smith-80s-shoes/FZ5597.html,$160,"An homage to the early days of a legend, these shoes reflect the original proportions and materials of the '80s adidas Stan Smith sneakers. They're crafted with a rich leather upper and refined through details and shaping. And, of course, they come in the classic Stan Smith colorway and are finished with an illustration of Stan's face on the tongue label.",Regular fit; Lace closure; Leather upper; Leather lining; Rubber outsole; Imported; Product color: Cloud White / Cloud White / Green; Product code: FZ5597,,,,
1,Five Ten Hiangle Pro Competition Climbing Shoes,Five Ten,,/us/five-ten-hiangle-pro-competition-climbing-shoes/FV4744.html,$170,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",Snug fit; Hook-and-loop strap; Microfiber suede synthetic upper; Unlined; Aggressive climbing shoes; Extended toe rand; High-friction grip Stealth® C4 rubber outsole; Imported; Product color: Core Black / Cloud White / Signal Green; Product code: FV4744,,20,4.3,$102
2,adidas x LEGO® Sport Pro Shoes,Youth Training,2 colors,/us/adidas-x-lego-sport-pro-shoes/GW3973.html,$85,"Sport and LEGO® toys — two activities that can keep you hooked for hours. And they come together perfectly in these juniors' adidas running shoes. While they have a lightweight textile upper, the outsole is fully LEGO® brick-inspired. So kick them up, and let everyone see the iconic bricks.

Made with a series of recycled materials, this upper features at least 50% recycled content.",Regular fit; Lace closure; Textile upper; Textile lining; Rubber outsole; LEGO® Torsion bar; Upper contains a minimum of 50% recycled content; Imported; Product color: Grey Three / Shock Blue / Grey Six; Product code: GW3973, Grey Three / Shock Blue / Grey Six,,,
3,Znsored HI Shoes,Sportswear,3 colors,/us/znsored-hi-shoes/GZ2292.html,$90,"Box-fresh or broken in. These adidas skate-style shoes look good either way. Resting on a durable rubber outsole, the mid-cut upper is crafted from canvas and suede. A padded collar combines with LIGHTMOTION+ cushioning to keep your feet wrapped in comfort. Simply team them with crop or tapered pants.

Our cotton products support more sustainable cotton farming.",Regular fit; Lace closure; Canvas upper; LIGHTMOTION+ cushioning; Textile lining; Rubber outsole; Supports the Better Cotton Initiative; Imported; Product color: Core Black / Core Black / Core Black; Product code: GZ2292, Crystal White / Cloud White / Cloud White,40,4.9,
4,Disney Aladdin Genie Stan Smith Shoes,Originals,30 colors,/us/disney-aladdin-genie-stan-smith-shoes/HP5579.html,$100,"For over 50 years, the adidas Stan Smith sneaker has solidified its place as a style icon. Now the classic silhouette gets a magical update with these shoes inspired by Genie, from Disney's ""Aladdin."" Make a statement with a bright blue backdrop that will add a pop to any outfit. The synthetic leather upper has a heat-reactive heel patch — when it warms up, a different graphic appears. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; Synthetic leather lining; Heat-reactive heel tab; Rubber outsole; ©Disney; Upper contains a minimum of 50% recycled content; Imported; Product color: Pantone / Cloud White / Core Black; Product code: HP5579, Pantone / Cloud White / Core Black,13045,4.7,
5,D.O.N. Issue #4 Miles Morales Basketball Shoes,Children Basketball,new,https://www.adidas.com/us/d.o.n.-issue-4-miles-morales-basketball-shoes/HR1627.html,$85,"The future of basketball is all about speed, and Donovan Mitchell is as fast as they come. These kids' signature shoes from Mitchell and adidas Basketball are built specifically to elevate the on-court movements of one of the game's fastest, most dynamic scorers. Ultralight Lightstrike teams up with a LIGHTLOCK upper for a snug fit and an explosive propulsion system that won't slow down you superstar in the making. A collaboration with Marvel, they feature graphics inspired by ""Spider-Man: Across the Spider-Verse. A totally unique rubber outsole is designed to generate traction where they need it most, so they'll have total support on every head fake and cut. Mitchell's Spida logo and signature graphics provide the finishing touch.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; LIGHTLOCK upper; Lightweight, cushioned feel; Textile lining; Lightstrike cushioning; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Vivid Red / Core Black; Product code: HR1627",,,,
6,Tour360 22 Golf Shoes,Men's Golf,6 colors,https://www.adidas.com/us/tour360-22-golf-shoes/GV7244.html,$180,"Take your performance to the next level in these adidas golf shoes. They're made with a BOOST midsole for energy return and enhanced comfort. The 360Wrap design locks in and supports your feet through 18 holes and beyond. An INSITE® sockliner offers cushioning for optimal fit and balance, and the SPIKEMORE traction outsole provides solid grip throughout your entire round.",Ergonomic fit; Leather upper with padded collar; 360Wrap support; INSITE® sockliner; Dual stack BOOST midsole; SPIKEMORE traction and six-spike TPU outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Blue Rush; Product code: GV7244, Cloud White / Core Black / Blue Rush,183,4.1,
7,Superstar Shoes,Men's Originals,25 colors,https://www.adidas.com/us/superstar-shoes/HP3252.html,$100,"The legacy of the adidas Superstar shoes has spanned more than 50 years. And it continues to grow. When you lace into these rubber-shell-toe sneakers, you become part of the history — a story that started on the hardwood and evolved into many chapters across different corners of our cultural landscape. This look is pretty much the same as the OG, just with a patterned tongue and some gold metallic pops.",Lace closure; Leather upper; Textile lining and sockliner; Rubber outsole; Imported; Product color: Cloud White / Core Black / Gold Metallic; Product code: HP3252, Core Black / Core Black / Core Black,2589,4.7,
8,,,,/us/adidas-by-stella-mccartney-eulampis-boots/HR1539.html,,"For snowy commutes or quiet backcountry trails, these adidas by Stella McCartney boots are what you'll want to lace on. For many reasons. One is because they're insulated, which means that the cold isn't something you have to worry about. Another reason is that with the cold, often comes the elements — something these shoes protect against with a water-resistant upper. Then there's the fact that they just look good, with a high-cut, bulky build that makes an impression no matter the time or place.

To reduce our reliance on virgin materials, we make sure that our vegan alternatives also contain a minimum of 25% recycled content.",Regular fit; Lace closure; Water-resistant textile upper; Insulating COLD.RDY; Insulated lining and tongue; Rubber outsole; adidas by Stella McCartney logo; Vegan alternative: At least 25% recycled content; Imported; Product color: Mystery Blue / Core Black / Semi Impact Orange; Product code: HR1539, Camel / Core Black / Shock Yellow,10,4.2,
9,,,,/us/tour360-22-golf-shoes/GV7245.html,,"Take your performance to the next level in these adidas golf shoes. They're made with a BOOST midsole for energy return and enhanced comfort. The 360Wrap design locks in and supports your feet through 18 holes and beyond. An INSITE® sockliner offers cushioning for optimal fit and balance, and the SPIKEMORE traction outsole provides solid grip throughout your entire round.",Ergonomic fit; Leather upper with padded collar; 360Wrap support; INSITE® sockliner; Dual stack BOOST midsole; SPIKEMORE traction and six-spike TPU outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Silver Metallic; Product code: GV7245, Cloud White / Core Black / Blue Rush,183,4.1,
