,title,subtitle,num_colors,url,price,reduced_price,description,details,colors,n_reviews,avg_stars
0,Adilette Aqua Slides,Yoga,5 colors,/us/adilette-aqua-slides/F35542.html,$27,$23,"Rinse off after the pool in these shower-friendly sandals. Keeping it simple, the smooth slip-ons reveal their adidas DNA with signature 3-Stripes. Soft cushioning rewards tired feet with plush comfort.",Regular fit; Slip-on construction; One-piece molded EVA upper; EVA outsole; Soft Cloudfoam footbed; Lightweight feel; Quick-drying material; Imported; Product color: Dark Blue / Cloud White / Dark Blue; Product code: F35542, Core Black / Gold Metallic / Core Black,8363,4.5
1,adidas x LEGO® Racer TR Shoes,Infant & Toddler Training,3 colors,/us/adidas-x-lego-racer-tr-shoes/GW1873.html,$60,$54,"From building to storytelling, LEGO® toys are a big part of your little one's world. So it makes sense they're also a big part of these toddlers' adidas shoes. Because LEGO® bricks can be made into anything, from the 3-Stripes on the upper to the clever grippy pods on the outsole. 

Made with a series of recycled materials, this upper features at least 50% recycled content.",Regular fit; Lace closure with hook-and-loop strap; Textile upper; Textile lining; Synthetic outsole; LEGO® details; Upper contains a minimum of 50% recycled content; Imported; Product color: Off White / Bliss Lilac / Core Black; Product code: GW1873, Off White / Bliss Lilac / Core Black,15,5.0
2,TERREX Free Hiker 2 Hiking Shoe,Men's TERREX,5 colors,/us/terrex-free-hiker-2-hiking-shoe/GZ0679.html,$200,,"Take on the outdoors with ease. The adidas TERREX Free Hiker 2 brings comfort and confidence to your everyday adventure. It's time to enjoy your outdoor experience. 

Find confidence in the great outdoors with the new adidas TERREX Free Hiker 2. Its Continental™ rubber grip provides reliable traction on your hikes. BOOST delivers incredible energy return and instant comfort with each step. The shoe's upper is made with a high performance yarn containing at least 50% Parley Ocean Plastic and 50% recycled polyester.",Regular fit; Lace closure; Abrasion-resistant mesh upper with molded toe cap and external heel clip; adidas PRIMEKNIT collar; EVA stabilization frame; BOOST midsole; Continental™ Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Core Black / Grey Six; Product code: GZ0679, Core Black / Core Black / Grey Six,27,4.7
3,VULCRAID3R SLIP ON,Essentials,2 colors,/us/vulcraid3r-slip-on/GW4107.html,$60,,,Imported; Product color: Core Black / Signal Orange / Cloud White; Product code: GW4107, Core Black / Signal Orange / Cloud White,41,4.1
4,Lite Racer Adapt 4.0 Shoes,Kids Essentials,5 colors,/us/lite-racer-adapt-4.0-shoes/Q47207.html,$60,$48,"Active kids need sneakers that can keep up. These kids' adidas shoes are inspired by classic running style, and they slip on and off easily as they run outside, inside and back outside again. A Cloudfoam midsole and a mesh upper elevate the comfort and breathability, so they can get after it all day long.",Sock-like fit; Slip-on construction with elastic strap; Mesh upper; Textile lining; TPU heel counter; Cloudfoam midsole; Rubber outsole; Imported; Product color: Core Black / Core Black / Cloud White; Product code: Q47207, Royal Blue / Cloud White / Pulse Blue,459,4.6
5,Terrex Agravic Flow 2.0 GORE-TEX Trail Running Shoes,Men's TERREX,2 colors,https://www.adidas.com/us/terrex-agravic-flow-2.0-gore-tex-trail-running-shoes/H03184.html,$160,$144,"Wet, muddy trails are part of the experience, but wet feet don't need to be. Enjoy dry feet and a superlight feel as you move from road to trail and back in these adidas trail running shoes. A breathable GORE-TEX membrane seals out wet conditions while ultralight Lightstrike cushioning encourages speed and agility over rough terrain. Confident traction across wet and dry ground is a given with the lugged Continental™ Rubber outsole.",Regular fit; Lace closure; Engineered mesh upper with mudguard and suede tongue; Breathable and stable feel; GORE-TEX lining; LIGHTSTRIKE cushioning; Weight 11.2 ounces (size 9); Midsole drop: 8 mm; Continental™ Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Blue Rush / Turbo; Product code: H03184, Core Black / Grey Four / Cloud White,59,4.2
6,Lite Racer Adapt 4.0 Shoes,Men's Essentials,7 colors,https://www.adidas.com/us/lite-racer-adapt-4.0-shoes/H04296.html,$70,$56,"Casual style that's easy to get on and off. You'll want to wear these adidas shoes every day of the week. Inspired by classic running looks, these shoes have a bold adidas graphic on the midfoot band. A mesh upper adds breathability, and the Cloudfoam midsole is ultra comfortable.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester.",Sock-like fit; Slip-on construction with elastic strap; Mesh upper; Textile lining; TPU heel counter; Cloudfoam midsole; Synthetic outsole; Primegreen; Imported; Product color: Core Black / Core Black / Core Black; Product code: H04296, Carbon / Core Black / Chalk White,898,4.5
7,ZNTASY Capsule Collection Shoes,Men's Sportswear,5 colors,https://www.adidas.com/us/zntasy-capsule-collection-shoes/GZ2294.html,$100,$85,"Whether your priority is fashion or function, everyone can agree on these adidas sneakers. Behind the stylishly muted colors, the shoes are packed with speed-boosting technology. The Lightstrike cushioning helps propel you forward, while the rubber cupsole is firm yet flexible. Style, meet speed. 

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Lace closure; Textile upper; Lightstrike cushioning; Textile lining; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Bright Red; Product code: GZ2294, Cloud White / Cloud White / Bright Red,27,4.5
8,,,,/us/nizza-shoes/CQ2333.html,,,"Slam dunk your street style. These adidas Nizza Shoes are a reissue of the classic 1978 B-ball trainers. The canvas upper keeps it real, and real soft. The signature toe bumper polishes off the look. Game on.",Regular fit; Lace closure; Canvas upper with rubber toe bumper; '80s basketball-style trainers; OrthoLite® sockliner; Vulcanized rubber outsole; Imported; Product color: Cloud White / Core Black / Cloud White; Product code: CQ2333, Core Black / Cloud White / Cloud White,1642,4.7
9,,,,/us/ownthegame-shoes/H00469.html,,,"Take control when you step onto the court in these adidas basketball shoes. The mesh upper keeps your feet feeling fresh as you run baseline to baseline. Lightweight Lightmotion cushioning underfoot absorbs impact with every step. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content.",Regular fit; Lace closure; Dual-material mesh upper; Textile lining; Molded TPU lockdown heel; Lightmotion cushioning; Weight: 331 g (size UK 8.5); Adiwear outsole; Imported; Product color: Cloud White / Core Black / Grey Four; Product code: H00469, Vivid Red / Cloud White / Core Black,360,4.6
